time	RMSD_R1	RMSD_R2	RMSD_R3
0.0	0.0	0.0	0.0
0.1	0.89	0.81	0.7
0.2	0.87	0.78	0.86
0.3	0.71	0.87	0.81
0.4	0.97	1.04	0.97
0.5	0.95	0.84	0.75
0.6	0.94	0.89	0.94
0.7	0.89	0.9	0.89
0.8	0.79	0.91	0.88
0.9	0.89	0.93	0.86
1.0	0.87	1.12	0.83
1.1	1.0	1.01	0.86
1.2	0.95	1.02	0.73
1.3	1.09	0.89	0.79
1.4	1.15	0.97	0.84
1.5	1.04	0.88	0.98
1.6	1.0	0.91	0.9
1.7	1.11	0.84	1.01
1.8	1.0	0.84	1.0
1.9	1.17	1.11	1.2
2.0	0.99	0.91	0.95
2.1	1.16	1.15	1.09
2.2	1.16	0.88	1.33
2.3	1.14	1.23	1.06
2.4	1.16	1.12	1.21
2.5	1.03	0.92	0.97
2.6	1.25	0.89	1.15
2.7	1.31	0.9	1.08
2.8	1.1	0.86	1.03
2.9	1.28	0.83	1.0
3.0	1.1	0.94	1.08
3.1	1.17	0.97	1.26
3.2	1.29	0.88	1.16
3.3	1.21	0.87	1.18
3.4	1.25	0.92	1.08
3.5	1.31	0.84	1.08
3.6	1.49	0.81	1.12
3.7	1.35	0.99	0.96
3.8	1.08	0.9	1.26
3.9	1.34	0.79	1.08
4.0	1.29	0.94	1.02
4.1	1.42	0.95	1.08
4.2	1.33	0.98	1.03
4.3	1.31	0.79	1.11
4.4	1.36	0.98	1.09
4.5	1.3	0.89	1.22
4.6	1.3	0.76	1.02
4.7	1.12	0.9	0.98
4.8	1.14	0.83	1.41
4.9	1.18	0.83	1.35
5.0	1.13	0.94	1.34
5.1	1.25	0.77	1.32
5.2	1.32	1.04	1.23
5.3	1.23	1.07	1.14
5.4	1.3	0.88	1.22
5.5	1.45	0.9	1.15
5.6	1.29	1.01	1.26
5.7	1.2	1.0	0.9
5.8	1.18	0.98	1.27
5.9	1.26	1.06	1.02
6.0	1.34	1.14	1.06
6.1	1.09	1.01	1.05
6.2	1.42	1.06	1.14
6.3	1.48	1.17	1.16
6.4	1.3	1.03	1.18
6.5	1.42	1.07	1.24
6.6	1.42	1.02	1.16
6.7	1.32	1.06	1.05
6.8	1.5	0.97	0.96
6.9	1.23	1.09	1.11
7.0	1.36	1.11	1.06
7.1	1.19	1.1	0.97
7.2	1.37	1.07	0.87
7.3	1.29	1.14	1.13
7.4	1.36	1.06	1.01
7.5	1.24	1.25	0.93
7.6	1.17	1.19	1.07
7.7	1.08	1.31	1.17
7.8	1.25	1.28	1.24
7.9	1.29	0.9	1.13
8.0	1.22	1.26	1.31
8.1	1.38	0.97	1.32
8.2	1.17	1.22	1.66
8.3	1.17	1.03	1.64
8.4	1.56	1.03	1.8
8.5	1.37	1.11	1.39
8.6	1.39	1.17	1.46
8.7	1.31	1.14	1.32
8.8	1.33	1.24	1.33
8.9	1.44	1.33	1.37
9.0	1.31	1.12	1.48
9.1	1.5	0.96	1.69
9.2	1.46	1.02	1.56
9.3	1.4	1.17	1.41
9.4	1.59	1.25	1.46
9.5	1.78	1.46	1.66
9.6	1.51	1.58	1.55
9.7	1.41	1.38	1.38
9.8	1.39	1.18	1.45
9.9	1.72	1.1	1.4
10.0	1.41	0.82	1.57
10.1	1.4	1.07	1.55
10.2	1.42	1.16	1.44
10.3	1.48	0.99	1.48
10.4	1.5	0.84	1.32
10.5	1.67	0.99	1.41
10.6	1.42	1.07	1.65
10.7	1.89	1.11	1.48
10.8	1.64	0.95	1.37
10.9	1.49	1.0	1.42
11.0	1.62	1.14	1.47
11.1	1.34	0.9	1.47
11.2	1.36	0.97	1.34
11.3	1.46	0.88	1.33
11.4	1.48	0.92	1.4
11.5	1.69	0.82	1.28
11.6	1.93	1.06	1.31
11.7	1.66	1.02	1.43
11.8	1.59	0.97	1.49
11.9	1.84	1.0	1.23
12.0	1.83	1.02	1.29
12.1	1.6	1.1	1.19
12.2	1.5	0.88	1.37
12.3	1.44	1.17	1.27
12.4	1.83	1.25	1.26
12.5	1.97	0.9	1.21
12.6	1.98	1.06	1.11
12.7	1.8	1.22	1.28
12.8	1.94	1.02	1.4
12.9	1.93	1.1	1.19
13.0	1.89	1.1	1.21
13.1	2.28	1.16	1.2
13.2	1.92	1.07	1.24
13.3	1.89	0.85	1.39
13.4	2.08	1.1	1.29
13.5	1.86	1.08	1.22
13.6	2.0	1.15	1.3
13.7	1.58	1.13	1.43
13.8	1.84	1.19	1.48
13.9	2.0	1.15	1.26
14.0	1.73	1.07	1.32
14.1	1.87	0.98	1.4
14.2	1.54	0.97	1.38
14.3	1.66	1.06	1.37
14.4	1.73	1.05	1.33
14.5	1.63	1.02	1.39
14.6	1.74	0.93	1.51
14.7	1.91	1.05	1.49
14.8	1.74	1.1	1.42
14.9	1.72	1.09	1.61
15.0	1.68	1.0	1.53
15.1	1.56	0.93	1.51
15.2	1.6	1.0	1.43
15.3	1.75	1.15	1.53
15.4	1.92	1.18	1.45
15.5	1.85	1.14	1.36
15.6	1.58	1.09	1.29
15.7	1.82	1.32	1.22
15.8	1.48	1.21	1.31
15.9	1.74	1.0	1.33
16.0	1.74	1.17	1.31
16.1	1.68	1.12	1.42
16.2	1.7	1.28	1.36
16.3	1.58	0.99	1.26
16.4	1.53	1.22	1.38
16.5	1.66	0.98	1.33
16.6	1.72	1.02	1.52
16.7	1.74	1.0	1.24
16.8	1.67	1.23	1.46
16.9	1.68	1.25	1.39
17.0	1.72	1.2	1.47
17.1	1.78	1.21	1.38
17.2	1.64	1.24	1.34
17.3	1.65	1.37	1.36
17.4	1.63	1.17	1.28
17.5	1.56	1.36	1.46
17.6	1.62	1.19	1.27
17.7	1.67	1.23	1.3
17.8	1.85	1.0	1.45
17.9	1.72	0.94	1.33
18.0	1.85	1.18	1.57
18.1	1.8	1.07	1.34
18.2	1.75	1.17	1.34
18.3	1.69	1.04	1.22
18.4	1.7	1.04	1.32
18.5	1.82	1.05	1.49
18.6	1.78	1.3	1.25
18.7	1.91	1.16	1.33
18.8	1.73	1.21	1.29
18.9	1.67	1.21	1.26
19.0	1.71	1.12	1.24
19.1	1.61	1.28	1.4
19.2	1.8	1.37	1.38
19.3	1.52	1.31	1.28
19.4	1.59	1.04	1.3
19.5	1.77	1.15	1.45
19.6	1.57	1.02	1.27
19.7	1.42	1.48	1.35
