time	gyr_R1	gyr_R2	gyr_R3
0.1	14.42	14.57	14.43
0.2	14.61	14.61	14.32
0.3	14.58	14.55	14.55
0.4	14.58	14.59	14.44
0.5	14.56	14.49	14.5
0.6	14.33	14.52	14.49
0.7	14.41	14.63	14.51
0.8	14.41	14.39	14.41
0.9	14.52	14.45	14.37
1.0	14.53	14.38	14.44
1.1	14.52	14.63	14.59
1.2	14.39	14.53	14.46
1.3	14.43	14.51	14.46
1.4	14.44	14.44	14.46
1.5	14.49	14.49	14.51
1.6	14.5	14.49	14.49
1.7	14.45	14.42	14.36
1.8	14.47	14.56	14.44
1.9	14.41	14.58	14.56
2.0	14.49	14.51	14.53
2.1	14.45	14.49	14.48
2.2	14.45	14.45	14.41
2.3	14.51	14.48	14.51
2.4	14.48	14.41	14.47
2.5	14.52	14.45	14.65
2.6	14.48	14.48	14.42
2.7	14.34	14.53	14.46
2.8	14.54	14.4	14.5
2.9	14.42	14.49	14.44
3.0	14.64	14.42	14.58
3.1	14.7	14.49	14.46
3.2	14.53	14.47	14.58
3.3	14.51	14.54	14.52
3.4	14.61	14.43	14.44
3.5	14.55	14.44	14.46
3.6	14.54	14.54	14.49
3.7	14.44	14.65	14.54
3.8	14.6	14.47	14.4
3.9	14.51	14.39	14.51
4.0	14.53	14.55	14.57
4.1	14.35	14.43	14.58
4.2	14.54	14.53	14.48
4.3	14.51	14.52	14.53
4.4	14.54	14.51	14.34
4.5	14.54	14.37	14.46
4.6	14.46	14.45	14.5
4.7	14.51	14.47	14.42
4.8	14.64	14.48	14.27
4.9	14.59	14.39	14.43
5.0	14.46	14.57	14.29
5.1	14.52	14.38	14.34
5.2	14.45	14.6	14.45
5.3	14.48	14.47	14.4
5.4	14.55	14.59	14.33
5.5	14.5	14.44	14.45
5.6	14.52	14.53	14.32
5.7	14.61	14.53	14.52
5.8	14.53	14.52	14.43
5.9	14.51	14.49	14.35
6.0	14.38	14.47	14.42
6.1	14.52	14.54	14.29
6.2	14.56	14.65	14.56
6.3	14.3	14.61	14.38
6.4	14.51	14.59	14.34
6.5	14.61	14.37	14.45
6.6	14.65	14.56	14.55
6.7	14.62	14.47	14.53
6.8	14.48	14.44	14.54
6.9	14.41	14.52	14.33
7.0	14.63	14.55	14.43
7.1	14.65	14.45	14.51
7.2	14.38	14.5	14.54
7.3	14.55	14.38	14.41
7.4	14.53	14.54	14.54
7.5	14.58	14.35	14.53
7.6	14.59	14.41	14.52
7.7	14.63	14.47	14.44
7.8	14.55	14.44	14.31
7.9	14.71	14.4	14.48
8.0	14.54	14.53	14.7
8.1	14.47	14.37	14.46
8.2	14.51	14.51	14.39
8.3	14.6	14.41	14.49
8.4	14.42	14.46	14.56
8.5	14.43	14.26	14.66
8.6	14.46	14.27	14.45
8.7	14.54	14.32	14.56
8.8	14.54	14.24	14.67
8.9	14.51	14.08	14.63
9.0	14.59	14.33	14.54
9.1	14.55	14.25	14.39
9.2	14.47	14.28	14.65
9.3	14.54	14.29	14.57
9.4	14.35	14.29	14.51
9.5	14.32	14.25	14.4
9.6	14.62	14.17	14.53
9.7	14.5	14.18	14.57
9.8	14.61	14.49	14.52
9.9	14.36	14.48	14.61
10.0	14.5	14.48	14.54
10.1	14.49	14.46	14.54
10.2	14.41	14.47	14.6
10.3	14.44	14.43	14.57
10.4	14.43	14.5	14.54
10.5	14.35	14.53	14.67
10.6	14.57	14.41	14.67
10.7	14.21	14.44	14.6
10.8	14.37	14.28	14.73
10.9	14.4	14.34	14.63
11.0	14.44	14.42	14.63
11.1	14.52	14.54	14.64
11.2	14.51	14.65	14.64
11.3	14.45	14.46	14.62
11.4	14.57	14.49	14.64
11.5	14.52	14.39	14.62
11.6	14.32	14.46	14.68
11.7	14.37	14.4	14.79
11.8	14.42	14.49	14.59
11.9	14.42	14.55	14.57
12.0	14.52	14.54	14.6
12.1	14.43	14.41	14.59
12.2	14.56	14.52	14.66
12.3	14.51	14.37	14.7
12.4	14.34	14.38	14.72
12.5	14.28	14.46	14.7
12.6	14.24	14.43	14.64
12.7	14.28	14.38	14.52
12.8	14.33	14.37	14.76
12.9	14.42	14.5	14.78
13.0	14.32	14.43	14.8
13.1	14.3	14.41	14.71
13.2	14.36	14.28	14.56
13.3	14.4	14.29	14.69
13.4	14.24	14.42	14.64
13.5	14.33	14.44	14.59
13.6	14.3	14.28	14.52
13.7	14.59	14.4	14.59
13.8	14.5	14.42	14.46
13.9	14.34	14.38	14.51
14.0	14.38	14.44	14.61
14.1	14.36	14.55	14.5
14.2	14.33	14.52	14.61
14.3	14.38	14.5	14.63
14.4	14.3	14.4	14.49
14.5	14.43	14.61	14.44
14.6	14.36	14.51	14.49
14.7	14.26	14.36	14.42
14.8	14.38	14.52	14.43
14.9	14.31	14.59	14.29
15.0	14.26	14.59	14.45
15.1	14.38	14.43	14.42
15.2	14.3	14.65	14.51
15.3	14.44	14.54	14.33
15.4	14.35	14.48	14.36
15.5	14.29	14.53	14.51
15.6	14.34	14.33	14.56
15.7	14.31	14.33	14.73
15.8	14.42	14.37	14.49
15.9	14.3	14.51	14.45
16.0	14.33	14.3	14.59
16.1	14.37	14.3	14.53
16.2	14.36	14.29	14.52
16.3	14.38	14.22	14.66
16.4	14.39	14.26	14.6
16.5	14.35	14.35	14.46
16.6	14.42	14.34	14.56
16.7	14.34	14.4	14.46
16.8	14.31	14.36	14.46
16.9	14.38	14.37	14.59
17.0	14.22	14.33	14.55
17.1	14.33	14.41	14.48
17.2	14.44	14.49	14.6
17.3	14.34	14.39	14.4
17.4	14.46	14.25	14.61
17.5	14.35	14.38	14.57
17.6	14.33	14.3	14.52
17.7	14.34	14.33	14.64
17.8	14.28	14.41	14.48
17.9	14.34	14.35	14.56
18.0	14.25	14.37	14.53
18.1	14.36	14.47	14.53
18.2	14.31	14.31	14.51
18.3	14.36	14.44	14.5
18.4	14.34	14.4	14.6
18.5	14.25	14.36	14.54
18.6	14.26	14.37	14.63
18.7	14.24	14.27	14.39
18.8	14.25	14.37	14.52
18.9	14.31	14.53	14.52
19.0	14.19	14.38	14.61
19.1	14.35	14.32	14.45
19.2	14.42	14.57	14.59
19.3	14.33	14.35	14.66
19.4	14.38	14.48	14.53
19.5	14.2	14.36	14.49
19.6	14.43	14.36	14.57
19.7	14.42	14.63	14.65
19.8	14.4	14.48	14.69
19.9	14.31	14.53	14.67
20.0	14.37	14.26	14.63
20.1	14.42	14.36	14.59
20.2	14.35	14.3	14.61
20.3	14.32	14.25	14.75
20.4	14.2	14.43	14.6
20.5	14.34	14.51	14.77
20.6	14.33	14.44	14.74
20.7	14.3	14.45	14.71
20.8	14.26	14.47	14.66
20.9	14.4	14.43	14.5
21.0	14.34	14.55	14.66
21.1	14.3	14.48	14.5
21.2	14.29	14.42	14.61
21.3	14.38	14.42	14.59
21.4	14.43	14.48	14.5
21.5	14.19	14.6	14.57
21.6	14.26	14.58	14.46
21.7	14.32	14.52	14.5
21.8	14.31	14.47	14.6
21.9	14.43	14.36	14.48
22.0	14.41	14.41	14.61
22.1	14.35	14.28	14.49
22.2	14.33	14.39	14.46
22.3	14.52	14.34	14.67
22.4	14.53	14.29	14.48
22.5	14.6	14.16	14.46
22.6	14.5	14.4	14.57
22.7	14.48	14.31	14.58
22.8	14.5	14.3	14.55
22.9	14.36	14.34	14.47
23.0	14.2	14.33	14.6
23.1	14.41	14.25	14.33
23.2	14.62	14.29	14.45
23.3	14.58	14.52	14.4
23.4	14.4	14.19	14.44
23.5	14.5	14.32	14.38
23.6	14.62	14.41	14.38
23.7	14.54	14.24	14.51
23.8	14.41	14.51	14.53
23.9	14.62	14.23	14.72
24.0	14.36	14.21	14.53
24.1	14.29	14.26	14.7
24.2	14.25	14.31	14.49
24.3	14.31	14.27	14.54
24.4	14.28	14.3	14.37
24.5	14.21	14.26	14.42
24.6	14.37	14.2	14.61
24.7	14.38	14.28	14.57
24.8	14.25	14.37	14.59
24.9	14.36	14.42	14.55
25.0	14.41	14.19	14.62
25.1	14.35	14.21	14.51
25.2	14.24	14.26	14.47
25.3	14.19	14.19	14.48
25.4	14.49	14.19	14.48
25.5	14.4	14.38	14.43
25.6	14.36	14.24	14.55
25.7	14.27	14.24	14.57
25.8	14.34	14.42	14.42
25.9	14.49	14.24	14.36
26.0	14.41	14.41	14.6
26.1	14.33	14.48	14.48
26.2	14.31	14.36	14.48
26.3	14.32	14.47	14.42
26.4	14.32	14.41	14.49
26.5	14.33	14.35	14.51
26.6	14.48	14.13	14.5
26.7	14.35	14.37	14.5
26.8	14.31	14.29	14.53
26.9	14.33	14.37	14.47
27.0	14.41	14.52	14.48
27.1	14.47	14.39	14.45
27.2	14.43	14.4	14.68
27.3	14.34	14.49	14.6
27.4	14.4	14.42	14.51
27.5	14.46	14.43	14.44
27.6	14.49	14.5	14.46
27.7	14.35	14.42	14.54
27.8	14.36	14.4	14.46
27.9	14.44	14.43	14.63
28.0	14.43	14.27	14.39
28.1	14.29	14.53	14.52
28.2	14.37	14.7	14.46
28.3	14.26	14.5	14.59
28.4	14.38	14.52	14.49
28.5	14.55	14.36	14.53
28.6	14.4	14.38	14.48
28.7	14.27	14.46	14.52
28.8	14.3	14.34	14.68
28.9	14.36	14.4	14.49
29.0	14.35	14.4	14.46
29.1	14.26	14.33	14.56
29.2	14.22	14.45	14.54
29.3	14.36	14.29	14.44
29.4	14.38	14.32	14.54
29.5	14.44	14.36	14.62
29.6	14.39	14.54	14.54
29.7	14.44	14.56	14.59
29.8	14.49	14.58	14.39
29.9	14.42	14.49	14.48
30.0	14.59	14.42	14.59
30.1	14.52	14.63	14.66
30.2	14.54	14.59	14.5
30.3	14.67	14.53	14.43
30.4	14.45	14.56	14.42
30.5	14.43	14.42	14.44
30.6	14.58	14.41	14.6
30.7	14.65	14.34	14.42
30.8	14.59	14.38	14.45
30.9	14.35	14.44	14.47
31.0	14.44	14.4	14.46
31.1	14.57	14.33	14.45
31.2	14.69	14.44	14.54
31.3	14.49	14.52	14.54
31.4	14.52	14.6	14.5
31.5	14.36	14.33	14.47
31.6	14.56	14.46	14.45
31.7	14.49	14.45	14.46
31.8	14.43	14.36	14.5
31.9	14.33	14.34	14.55
32.0	14.5	14.25	14.5
32.1	14.67	14.29	14.55
32.2	14.39	14.39	14.5
32.3	14.51	14.45	14.49
32.4	14.58	14.3	14.53
32.5	14.52	14.47	14.5
32.6	14.56	14.41	14.56
32.7	14.42	14.35	14.62
32.8	14.47	14.4	14.47
32.9	14.39	14.35	14.61
33.0	14.45	14.38	14.54
33.1	14.37	14.34	14.53
33.2	14.33	14.41	14.66
33.3	14.3	14.34	14.59
33.4	14.35	14.28	14.49
33.5	14.39	14.45	14.65
33.6	14.32	14.29	14.53
33.7	14.44	14.32	14.5
33.8	14.47	14.47	14.42
33.9	14.51	14.32	14.35
34.0	14.38	14.26	14.53
34.1	14.43	14.28	14.45
34.2	14.31	14.36	14.49
34.3	14.37	14.31	14.42
34.4	14.34	14.26	14.48
34.5	14.41	14.38	14.4
34.6	14.29	14.49	14.41
34.7	14.34	14.44	14.51
34.8	14.33	14.55	14.61
34.9	14.34	14.4	14.41
35.0	14.43	14.36	14.4
35.1	14.42	14.28	14.41
35.2	14.35	14.38	14.49
35.3	14.37	14.28	14.49
35.4	14.36	14.53	14.3
35.5	14.3	14.55	14.45
35.6	14.34	14.56	14.38
35.7	14.36	14.43	14.42
35.8	14.3	14.64	14.52
35.9	14.41	14.48	14.36
36.0	14.33	14.51	14.58
36.1	14.32	14.52	14.52
36.2	14.31	14.56	14.49
36.3	14.35	14.49	14.36
36.4	14.29	14.47	14.33
36.5	14.44	14.54	14.3
36.6	14.43	14.52	14.39
36.7	14.4	14.35	14.38
36.8	14.36	14.33	14.39
36.9	14.33	14.42	14.42
37.0	14.2	14.42	14.32
37.1	14.43	14.42	14.39
