trigger_id,condition_id,stream_idx,window_start,window_end,centroid_class,metric,metric_value,rationale
glp1r_5VEX_WT:A_ThermalShock:C05,glp1r_5VEX_WT,,,,,,,
glp1r_5VEX_WT:B_UVAromatic:C03,glp1r_5VEX_WT,,,,,,,
glp1r_5VEX_WT:B_UVAromatic:C04,glp1r_5VEX_WT,,,,,,,
glp1r_5VEX_WT:C_Equilibrium:C01,glp1r_5VEX_WT,,,,,,,
glp1r_5VEX_WT:C_Equilibrium:C02,glp1r_5VEX_WT,,,,,,,
glp1r_5VEX_WT:D_Hysteresis:C02,glp1r_5VEX_WT,,,,,,,
glp1r_6LN2_A316T:A_ThermalShock:C05,glp1r_6LN2_A316T,,,,,,,
glp1r_6LN2_A316T:B_UVAromatic:C03,glp1r_6LN2_A316T,,,,,,,
glp1r_6LN2_A316T:B_UVAromatic:C04,glp1r_6LN2_A316T,,,,,,,
glp1r_6LN2_A316T:C_Equilibrium:C01,glp1r_6LN2_A316T,,,,,,,
glp1r_6LN2_A316T:C_Equilibrium:C02,glp1r_6LN2_A316T,,,,,,,
glp1r_6LN2_A316T:D_Hysteresis:C02,glp1r_6LN2_A316T,,,,,,,
glp1r_6LN2_T149M:A_ThermalShock:C05,glp1r_6LN2_T149M,,,,,,,
glp1r_6LN2_T149M:B_UVAromatic:C03,glp1r_6LN2_T149M,,,,,,,
glp1r_6LN2_T149M:B_UVAromatic:C04,glp1r_6LN2_T149M,,,,,,,
glp1r_6LN2_T149M:C_Equilibrium:C01,glp1r_6LN2_T149M,,,,,,,
glp1r_6LN2_T149M:C_Equilibrium:C02,glp1r_6LN2_T149M,,,,,,,
glp1r_6LN2_T149M:D_Hysteresis:C02,glp1r_6LN2_T149M,,,,,,,
glp1r_6LN2_WT:A_ThermalShock:C05,glp1r_6LN2_WT,,,,,,,
glp1r_6LN2_WT:B_UVAromatic:C03,glp1r_6LN2_WT,,,,,,,
glp1r_6LN2_WT:B_UVAromatic:C04,glp1r_6LN2_WT,,,,,,,
glp1r_6LN2_WT:C_Equilibrium:C01,glp1r_6LN2_WT,,,,,,,
glp1r_6LN2_WT:C_Equilibrium:C02,glp1r_6LN2_WT,,,,,,,
glp1r_6LN2_WT:D_Hysteresis:C02,glp1r_6LN2_WT,,,,,,,
glp1r_6X1A_WT:A_ThermalShock:C05,glp1r_6X1A_WT,,,,,,,
glp1r_6X1A_WT:B_UVAromatic:C03,glp1r_6X1A_WT,,,,,,,
glp1r_6X1A_WT:B_UVAromatic:C04,glp1r_6X1A_WT,,,,,,,
glp1r_6X1A_WT:C_Equilibrium:C01,glp1r_6X1A_WT,,,,,,,
glp1r_6X1A_WT:C_Equilibrium:C02,glp1r_6X1A_WT,,,,,,,
glp1r_6X1A_WT:D_Hysteresis:C01,glp1r_6X1A_WT,,,,,,,
glp1r_6X1A_WT:D_Hysteresis:C02,glp1r_6X1A_WT,,,,,,,
glp1r_6XOX_A316T:A_ThermalShock:C05,glp1r_6XOX_A316T,,,,,,,
glp1r_6XOX_A316T:B_UVAromatic:C03,glp1r_6XOX_A316T,,,,,,,
glp1r_6XOX_A316T:B_UVAromatic:C04,glp1r_6XOX_A316T,,,,,,,
glp1r_6XOX_A316T:C_Equilibrium:C01,glp1r_6XOX_A316T,,,,,,,
glp1r_6XOX_A316T:C_Equilibrium:C02,glp1r_6XOX_A316T,,,,,,,
glp1r_6XOX_A316T:D_Hysteresis:C01,glp1r_6XOX_A316T,,,,,,,
glp1r_6XOX_A316T:D_Hysteresis:C02,glp1r_6XOX_A316T,,,,,,,
glp1r_6XOX_T149M:A_ThermalShock:C05,glp1r_6XOX_T149M,,,,,,,
glp1r_6XOX_T149M:B_UVAromatic:C03,glp1r_6XOX_T149M,,,,,,,
glp1r_6XOX_T149M:B_UVAromatic:C04,glp1r_6XOX_T149M,,,,,,,
glp1r_6XOX_T149M:C_Equilibrium:C01,glp1r_6XOX_T149M,,,,,,,
glp1r_6XOX_T149M:C_Equilibrium:C02,glp1r_6XOX_T149M,,,,,,,
glp1r_6XOX_T149M:D_Hysteresis:C01,glp1r_6XOX_T149M,,,,,,,
glp1r_6XOX_T149M:D_Hysteresis:C02,glp1r_6XOX_T149M,,,,,,,
glp1r_6XOX_WT:A_ThermalShock:C05,glp1r_6XOX_WT,,,,,,,
glp1r_6XOX_WT:B_UVAromatic:C03,glp1r_6XOX_WT,,,,,,,
glp1r_6XOX_WT:B_UVAromatic:C04,glp1r_6XOX_WT,,,,,,,
glp1r_6XOX_WT:C_Equilibrium:C01,glp1r_6XOX_WT,,,,,,,
glp1r_6XOX_WT:C_Equilibrium:C02,glp1r_6XOX_WT,,,,,,,
glp1r_6XOX_WT:D_Hysteresis:C01,glp1r_6XOX_WT,,,,,,,
glp1r_6XOX_WT:D_Hysteresis:C02,glp1r_6XOX_WT,,,,,,,
