solution_rank,anchor_id,canonical_smiles,sa_score,pi_complement,pi_clash,projected_durability_improvement,liability_edge_label,anchor_epistemic_class,solution_epistemic_class
1,CAL-ANCHOR-000453,Cc1cc(N2CCc3nn(-c4cc(C)c(F)c(C)c4)c(-c4ccccc4)c3[C@H]2C)cc(C)c1F,3.348796228119703,14.610405195538613,0.0,0.7326764496184394,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
2,CAL-ANCHOR-000405,Cc1cc(N2CCc3nn(-c4cc(C)c(F)c(C)c4)c(-c4ccccc4)c3C2C)cc(C)c1F,3.348796228119703,14.372511647606947,0.0,0.72687184425741,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
3,CAL-ANCHOR-000338,Cc1cc(-c2c3c(nn2-c2ccccc2)CCN(c2cc(C)c(F)c(C)c2)[C@@H]3C)cc(C)c1F,3.355226673463833,14.25914160666384,0.0,0.7240614355981481,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
4,CAL-ANCHOR-000177,Cc1cc(-c2c3c(nn2-c2cc(C)c(F)c(C)c2)CCN(c2ccccc2)[C@H]3C)cc(C)c1F,3.3593659447188937,14.198432867429053,0.0,0.7225446144468273,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
5,CAL-ANCHOR-000212,Cc1cc(-c2c3c(nn2-c2ccccc2)CCN(c2cc(C)c(F)c(C)c2)C3C)cc(C)c1F,3.355226673463833,14.177820132712123,0.0,0.722027706927531,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
6,CAL-ANCHOR-000142,Cc1cc(-c2c3c(nn2-c2cc(C)c(F)c(C)c2)CCN(c2ccccc2)[C@@H]3C)cc(C)c1F,3.3593659447188937,14.165254835521667,0.0,0.7217121334342309,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
7,CAL-ANCHOR-000107,Cc1cc(-c2c3c(nn2-c2cc(C)c(F)c(C)c2)CCN(c2ccccc2)C3C)cc(C)c1F,3.3593659447188937,14.161372299872932,0.0,0.7216145523378816,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
8,CAL-ANCHOR-000473,Cc1cc(N2CCc3nn(-c4cc(C)c(F)c(C)c4)c(-c4ccccc4)c3[C@@H]2C)cc(C)c1F,3.348796228119703,14.121558661584073,0.0,0.7206119259381993,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
9,CAL-ANCHOR-000302,CCP(=O)(CC)c1ccc(-n2ccn(-c3ccccc3)c2=O)cc1-c1cc(C)c(F)c(C)c1,3.0888398748295582,13.9998588168855,0.0,0.7175247156904083,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
10,CAL-ANCHOR-000373,Cc1cc(-c2c3c(nn2-c2ccccc2)CCN(c2cc(C)c(F)c(C)c2)[C@H]3C)cc(C)c1F,3.355226673463833,13.988917125511788,0.0,0.7172454874647803,PHE143 -> TYR148,HYPOTHESIZED,PROJECTED
