anchor_id,smiles,mw,clogp
ANCHOR_000001,BrC#Cc1cccnc1,182.02,1.7855
ANCHOR_000002,BrC12CCC(CC1)C2,175.069,2.714
ANCHOR_000003,BrC12CCC1CC2,161.042,2.3239
ANCHOR_000004,BrC1=NC2=NC=CC2=CC1,197.035,2.0357
ANCHOR_000005,Br[C@@]12CCCC[C@H]1CNCC2,218.138,2.3036
ANCHOR_000006,Br[C@]12CCCC[C@@H]1CNCC2,218.138,2.3036
ANCHOR_000007,Br[C@]12CCCC[C@H]1CNCC2,218.138,2.3036
ANCHOR_000008,Brc1[nH]c2c3c1CN[C@@H]3CC2,213.078,1.8677
ANCHOR_000009,Brc1[nH]c2c3c1CN[C@H]3CCC2,227.105,2.2578
ANCHOR_000010,Brc1[nH]cc2c1COC[C@H]2C1CC1,242.116,2.801
ANCHOR_000011,Brc1[nH]cc2c1CO[C@@H]1CCC[C@@H]21,242.116,2.9435
ANCHOR_000012,Brc1[nH]cc2c1[C@@H]1COCC[C@H]1O2,244.088,2.0421
ANCHOR_000013,Brc1c2c(cc3c1OCO3)CCO2,243.056,2.1127
ANCHOR_000014,Brc1c2cc[nH]c2nc2cc[nH]c12,236.072,2.8067
ANCHOR_000015,Brc1c[nH]c(-c2ccco2)n1,213.034,2.4322
ANCHOR_000016,Brc1c[nH]c(Br)n1,225.871,1.9347
ANCHOR_000017,Brc1c[nH]c2c1Cc1cn[nH]c1-2,224.061,2.0715
ANCHOR_000018,Brc1c[nH]c2cncnc12,198.023,1.7204
ANCHOR_000019,Brc1c[nH]c2ncncc12,198.023,1.7204
ANCHOR_000020,Brc1c[nH]cn1,146.975,1.1722
ANCHOR_000021,Brc1c[nH]nc1-c1nccs1,230.09,2.2957
ANCHOR_000022,Brc1c[nH]nc1CN1CCNCC1,245.124,0.5774
ANCHOR_000023,Brc1c[nH]nn1,147.963,0.5672
ANCHOR_000024,Brc1cc(-c2ccncc2)ccn1,235.084,2.9061
ANCHOR_000025,Brc1cc(-c2ccncn2)cs1,241.113,2.9676
ANCHOR_000026,Brc1cc(-c2cscn2)ccn1,241.113,2.9676
ANCHOR_000027,Brc1cc(-c2ncccn2)ccn1,236.072,2.3011
ANCHOR_000028,Brc1cc(C2CC2)co1,187.036,2.9195
ANCHOR_000029,Brc1cc(C2CCC2)ncn1,213.078,2.5066
ANCHOR_000030,Brc1cc(C2CCOCC2)co1,231.089,2.9361
ANCHOR_000031,Brc1cc(CNC2CC2)cs1,232.146,2.7626
ANCHOR_000032,Brc1cc(C[C@H]2CCCN2)cs1,246.173,2.8051
ANCHOR_000033,Brc1cc(N2CCCCC2)ncn1,242.12,2.2294
