anchor_id,canonical_smiles,source_database
"CHEMBL6355","O=c1oc2ccccc2c2ccccc12","ChEMBL"
"CHEMBL3","CN1CCC[C@H]1c1cccnc1","ChEMBL"
"CHEMBL6200","c1cncc([C@@H]2CCCN2)c1","ChEMBL"
"CHEMBL440577","COC(=O)[C@@H](N)CO","ChEMBL"
"CHEMBL403","CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O","ChEMBL"
"CHEMBL6215","CCc1cc2c(O)ncnc2s1","ChEMBL"
"CHEMBL6224","C1=C(c2ccccc2)CCNC1","ChEMBL"
"CHEMBL267230","C[N+]1([O-])CC=C(c2ccccc2)CC1","ChEMBL"
"CHEMBL269056","CCc1cc2c(Cl)ncnc2s1","ChEMBL"
"CHEMBL6257","NC(=O)c1cc2c(Cl)cncc2s1","ChEMBL"
"CHEMBL269538","COc1ccc2c(c1)[nH]c1c(C)nccc12","ChEMBL"
"CHEMBL6857","Brc1cccc2c3c([nH]c12)CNCC3","ChEMBL"
"CHEMBL6746","Brc1cccc2c3c([nH]c12)C=NCC3","ChEMBL"
"CHEMBL6717","COc1ccc2[nH]c3c(c2c1)CCN=C3","ChEMBL"
"CHEMBL6398","CNC(=N)NCCCC(N)P(=O)(O)O","ChEMBL"
"CHEMBL6591","COc1cccc2[nH]c3c(c12)CCN=C3","ChEMBL"
"CHEMBL6586","COc1cccc2[nH]c3c(c12)CCNC3","ChEMBL"
"CHEMBL6388","NC(N)=NCCCC(N)P(=O)(O)O","ChEMBL"
"CHEMBL6401","NC(N)=NCCCC(N)[PH](=O)O","ChEMBL"
"CHEMBL268667","NC(=O)Sc1cncc2sc(C(N)=O)cc12","ChEMBL"
"CHEMBL6310","COc1ccc2c3c([nH]c2c1)CNCC3","ChEMBL"
"CHEMBL269571","COc1cccc2c3c([nH]c12)CNCC3","ChEMBL"
"CHEMBL6305","CNC(=N)NCCCC(N)[PH](=O)O","ChEMBL"
"CHEMBL266221","C1=NCCc2c1[nH]c1ccccc21","ChEMBL"
"CHEMBL269057","N/C(=N/CCCC(N)P(=O)(O)O)N[N+](=O)[O-]","ChEMBL"
