rank,trajectory_id,anchor_id,canonical_smiles,sampling_temperature,sampling_regime,sampled_dihedral_deg,sigma_shear_mean,hysteresis_mean,reversibility_mean,pathway_voxels_occupied,pathway_neighborhood_contacts,pathway_neighborhood_score_mean,pathway_score_mean,species_conservation_score_mean,field_consensus_complement_bonus,charge_feature_mean,u_pose,u_pose_source,policy_logprob,trajectory_entropy,reward,pi_complement,adjusted_pi_clash,pi_clash_pocket,pi_clash_lock,sigma_shear,pi_clash_lock_cold_hold,pi_clash_lock_ramp_up,pi_clash_lock_warm_hold,pi_clash_lock_ramp_down,pi_clash_lock_cold_return,lock_geometry_score,lock_geometry_atom_count,lock_voxel_indices_json,lock_occupancy_cold_hold,lock_occupancy_ramp_up,lock_occupancy_warm_hold,lock_occupancy_ramp_down,lock_occupancy_cold_return,intracellular_penetration_depth_angstrom,lock_steric_volume_angstrom3,cryptic_bonus,consensus_complement_bonus,pathway_voxels,void_atom_count,survival_tier,selected_dihedral_deg,reward_components_json,lock_phase_provenance,nma_disruption_penalty,hydration_blockade_penalty,thermodynamic_trap_penalty,pathway_bonus,u_pose_right,continuity_admissibility,continuity_reward_v1,continuity_provenance,oracle_valid,generated_by_policy,epistemic_class,training_status
1,near_random-000545,ANCHOR_080388,Cc1nc(CN)[nH]c1-c1ccc2c(c1)CCCO2,5.0,near_random,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17946739785525265,0.1823215567939546,best_rotamer_rank_proxy,-12.158629417419434,11.235594749450684,46.212384714260466,5.0,2.910298042629729,2.6214898399260154,37.83387455418648,0.0,428.17239398254753,219.2694128417909,10.366431701034312,219.26941284179094,449.5810136816749,37.83387455418648,13.0,"[243012,243109,243204,252133,252324,252419,252420,261444,261445,261446,261637,270758]",428.17239398254753,219.2694128417909,10.366431701034312,219.26941284179094,449.5810136816749,0.0,260.0,6.0,0.0,0,0,cryptic_rescue,60.0,"{""adjusted_pi_clash"":2.910298042629729,""consensus_complement_bonus"":0.0,""cryptic_bonus"":6.0,""fragment_pi_complement"":5.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":13,""lock_geometry_score"":37.83387455418648,""lock_occupancy_cold_hold"":428.17239398254753,""lock_occupancy_cold_return"":449.5810136816749,""lock_occupancy_ramp_down"":219.26941284179094,""lock_occupancy_ramp_up"":219.2694128417909,""lock_occupancy_warm_hold"":10.366431701034312,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=13:total_atoms=131:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":260.0,""lock_voxel_indices"":""[243012,243109,243204,252133,252324,252419,252420,261444,261445,261446,261637,270758]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":37.83387455418648,""pi_clash_lock_cold_hold"":428.17239398254753,""pi_clash_lock_cold_return"":449.5810136816749,""pi_clash_lock_ramp_down"":219.26941284179094,""pi_clash_lock_ramp_up"":219.2694128417909,""pi_clash_lock_warm_hold"":10.366431701034312,""pi_clash_pocket"":2.6214898399260154,""rust_reward_authority"":true,""selected_dihedral_deg"":60.0,""survival_tier"":""cryptic_rescue""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,46.212384714260466,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
2,near_random-000726,ANCHOR_014548,CC(C)c1nc2cc(-c3cc(N)n[nH]3)ccc2[nH]1,5.0,near_random,120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2201143429367448,0.40546510810816444,best_rotamer_rank_proxy,-11.44006633758545,11.235594749450684,35.00499883313885,4.0,1.9075368713630465,1.700517365943801,26.705516199082652,0.0,478.99522340332715,245.23746337246956,11.479703341612018,245.2374633724696,502.9449845734935,26.705516199082652,14.0,"[206342,215560,215653,215654,215656,224775,224777,225063,234087,234183,243303]",478.99522340332715,245.23746337246956,11.479703341612018,245.2374633724696,502.9449845734935,0.0,280.0,6.0,0.0,0,0,normal,120.0,"{""adjusted_pi_clash"":1.9075368713630465,""consensus_complement_bonus"":0.0,""cryptic_bonus"":6.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":14,""lock_geometry_score"":26.705516199082652,""lock_occupancy_cold_hold"":478.99522340332715,""lock_occupancy_cold_return"":502.9449845734935,""lock_occupancy_ramp_down"":245.2374633724696,""lock_occupancy_ramp_up"":245.23746337246956,""lock_occupancy_warm_hold"":11.479703341612018,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=14:total_atoms=129:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":280.0,""lock_voxel_indices"":""[206342,215560,215653,215654,215656,224775,224777,225063,234087,234183,243303]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":26.705516199082652,""pi_clash_lock_cold_hold"":478.99522340332715,""pi_clash_lock_cold_return"":502.9449845734935,""pi_clash_lock_ramp_down"":245.2374633724696,""pi_clash_lock_ramp_up"":245.23746337246956,""pi_clash_lock_warm_hold"":11.479703341612018,""pi_clash_pocket"":1.700517365943801,""rust_reward_authority"":true,""selected_dihedral_deg"":120.0,""survival_tier"":""normal""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,35.00499883313885,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
3,exploration-000209,ANCHOR_094963,NCc1ncc(-c2ccc3c(c2)CCC3)[nH]1,2.0,exploration,180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1757626139658671,0.6931471805599453,best_rotamer_rank_proxy,-11.62912368774414,11.185348510742188,24.86098170555148,4.0,2.104063184621001,1.9715237714165286,16.83250547696801,0.0,251.1885962285687,128.73992662824884,6.291257027928966,128.73992662824887,263.74802603999717,16.83250547696801,8.0,"[215846,215943,215944,216039,225062,225157,234183,234278]",251.1885962285687,128.73992662824884,6.291257027928966,128.73992662824887,263.74802603999717,0.0,160.0,6.0,0.0,0,0,normal,180.0,"{""adjusted_pi_clash"":2.104063184621001,""consensus_complement_bonus"":0.0,""cryptic_bonus"":6.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":8,""lock_geometry_score"":16.83250547696801,""lock_occupancy_cold_hold"":251.1885962285687,""lock_occupancy_cold_return"":263.74802603999717,""lock_occupancy_ramp_down"":128.73992662824887,""lock_occupancy_ramp_up"":128.73992662824884,""lock_occupancy_warm_hold"":6.291257027928966,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=8:total_atoms=127:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":160.0,""lock_voxel_indices"":""[215846,215943,215944,216039,225062,225157,234183,234278]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":16.83250547696801,""pi_clash_lock_cold_hold"":251.1885962285687,""pi_clash_lock_cold_return"":263.74802603999717,""pi_clash_lock_ramp_down"":128.73992662824887,""pi_clash_lock_ramp_up"":128.73992662824884,""pi_clash_lock_warm_hold"":6.291257027928966,""pi_clash_pocket"":1.9715237714165286,""rust_reward_authority"":true,""selected_dihedral_deg"":180.0,""survival_tier"":""normal""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,24.86098170555148,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
4,focused-001670,ANCHOR_094399,NCc1ccc(-c2ccnn2-c2ccccc2)cc1,0.5,focused,240.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17271299975695392,1.0986122886681098,best_rotamer_rank_proxy,-9.530744552612305,10.18816089630127,24.147558854247993,6.0,3.348179317391469,3.2451584153178854,13.392717269565876,0.0,138.76707094369092,71.22417356187168,3.681276180052447,71.2241735618717,145.7054244908755,13.392717269565876,4.0,"[270565,270757,279877]",138.76707094369092,71.22417356187168,3.681276180052447,71.2241735618717,145.7054244908755,0.0,80.0,8.0,0.0,0,0,cryptic_rescue,240.0,"{""adjusted_pi_clash"":3.348179317391469,""consensus_complement_bonus"":0.0,""cryptic_bonus"":8.0,""fragment_pi_complement"":6.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":4,""lock_geometry_score"":13.392717269565876,""lock_occupancy_cold_hold"":138.76707094369092,""lock_occupancy_cold_return"":145.7054244908755,""lock_occupancy_ramp_down"":71.2241735618717,""lock_occupancy_ramp_up"":71.22417356187168,""lock_occupancy_warm_hold"":3.681276180052447,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=4:total_atoms=130:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":80.0,""lock_voxel_indices"":""[270565,270757,279877]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":13.392717269565876,""pi_clash_lock_cold_hold"":138.76707094369092,""pi_clash_lock_cold_return"":145.7054244908755,""pi_clash_lock_ramp_down"":71.2241735618717,""pi_clash_lock_ramp_up"":71.22417356187168,""pi_clash_lock_warm_hold"":3.681276180052447,""pi_clash_pocket"":3.2451584153178854,""rust_reward_authority"":true,""selected_dihedral_deg"":240.0,""survival_tier"":""cryptic_rescue""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,24.147558854247993,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
5,focused-000347,ANCHOR_088669,N#Cc1cccc(NC(=O)[C@H]2CCCNC2)c1,0.5,focused,120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18915744972764514,0.40546510810816444,best_rotamer_rank_proxy,-10.280195236206055,10.18816089630127,22.865727346617284,4.0,2.124920129505822,2.0087135599234722,14.874440906540753,0.0,224.71831652964167,115.31835816133946,5.918399793037244,115.31835816133945,235.95423235612375,14.874440906540753,7.0,"[206728,206825,215945,216040,225064,225158]",224.71831652964167,115.31835816133946,5.918399793037244,115.31835816133945,235.95423235612375,0.0,140.0,6.0,0.0,0,0,normal,120.0,"{""adjusted_pi_clash"":2.124920129505822,""consensus_complement_bonus"":0.0,""cryptic_bonus"":6.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":7,""lock_geometry_score"":14.874440906540753,""lock_occupancy_cold_hold"":224.71831652964167,""lock_occupancy_cold_return"":235.95423235612375,""lock_occupancy_ramp_down"":115.31835816133945,""lock_occupancy_ramp_up"":115.31835816133946,""lock_occupancy_warm_hold"":5.918399793037244,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=7:total_atoms=128:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":140.0,""lock_voxel_indices"":""[206728,206825,215945,216040,225064,225158]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":14.874440906540753,""pi_clash_lock_cold_hold"":224.71831652964167,""pi_clash_lock_cold_return"":235.95423235612375,""pi_clash_lock_ramp_down"":115.31835816133945,""pi_clash_lock_ramp_up"":115.31835816133946,""pi_clash_lock_warm_hold"":5.918399793037244,""pi_clash_pocket"":2.0087135599234722,""rust_reward_authority"":true,""selected_dihedral_deg"":120.0,""survival_tier"":""normal""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,22.865727346617284,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
6,balanced-001663,ANCHOR_081210,Cc1nc2cc([C@@H](C)CCN)ccc2n1C,1.0,balanced,240.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16097280013926177,1.0986122886681098,best_rotamer_rank_proxy,-10.236348152160645,10.99187183380127,22.27661221648396,3.0,2.446741838226377,2.2973224893270565,19.573934705811016,0.0,261.6270638847135,133.94077868304322,6.254493481372988,133.94077868304325,274.7084170789492,19.573934705811016,8.0,"[252325,252421,252422,252515,252517,261635,261637,261730]",261.6270638847135,133.94077868304322,6.254493481372988,133.94077868304325,274.7084170789492,0.0,160.0,2.0,0.0,0,0,normal,60.0,"{""adjusted_pi_clash"":2.446741838226377,""consensus_complement_bonus"":0.0,""cryptic_bonus"":2.0,""fragment_pi_complement"":3.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":8,""lock_geometry_score"":19.573934705811016,""lock_occupancy_cold_hold"":261.6270638847135,""lock_occupancy_cold_return"":274.7084170789492,""lock_occupancy_ramp_down"":133.94077868304325,""lock_occupancy_ramp_up"":133.94077868304322,""lock_occupancy_warm_hold"":6.254493481372988,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=8:total_atoms=131:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":160.0,""lock_voxel_indices"":""[252325,252421,252422,252515,252517,261635,261637,261730]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":19.573934705811016,""pi_clash_lock_cold_hold"":261.6270638847135,""pi_clash_lock_cold_return"":274.7084170789492,""pi_clash_lock_ramp_down"":133.94077868304325,""pi_clash_lock_ramp_up"":133.94077868304322,""pi_clash_lock_warm_hold"":6.254493481372988,""pi_clash_pocket"":2.2973224893270565,""rust_reward_authority"":true,""selected_dihedral_deg"":60.0,""survival_tier"":""normal""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,22.27661221648396,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
7,near_random-000357,ANCHOR_092283,NCCc1cc(-c2ccc3c(c2)CCC3)on1,5.0,near_random,180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16060914167633178,0.6931471805599453,best_rotamer_rank_proxy,-11.705423355102539,11.235689163208008,20.952511459570715,3.0,1.5370401180910522,1.4178897213398078,15.370401180910523,0.0,325.8480688775859,166.8652597306147,7.8824505836435055,166.8652597306147,342.1404723214652,15.370401180910523,10.0,"[243203,252321,252323,252417,252418,252419,252515,261634,270848,270849]",325.8480688775859,166.8652597306147,7.8824505836435055,166.8652597306147,342.1404723214652,0.0,200.0,4.0,0.0,0,0,normal,180.0,"{""adjusted_pi_clash"":1.5370401180910522,""consensus_complement_bonus"":0.0,""cryptic_bonus"":4.0,""fragment_pi_complement"":3.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":10,""lock_geometry_score"":15.370401180910523,""lock_occupancy_cold_hold"":325.8480688775859,""lock_occupancy_cold_return"":342.1404723214652,""lock_occupancy_ramp_down"":166.8652597306147,""lock_occupancy_ramp_up"":166.8652597306147,""lock_occupancy_warm_hold"":7.8824505836435055,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=10:total_atoms=129:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":200.0,""lock_voxel_indices"":""[243203,252321,252323,252417,252418,252419,252515,261634,270848,270849]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":15.370401180910523,""pi_clash_lock_cold_hold"":325.8480688775859,""pi_clash_lock_cold_return"":342.1404723214652,""pi_clash_lock_ramp_down"":166.8652597306147,""pi_clash_lock_ramp_up"":166.8652597306147,""pi_clash_lock_warm_hold"":7.8824505836435055,""pi_clash_pocket"":1.4178897213398078,""rust_reward_authority"":true,""selected_dihedral_deg"":180.0,""survival_tier"":""normal""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,20.952511459570715,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
8,exploration-000834,ANCHOR_089681,NC(=O)Nc1ccc2nc(C3CC3)[nH]c2c1,2.0,exploration,180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2726722258922397,0.6931471805599453,best_rotamer_rank_proxy,-11.77543830871582,11.185348510742188,20.707257267006085,3.0,2.7151755608766046,2.583796098253543,16.29105336525963,0.0,190.71137287273626,97.79499251539285,4.878612158049488,97.7949925153929,200.24694151637308,16.29105336525963,6.0,"[206633,206826,215849,215946,216041,225065]",190.71137287273626,97.79499251539285,4.878612158049488,97.7949925153929,200.24694151637308,0.0,120.0,4.0,0.0,0,0,cryptic_rescue,180.0,"{""adjusted_pi_clash"":2.7151755608766046,""consensus_complement_bonus"":0.0,""cryptic_bonus"":4.0,""fragment_pi_complement"":3.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":6,""lock_geometry_score"":16.29105336525963,""lock_occupancy_cold_hold"":190.71137287273626,""lock_occupancy_cold_return"":200.24694151637308,""lock_occupancy_ramp_down"":97.7949925153929,""lock_occupancy_ramp_up"":97.79499251539285,""lock_occupancy_warm_hold"":4.878612158049488,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=6:total_atoms=124:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":120.0,""lock_voxel_indices"":""[206633,206826,215849,215946,216041,225065]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":16.29105336525963,""pi_clash_lock_cold_hold"":190.71137287273626,""pi_clash_lock_cold_return"":200.24694151637308,""pi_clash_lock_ramp_down"":97.7949925153929,""pi_clash_lock_ramp_up"":97.79499251539285,""pi_clash_lock_warm_hold"":4.878612158049488,""pi_clash_pocket"":2.583796098253543,""rust_reward_authority"":true,""selected_dihedral_deg"":180.0,""survival_tier"":""cryptic_rescue""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,20.707257267006085,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
9,exploration-001217,ANCHOR_029034,CCc1nc2cc(-c3cc(N)[nH]n3)ccc2[nH]1,2.0,exploration,240.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23453481828173,1.0986122886681098,best_rotamer_rank_proxy,-12.990073204040527,11.185348510742188,20.28710480029712,4.0,3.3931288084749665,3.2854104336027454,13.572515233899866,0.0,130.31337795568308,66.71374884318304,3.114119730683007,66.71374884318304,136.82904685346725,13.572515233899866,4.0,"[234087,243206,243302,243303]",130.31337795568308,66.71374884318304,3.114119730683007,66.71374884318304,136.82904685346725,0.0,80.0,6.0,0.0,0,0,cryptic_rescue,240.0,"{""adjusted_pi_clash"":3.3931288084749665,""consensus_complement_bonus"":0.0,""cryptic_bonus"":6.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":4,""lock_geometry_score"":13.572515233899866,""lock_occupancy_cold_hold"":130.31337795568308,""lock_occupancy_cold_return"":136.82904685346725,""lock_occupancy_ramp_down"":66.71374884318304,""lock_occupancy_ramp_up"":66.71374884318304,""lock_occupancy_warm_hold"":3.114119730683007,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=4:total_atoms=126:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":80.0,""lock_voxel_indices"":""[234087,243206,243302,243303]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":13.572515233899866,""pi_clash_lock_cold_hold"":130.31337795568308,""pi_clash_lock_cold_return"":136.82904685346725,""pi_clash_lock_ramp_down"":66.71374884318304,""pi_clash_lock_ramp_up"":66.71374884318304,""pi_clash_lock_warm_hold"":3.114119730683007,""pi_clash_pocket"":3.2854104336027454,""rust_reward_authority"":true,""selected_dihedral_deg"":240.0,""survival_tier"":""cryptic_rescue""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,20.28710480029712,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
10,near_random-000964,ANCHOR_046078,COc1ccc2cc([C@H]3C[C@@H]3CN)ccc2c1,5.0,near_random,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14588242370931748,0.1823215567939546,best_rotamer_rank_proxy,-10.325382232666016,11.235690116882324,19.753607406821097,2.0,1.9476786088090878,1.8278214636516055,15.581428870472703,0.0,266.5260716571107,136.37190797378761,6.217744290464514,136.37190797378761,279.85237523996625,15.581428870472703,8.0,"[261255,261350,261352,261447,261541,261542,270471]",266.5260716571107,136.37190797378761,6.217744290464514,136.37190797378761,279.85237523996625,0.0,160.0,4.0,0.0,0,0,normal,60.0,"{""adjusted_pi_clash"":1.9476786088090878,""consensus_complement_bonus"":0.0,""cryptic_bonus"":4.0,""fragment_pi_complement"":2.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":8,""lock_geometry_score"":15.581428870472703,""lock_occupancy_cold_hold"":266.5260716571107,""lock_occupancy_cold_return"":279.85237523996625,""lock_occupancy_ramp_down"":136.37190797378761,""lock_occupancy_ramp_up"":136.37190797378761,""lock_occupancy_warm_hold"":6.217744290464514,""lock_phase_provenance"":""PHASE_RESOLVED"",""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=8:total_atoms=130:phase_lock=PHASE_RESOLVED:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":160.0,""lock_voxel_indices"":""[261255,261350,261352,261447,261541,261542,270471]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":15.581428870472703,""pi_clash_lock_cold_hold"":266.5260716571107,""pi_clash_lock_cold_return"":279.85237523996625,""pi_clash_lock_ramp_down"":136.37190797378761,""pi_clash_lock_ramp_up"":136.37190797378761,""pi_clash_lock_warm_hold"":6.217744290464514,""pi_clash_pocket"":1.8278214636516055,""rust_reward_authority"":true,""selected_dihedral_deg"":60.0,""survival_tier"":""normal""}",PHASE_RESOLVED,0.0,0.0,0.0,0.0,0.0,true,19.753607406821097,NOT_REQUESTED,true,true,PROJECTED,policy_generated_not_validated
