rank,trajectory_id,anchor_id,canonical_smiles,sampling_temperature,sampling_regime,sampled_dihedral_deg,policy_logprob,trajectory_entropy,reward,pi_complement,adjusted_pi_clash,pi_clash_pocket,pi_clash_lock,pi_clash_lock_cold_hold,pi_clash_lock_ramp_up,pi_clash_lock_warm_hold,pi_clash_lock_ramp_down,pi_clash_lock_cold_return,lock_geometry_score,lock_geometry_atom_count,lock_voxel_indices_json,lock_occupancy_cold_hold,lock_occupancy_ramp_up,lock_occupancy_warm_hold,lock_occupancy_ramp_down,lock_occupancy_cold_return,intracellular_penetration_depth_angstrom,lock_steric_volume_angstrom3,cryptic_bonus,survival_tier,selected_dihedral_deg,reward_components_json,oracle_valid,generated_by_policy,epistemic_class,training_status,lock_persistence_score,bias_projection_score,epistemic_confidence
1,T1-000943,ANCHOR_080388,Cc1nc(CN)[nH]c1-c1ccc2c(c1)CCCO2,1.0,T1,60.0,-11.201006889343262,11.233924865722656,46.212384714260466,5.0,2.910298042629729,2.6214898399260154,37.83387455418648,37.83387455418648,37.83387455418648,37.83387455418648,37.83387455418648,37.83387455418648,37.83387455418648,13.0,"[243012,243109,243204,252133,252324,252419,252420,261444,261445,261446,261637,270758]",37.83387455418648,37.83387455418648,37.83387455418648,37.83387455418648,37.83387455418648,0.0,260.0,6.0,cryptic_rescue,60.0,"{""adjusted_pi_clash"":2.910298042629729,""cryptic_bonus"":6.0,""fragment_pi_complement"":5.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":13,""lock_geometry_score"":37.83387455418648,""lock_occupancy_cold_hold"":37.83387455418648,""lock_occupancy_cold_return"":37.83387455418648,""lock_occupancy_ramp_down"":37.83387455418648,""lock_occupancy_ramp_up"":37.83387455418648,""lock_occupancy_warm_hold"":37.83387455418648,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=13:total_atoms=131:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":260.0,""lock_voxel_indices"":""[243012,243109,243204,252133,252324,252419,252420,261444,261445,261446,261637,270758]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":37.83387455418648,""pi_clash_lock_cold_hold"":37.83387455418648,""pi_clash_lock_cold_return"":37.83387455418648,""pi_clash_lock_ramp_down"":37.83387455418648,""pi_clash_lock_ramp_up"":37.83387455418648,""pi_clash_lock_warm_hold"":37.83387455418648,""pi_clash_pocket"":2.6214898399260154,""rust_reward_authority"":true,""selected_dihedral_deg"":60.0,""survival_tier"":""cryptic_rescue""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9998726680602634,L1
2,T2-000829,ANCHOR_014548,CC(C)c1nc2cc(-c3cc(N)n[nH]3)ccc2[nH]1,2.0,T2,120.0,-10.96006965637207,11.24256706237793,35.00499883313885,4.0,1.9075368713630465,1.700517365943801,26.705516199082652,26.705516199082652,26.705516199082652,26.705516199082652,26.705516199082652,26.705516199082652,26.705516199082652,14.0,"[206342,215560,215653,215654,215656,224775,224777,225063,234087,234183,243303]",26.705516199082652,26.705516199082652,26.705516199082652,26.705516199082652,26.705516199082652,0.0,280.0,6.0,normal,120.0,"{""adjusted_pi_clash"":1.9075368713630465,""cryptic_bonus"":6.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":14,""lock_geometry_score"":26.705516199082652,""lock_occupancy_cold_hold"":26.705516199082652,""lock_occupancy_cold_return"":26.705516199082652,""lock_occupancy_ramp_down"":26.705516199082652,""lock_occupancy_ramp_up"":26.705516199082652,""lock_occupancy_warm_hold"":26.705516199082652,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=14:total_atoms=129:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":280.0,""lock_voxel_indices"":""[206342,215560,215653,215654,215656,224775,224777,225063,234087,234183,243303]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":26.705516199082652,""pi_clash_lock_cold_hold"":26.705516199082652,""pi_clash_lock_cold_return"":26.705516199082652,""pi_clash_lock_ramp_down"":26.705516199082652,""pi_clash_lock_ramp_up"":26.705516199082652,""pi_clash_lock_warm_hold"":26.705516199082652,""pi_clash_pocket"":1.700517365943801,""rust_reward_authority"":true,""selected_dihedral_deg"":120.0,""survival_tier"":""normal""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9997498658624225,L1
3,T0p5-000942,ANCHOR_093860,NC[C@H]1CCN(c2ccc(C(N)=O)cc2)C1,0.5,T0p5,120.0,-11.042257308959961,11.162449836730957,28.239135123952234,4.0,2.865914852897737,2.6881836992296604,22.927318823181896,22.927318823181896,22.927318823181896,22.927318823181896,22.927318823181896,22.927318823181896,22.927318823181896,8.0,"[252039,252135,252231,252327,261350,261543,270470,270662]",22.927318823181896,22.927318823181896,22.927318823181896,22.927318823181896,22.927318823181896,0.0,160.0,4.0,cryptic_rescue,120.0,"{""adjusted_pi_clash"":2.865914852897737,""cryptic_bonus"":4.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":8,""lock_geometry_score"":22.927318823181896,""lock_occupancy_cold_hold"":22.927318823181896,""lock_occupancy_cold_return"":22.927318823181896,""lock_occupancy_ramp_down"":22.927318823181896,""lock_occupancy_ramp_up"":22.927318823181896,""lock_occupancy_warm_hold"":22.927318823181896,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=8:total_atoms=129:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":160.0,""lock_voxel_indices"":""[252039,252135,252231,252327,261350,261543,270470,270662]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":22.927318823181896,""pi_clash_lock_cold_hold"":22.927318823181896,""pi_clash_lock_cold_return"":22.927318823181896,""pi_clash_lock_ramp_down"":22.927318823181896,""pi_clash_lock_ramp_up"":22.927318823181896,""pi_clash_lock_warm_hold"":22.927318823181896,""pi_clash_pocket"":2.6881836992296604,""rust_reward_authority"":true,""selected_dihedral_deg"":120.0,""survival_tier"":""cryptic_rescue""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9996646638507661,L1
4,T2-001156,ANCHOR_013899,CC(C)c1ccc(-c2cc(C#N)nc(=O)[nH]2)cc1,2.0,T2,240.0,-11.355714797973633,11.24256706237793,20.97815326390456,3.0,1.4841224044057357,1.3789483757470615,13.35710163965162,13.35710163965162,13.35710163965162,13.35710163965162,13.35710163965162,13.35710163965162,13.35710163965162,9.0,"[261540,270563,270565,270660,270662,279781,279875,279970]",13.35710163965162,13.35710163965162,13.35710163965162,13.35710163965162,13.35710163965162,0.0,180.0,6.0,normal,240.0,"{""adjusted_pi_clash"":1.4841224044057357,""cryptic_bonus"":6.0,""fragment_pi_complement"":3.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":9,""lock_geometry_score"":13.35710163965162,""lock_occupancy_cold_hold"":13.35710163965162,""lock_occupancy_cold_return"":13.35710163965162,""lock_occupancy_ramp_down"":13.35710163965162,""lock_occupancy_ramp_up"":13.35710163965162,""lock_occupancy_warm_hold"":13.35710163965162,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=9:total_atoms=127:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":180.0,""lock_voxel_indices"":""[261540,270563,270565,270660,270662,279781,279875,279970]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":13.35710163965162,""pi_clash_lock_cold_hold"":13.35710163965162,""pi_clash_lock_cold_return"":13.35710163965162,""pi_clash_lock_ramp_down"":13.35710163965162,""pi_clash_lock_ramp_up"":13.35710163965162,""pi_clash_lock_warm_hold"":13.35710163965162,""pi_clash_pocket"":1.3789483757470615,""rust_reward_authority"":true,""selected_dihedral_deg"":240.0,""survival_tier"":""normal""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9990691577075811,L1
5,T2-000863,ANCHOR_089681,NC(=O)Nc1ccc2nc(C3CC3)[nH]c2c1,2.0,T2,180.0,-11.08757209777832,11.242650985717773,20.707257267006085,3.0,2.7151755608766046,2.583796098253543,16.29105336525963,16.29105336525963,16.29105336525963,16.29105336525963,16.29105336525963,16.29105336525963,16.29105336525963,6.0,"[206633,206826,215849,215946,216041,225065]",16.29105336525963,16.29105336525963,16.29105336525963,16.29105336525963,16.29105336525963,0.0,120.0,4.0,cryptic_rescue,180.0,"{""adjusted_pi_clash"":2.7151755608766046,""cryptic_bonus"":4.0,""fragment_pi_complement"":3.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":6,""lock_geometry_score"":16.29105336525963,""lock_occupancy_cold_hold"":16.29105336525963,""lock_occupancy_cold_return"":16.29105336525963,""lock_occupancy_ramp_down"":16.29105336525963,""lock_occupancy_ramp_up"":16.29105336525963,""lock_occupancy_warm_hold"":16.29105336525963,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=6:total_atoms=124:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":120.0,""lock_voxel_indices"":""[206633,206826,215849,215946,216041,225065]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":16.29105336525963,""pi_clash_lock_cold_hold"":16.29105336525963,""pi_clash_lock_cold_return"":16.29105336525963,""pi_clash_lock_ramp_down"":16.29105336525963,""pi_clash_lock_ramp_up"":16.29105336525963,""pi_clash_lock_warm_hold"":16.29105336525963,""pi_clash_pocket"":2.583796098253543,""rust_reward_authority"":true,""selected_dihedral_deg"":180.0,""survival_tier"":""cryptic_rescue""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9993580631255081,L1
6,T5-000364,ANCHOR_014864,CC(C)n1cnc2cc(/C=C/CN)ccc21,5.0,T5,60.0,-11.335392951965332,11.24459171295166,20.35988819778881,3.0,2.8127170393757317,2.7036969990898507,14.063585196878659,14.063585196878659,14.063585196878659,14.063585196878659,14.063585196878659,14.063585196878659,14.063585196878659,5.0,"[252135,252327,261350,261351]",14.063585196878659,14.063585196878659,14.063585196878659,14.063585196878659,14.063585196878659,0.0,100.0,6.0,cryptic_rescue,60.0,"{""adjusted_pi_clash"":2.8127170393757317,""cryptic_bonus"":6.0,""fragment_pi_complement"":3.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":5,""lock_geometry_score"":14.063585196878659,""lock_occupancy_cold_hold"":14.063585196878659,""lock_occupancy_cold_return"":14.063585196878659,""lock_occupancy_ramp_down"":14.063585196878659,""lock_occupancy_ramp_up"":14.063585196878659,""lock_occupancy_warm_hold"":14.063585196878659,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=5:total_atoms=129:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":100.0,""lock_voxel_indices"":""[252135,252327,261350,261351]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":14.063585196878659,""pi_clash_lock_cold_hold"":14.063585196878659,""pi_clash_lock_cold_return"":14.063585196878659,""pi_clash_lock_ramp_down"":14.063585196878659,""pi_clash_lock_ramp_up"":14.063585196878659,""pi_clash_lock_warm_hold"":14.063585196878659,""pi_clash_pocket"":2.7036969990898507,""rust_reward_authority"":true,""selected_dihedral_deg"":60.0,""survival_tier"":""cryptic_rescue""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9991543512860426,L1
7,T0p5-000736,ANCHOR_029034,CCc1nc2cc(-c3cc(N)[nH]n3)ccc2[nH]1,0.5,T0p5,240.0,-11.238077163696289,11.164637565612793,20.28710480029712,4.0,3.3931288084749665,3.2854104336027454,13.572515233899866,13.572515233899866,13.572515233899866,13.572515233899866,13.572515233899866,13.572515233899866,13.572515233899866,4.0,"[234087,243206,243302,243303]",13.572515233899866,13.572515233899866,13.572515233899866,13.572515233899866,13.572515233899866,0.0,80.0,6.0,cryptic_rescue,240.0,"{""adjusted_pi_clash"":3.3931288084749665,""cryptic_bonus"":6.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":4,""lock_geometry_score"":13.572515233899866,""lock_occupancy_cold_hold"":13.572515233899866,""lock_occupancy_cold_return"":13.572515233899866,""lock_occupancy_ramp_down"":13.572515233899866,""lock_occupancy_ramp_up"":13.572515233899866,""lock_occupancy_warm_hold"":13.572515233899866,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=4:total_atoms=126:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":80.0,""lock_voxel_indices"":""[234087,243206,243302,243303]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":13.572515233899866,""pi_clash_lock_cold_hold"":13.572515233899866,""pi_clash_lock_cold_return"":13.572515233899866,""pi_clash_lock_ramp_down"":13.572515233899866,""pi_clash_lock_ramp_up"":13.572515233899866,""pi_clash_lock_warm_hold"":13.572515233899866,""pi_clash_pocket"":3.2854104336027454,""rust_reward_authority"":true,""selected_dihedral_deg"":240.0,""survival_tier"":""cryptic_rescue""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.999096449387924,L1
8,T2-001930,ANCHOR_097565,N[C@H]1CC[C@@H](c2ccc3c(c2)NC(=O)CCO3)C1,2.0,T2,180.0,-11.172800064086914,11.24262809753418,20.011989351354245,4.0,2.643956485946902,2.5638365924333595,10.575825943787608,10.575825943787608,10.575825943787608,10.575825943787608,10.575825943787608,10.575825943787608,10.575825943787608,4.0,"[206729,215849,215943,215945]",10.575825943787608,10.575825943787608,10.575825943787608,10.575825943787608,10.575825943787608,0.0,80.0,8.0,cryptic_rescue,180.0,"{""adjusted_pi_clash"":2.643956485946902,""cryptic_bonus"":8.0,""fragment_pi_complement"":4.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":4,""lock_geometry_score"":10.575825943787608,""lock_occupancy_cold_hold"":10.575825943787608,""lock_occupancy_cold_return"":10.575825943787608,""lock_occupancy_ramp_down"":10.575825943787608,""lock_occupancy_ramp_up"":10.575825943787608,""lock_occupancy_warm_hold"":10.575825943787608,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=4:total_atoms=132:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":80.0,""lock_voxel_indices"":""[206729,215849,215943,215945]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":10.575825943787608,""pi_clash_lock_cold_hold"":10.575825943787608,""pi_clash_lock_cold_return"":10.575825943787608,""pi_clash_lock_ramp_down"":10.575825943787608,""pi_clash_lock_ramp_up"":10.575825943787608,""pi_clash_lock_warm_hold"":10.575825943787608,""pi_clash_pocket"":2.5638365924333595,""rust_reward_authority"":true,""selected_dihedral_deg"":180.0,""survival_tier"":""cryptic_rescue""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9985688401670282,L1
9,T0p5-001000,ANCHOR_046078,COc1ccc2cc([C@H]3C[C@@H]3CN)ccc2c1,0.5,T0p5,60.0,-11.263776779174805,11.167706489562988,19.753607406821097,2.0,1.9476786088090878,1.8278214636516055,15.581428870472703,15.581428870472703,15.581428870472703,15.581428870472703,15.581428870472703,15.581428870472703,15.581428870472703,8.0,"[261255,261350,261352,261447,261541,261542,270471]",15.581428870472703,15.581428870472703,15.581428870472703,15.581428870472703,15.581428870472703,0.0,160.0,4.0,normal,60.0,"{""adjusted_pi_clash"":1.9476786088090878,""cryptic_bonus"":4.0,""fragment_pi_complement"":2.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":8,""lock_geometry_score"":15.581428870472703,""lock_occupancy_cold_hold"":15.581428870472703,""lock_occupancy_cold_return"":15.581428870472703,""lock_occupancy_ramp_down"":15.581428870472703,""lock_occupancy_ramp_up"":15.581428870472703,""lock_occupancy_warm_hold"":15.581428870472703,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=8:total_atoms=130:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":160.0,""lock_voxel_indices"":""[261255,261350,261352,261447,261541,261542,270471]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":15.581428870472703,""pi_clash_lock_cold_hold"":15.581428870472703,""pi_clash_lock_cold_return"":15.581428870472703,""pi_clash_lock_ramp_down"":15.581428870472703,""pi_clash_lock_ramp_up"":15.581428870472703,""pi_clash_lock_warm_hold"":15.581428870472703,""pi_clash_pocket"":1.8278214636516055,""rust_reward_authority"":true,""selected_dihedral_deg"":60.0,""survival_tier"":""normal""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.999301981474675,L1
10,T5-001287,ANCHOR_012182,CC(C)Oc1ccc2[nH]c(=O)c(CN)cc2c1,5.0,T5,60.0,-11.354044914245605,11.244610786437988,18.402133372336294,3.0,2.8231769770276047,2.713751512801729,14.115884885138023,14.115884885138023,14.115884885138023,14.115884885138023,14.115884885138023,14.115884885138023,14.115884885138023,5.0,"[252231,261350,261351,261447,270663]",14.115884885138023,14.115884885138023,14.115884885138023,14.115884885138023,14.115884885138023,0.0,100.0,4.0,cryptic_rescue,60.0,"{""adjusted_pi_clash"":2.8231769770276047,""cryptic_bonus"":4.0,""fragment_pi_complement"":3.0,""intracellular_penetration_depth_angstrom"":0.0,""lock_geometry_atom_count"":5,""lock_geometry_score"":14.115884885138023,""lock_occupancy_cold_hold"":14.115884885138023,""lock_occupancy_cold_return"":14.115884885138023,""lock_occupancy_ramp_down"":14.115884885138023,""lock_occupancy_ramp_up"":14.115884885138023,""lock_occupancy_warm_hold"":14.115884885138023,""lock_proxy_method"":""residue_lock_region_mask_v2:lock_atoms=5:total_atoms=129:phase_lock=static_aggregate_replicated:steric_volume_proxy=20A3_per_atom"",""lock_steric_volume_angstrom3"":100.0,""lock_voxel_indices"":""[252231,261350,261351,261447,270663]"",""oracle_mode"":""validated_o3a_zmatrix_corpus_lookup"",""pi_clash_lock"":14.115884885138023,""pi_clash_lock_cold_hold"":14.115884885138023,""pi_clash_lock_cold_return"":14.115884885138023,""pi_clash_lock_ramp_down"":14.115884885138023,""pi_clash_lock_ramp_up"":14.115884885138023,""pi_clash_lock_warm_hold"":14.115884885138023,""pi_clash_pocket"":2.713751512801729,""rust_reward_authority"":true,""selected_dihedral_deg"":60.0,""survival_tier"":""cryptic_rescue""}",true,true,PROJECTED,policy_generated_not_validated,1.0,0.9991601880035187,L1
