# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 5znj_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.1339	33.84
2	1.1530	34.99
3	1.1558	35.16
4	1.1206	33.05
5	1.1586	35.33
6	1.1692	35.98
7	1.1035	32.05
8	1.0931	31.45
9	1.1004	31.87
10	1.1666	35.82
11	1.2282	39.70
12	1.2238	39.42
13	1.3362	46.99
14	1.4478	55.17
15	1.5205	60.85
16	1.5155	60.45
17	1.5184	60.68
18	1.5182	60.66
19	1.4670	56.64
20	1.4003	51.61
21	1.3713	49.49
22	1.2657	42.16
23	1.2495	41.09
24	1.1446	34.48
25	1.1413	34.28
26	1.1575	35.26
27	1.1198	33.00
28	1.0790	30.64
29	1.1016	31.94
30	1.1487	34.73
31	1.1399	34.20
32	1.1250	33.31
33	1.1243	33.27
34	1.0893	31.23
35	1.0660	29.91
36	1.1073	32.27
37	1.1255	33.34
38	1.1462	34.58
39	1.1393	34.16
40	1.1767	36.44
41	1.1327	33.77
42	1.1369	34.02
43	1.0797	30.68
44	1.0531	29.19
45	1.0261	27.71
46	0.9872	25.65
47	0.9847	25.52
48	0.9981	26.22
49	1.0192	27.34
50	1.0324	28.05
51	1.0008	26.36
52	0.9941	26.01
53	1.0012	26.38
54	0.9874	25.66
55	0.9754	25.04
56	0.9949	26.05
57	1.0175	27.25
58	0.9993	26.28
59	1.0201	27.39
60	1.0222	27.50
61	1.0214	27.46
62	1.0261	27.71
63	1.0551	29.30
64	1.0970	31.67
65	1.0816	30.79
66	1.0625	29.71
67	1.1351	33.91
68	1.1661	35.79
69	1.1129	32.60
70	1.1076	32.29
71	1.0520	29.13
72	1.0242	27.61
73	0.9775	25.15
74	0.9609	24.30
75	0.9469	23.60
76	0.9597	24.24
77	0.9577	24.14
78	0.9770	25.12
79	1.0333	28.10
80	1.0307	27.96
81	1.0827	30.85
82	1.1825	36.80
83	1.1858	37.01
84	1.2237	39.41
85	1.2024	38.05
86	1.1648	35.71
87	1.2452	40.81
88	1.2393	40.42
89	1.1967	37.69
90	1.2165	38.95
91	1.2095	38.50
92	1.2082	38.42
93	1.2745	42.75
94	1.2855	43.49
95	1.2636	42.02
