# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6d7y_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.4049	51.95
2	1.4079	52.17
3	1.2525	41.29
4	1.0957	31.60
5	1.1614	35.50
6	1.2390	40.40
7	1.3057	44.87
8	1.1479	34.68
9	1.1439	34.44
10	1.1538	35.04
11	1.0797	30.68
12	1.0444	28.71
13	0.9697	24.75
14	0.9197	22.26
15	0.9670	24.61
16	0.9055	21.58
17	0.8785	20.31
18	0.9197	22.26
19	0.9690	24.71
20	0.9066	21.63
21	0.8983	21.24
22	0.9953	26.07
23	1.1070	32.25
24	1.1461	34.57
25	1.0614	29.65
26	1.0987	31.77
27	1.1456	34.54
28	1.0533	29.20
29	1.0032	26.49
30	1.1399	34.20
31	1.2728	42.64
32	1.2598	41.77
33	1.4463	55.05
34	1.4422	54.74
35	1.3907	50.90
36	1.3485	47.86
37	1.2858	43.51
38	1.0813	30.77
39	1.1956	37.62
40	1.2342	40.09
41	1.1855	36.99
42	1.1438	34.43
43	1.2639	42.04
44	1.1612	35.49
45	1.1489	34.74
46	1.2210	39.24
47	1.1884	37.17
48	1.1170	32.84
49	1.2014	37.99
50	1.2934	44.03
51	1.2402	40.48
52	1.2849	43.45
53	1.2849	43.45
54	1.1039	32.07
55	0.9291	22.72
56	0.9061	21.61
57	0.8323	18.23
58	0.8798	20.37
59	0.9744	24.99
60	1.1514	34.89
61	1.0614	29.65
62	1.0229	27.54
63	0.9421	23.36
64	0.9244	22.49
65	0.8911	20.90
66	0.7913	16.48
67	0.7889	16.38
68	0.7809	16.05
69	0.8404	18.59
70	0.8854	20.63
71	0.9830	25.43
72	1.0893	31.23
73	1.1208	33.06
74	1.0102	26.86
75	0.9431	23.41
76	0.8411	18.62
77	0.8391	18.53
78	0.7607	15.23
79	0.7891	16.39
80	0.8035	16.99
81	0.8890	20.80
82	0.9762	25.08
83	0.9000	21.32
84	0.9026	21.44
85	0.8952	21.09
86	0.8258	17.95
87	0.7982	16.77
88	0.8063	17.11
89	0.8350	18.35
90	0.9789	25.22
