# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6d7y_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.1369	34.02
2	0.9559	24.05
3	0.8941	21.04
4	0.8603	19.48
5	0.8996	21.30
6	0.8952	21.09
7	0.9367	23.09
8	1.0233	27.56
9	1.0909	31.32
10	1.1760	36.40
11	1.2168	38.97
12	1.3299	46.55
13	1.3603	48.70
14	1.4372	54.36
15	1.3736	49.66
16	1.2661	42.19
17	1.2902	43.81
18	1.3021	44.62
19	1.2192	39.12
20	1.2041	38.16
21	1.3006	44.52
22	1.3179	45.71
23	1.2388	40.39
24	1.2914	43.89
25	1.3212	45.94
26	1.2794	43.08
27	1.2574	41.61
28	1.2551	41.46
29	1.3111	45.24
30	1.3160	45.58
31	1.2822	43.27
32	1.3696	49.37
33	1.4141	52.63
34	1.4145	52.66
35	1.4185	52.96
36	1.3134	45.40
37	1.2322	39.96
38	1.4583	55.97
39	1.7414	79.81
40	1.8061	85.85
41	1.8893	93.94
42	1.8002	85.29
43	1.8629	91.34
44	1.8177	86.96
45	1.7070	76.69
46	1.6254	69.53
47	1.5532	63.49
48	1.3956	51.26
49	1.5178	60.63
50	1.5114	60.12
51	1.5624	64.25
52	1.5121	60.18
53	1.3983	51.46
54	1.4605	56.14
55	1.4102	52.34
56	1.2871	43.60
57	1.3167	45.63
58	1.4279	53.66
59	1.4260	53.52
60	1.5041	59.54
61	1.3995	51.55
62	1.2614	41.88
63	1.1794	36.61
64	1.0968	31.66
65	1.1174	32.86
66	1.0876	31.13
67	1.1247	33.29
68	1.1272	33.44
69	1.2118	38.65
70	1.2330	40.01
71	1.1962	37.66
72	1.3080	45.03
73	1.3348	46.89
74	1.5144	60.36
75	1.6796	74.25
76	1.6581	72.36
77	1.5629	64.29
78	1.4807	57.70
79	1.3365	47.01
80	1.3176	45.69
81	1.1616	35.51
82	1.0213	27.45
83	0.9707	24.80
84	0.9882	25.70
85	1.0057	26.62
86	1.0580	29.46
87	1.1502	34.82
88	1.1995	37.87
89	1.2460	40.86
90	1.4102	52.34
91	1.3758	49.82
92	1.2557	41.50
93	1.1492	34.76
94	1.0639	29.79
95	0.9903	25.81
96	0.9445	23.48
97	0.9644	24.48
98	0.9401	23.26
99	0.9717	24.85
100	0.9497	23.74
101	1.1384	34.11
102	1.1140	32.66
103	1.0676	30.00
104	1.2193	39.13
105	1.1354	33.93
106	0.9981	26.22
107	0.9949	26.05
108	1.0897	31.25
109	1.0630	29.74
110	1.1008	31.89
111	1.1448	34.49
112	1.0421	28.58
113	1.0675	29.99
114	1.2085	38.44
115	1.1828	36.82
116	1.1557	35.15
117	1.2394	40.43
118	1.2543	41.41
119	1.2601	41.79
120	1.2658	42.17
121	1.3953	51.24
122	1.4928	58.65
123	1.4518	55.47
124	1.4277	53.65
125	1.2918	43.92
126	1.2719	42.58
127	1.0823	30.83
128	0.9577	24.14
129	0.8706	19.95
130	0.8281	18.05
131	0.8345	18.33
132	0.8534	19.17
133	0.9768	25.11
134	0.9409	23.30
135	0.8769	20.24
136	0.9385	23.18
137	0.9650	24.51
138	0.9960	26.11
139	0.9989	26.26
140	1.0244	27.62
141	0.8570	19.33
142	0.8180	17.61
143	0.8892	20.81
144	0.9034	21.48
145	0.9387	23.19
146	1.0290	27.87
147	1.1321	33.73
148	1.1238	33.24
149	1.2106	38.57
150	1.1408	34.25
151	1.0571	29.41
152	1.0737	30.34
153	1.3523	48.13
