# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6gus_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.8757	92.60
2	1.9944	104.69
3	2.1545	122.17
4	1.7579	81.33
5	1.5405	62.46
6	1.5355	62.05
7	1.3997	51.56
8	1.6317	70.07
9	1.8180	86.99
10	1.7498	80.58
11	1.7357	79.29
12	1.6361	70.45
13	1.4236	53.34
14	1.2107	38.58
15	1.2821	43.26
16	1.2354	40.17
17	1.3359	46.97
18	1.2531	41.33
19	1.2583	41.67
20	1.2405	40.50
21	1.3239	46.13
22	1.5207	60.86
23	1.6495	71.61
24	1.5624	64.25
25	1.5007	59.27
26	1.2542	41.40
27	1.2402	40.48
28	1.1376	34.06
29	1.1858	37.01
30	1.1710	36.09
31	1.2400	40.47
32	1.1584	35.32
33	1.1100	32.43
34	1.1169	32.83
35	1.2445	40.76
36	1.1905	37.30
37	1.3034	44.71
38	1.3809	50.19
39	1.4442	54.89
40	1.3978	51.42
41	1.4833	57.91
42	1.3862	50.57
43	1.3210	45.93
44	1.1927	37.44
45	1.1358	33.95
46	1.1616	35.51
47	1.1663	35.80
48	1.1604	35.44
49	1.1158	32.77
50	1.1801	36.65
51	1.1604	35.44
52	1.2708	42.50
53	1.3090	45.10
54	1.2678	42.30
55	1.2958	44.19
56	1.2277	39.67
57	1.3845	50.45
58	1.2984	44.37
59	1.4055	51.99
60	1.5357	62.07
61	1.6946	75.58
62	1.7185	77.73
63	1.5646	64.43
64	1.4340	54.12
65	1.3574	48.49
66	1.2176	39.02
67	1.0983	31.75
68	1.1524	34.95
69	1.1852	36.97
70	1.1581	35.30
71	1.2076	38.38
72	1.2005	37.93
73	1.2501	41.13
74	1.2542	41.40
75	1.1964	37.67
76	1.3144	45.47
77	1.3443	47.56
78	1.5214	60.92
79	1.6559	72.17
80	1.4300	53.82
81	1.3574	48.49
82	1.3890	50.78
83	1.2981	44.35
84	1.2697	42.43
85	1.3241	46.14
86	1.3235	46.10
87	1.2944	44.10
88	1.2135	38.76
89	1.2115	38.63
90	1.1456	34.54
91	1.1617	35.52
92	1.1812	36.72
93	1.1591	35.36
94	1.1671	35.85
95	1.2313	39.90
96	1.1929	37.45
97	1.2085	38.44
98	1.2858	43.51
99	1.3335	46.80
100	1.4528	55.55
101	1.6960	75.70
102	1.6742	73.77
103	2.0057	105.88
104	2.0875	114.69
105	1.8733	92.36
106	1.9767	102.84
107	1.7624	81.75
108	1.5831	65.96
109	1.4563	55.82
110	1.6312	70.03
111	1.7058	76.58
112	1.7655	82.04
113	1.8611	91.16
114	1.7604	81.56
115	2.0163	107.00
116	1.7998	85.25
117	1.8757	92.60
118	1.6438	71.12
119	1.5807	65.76
120	1.6141	68.57
121	1.4303	53.84
122	1.3746	49.73
123	1.3747	49.74
124	1.3979	51.43
125	1.2819	43.25
126	1.3470	47.75
127	1.4099	52.32
128	1.4167	52.82
129	1.2402	40.48
130	1.4145	52.66
131	1.4307	53.87
132	1.2495	41.09
133	1.2821	43.26
134	1.3862	50.57
135	1.4476	55.15
136	1.5528	63.46
137	1.4732	57.12
138	1.5170	60.57
139	1.4812	57.74
140	1.3950	51.22
141	1.3597	48.66
142	1.6502	71.67
143	1.5187	60.70
144	1.5315	61.73
145	1.8340	88.53
146	1.9802	103.20
147	2.0365	109.15
148	2.0763	113.46
