# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6iah_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0839	30.92
2	1.0870	31.10
3	1.0000	26.32
4	0.9806	25.31
5	0.9260	22.57
6	0.9040	21.51
7	0.9511	23.81
8	0.9310	22.81
9	0.9682	24.67
10	1.0181	27.28
11	0.9539	23.95
12	0.8860	20.66
13	0.9688	24.70
14	1.0279	27.81
15	1.1078	32.30
16	1.3302	46.57
17	1.3213	45.95
18	1.0659	29.90
19	1.0106	26.88
20	1.0130	27.01
21	1.0002	26.33
22	1.0194	27.35
23	0.9459	23.55
24	0.9145	22.01
25	0.9291	22.72
26	0.9822	25.39
27	0.9547	23.99
28	0.9369	23.10
29	0.9638	24.45
30	0.9977	26.20
31	0.9072	21.66
32	0.9640	24.46
33	1.0218	27.48
34	1.0097	26.83
35	0.9887	25.73
36	1.1464	34.59
37	1.1459	34.56
38	1.2408	40.52
39	1.2827	43.30
40	1.2099	38.53
41	1.0811	30.76
42	1.1873	37.10
43	1.2417	40.58
44	1.1522	34.94
45	1.1063	32.21
46	1.0309	27.97
47	1.1135	32.63
48	1.0893	31.23
49	1.0294	27.89
50	1.0517	29.11
51	1.0841	30.93
52	1.1349	33.90
53	1.0947	31.54
54	1.0261	27.71
55	1.0531	29.19
56	1.0457	28.78
57	1.1220	33.13
58	1.0357	28.23
59	1.0700	30.13
60	1.0181	27.28
61	0.9880	25.69
62	0.9509	23.80
63	0.9411	23.31
64	0.8941	21.04
65	0.8903	20.86
66	0.9937	25.99
67	0.9483	23.67
68	0.9112	21.85
69	0.9358	23.05
70	0.9686	24.69
71	1.0298	27.91
72	1.0302	27.93
73	1.1009	31.90
74	1.1160	32.78
75	1.0762	30.48
76	1.1248	33.30
77	1.1148	32.71
78	1.0257	27.69
79	1.1416	34.30
80	1.1981	37.78
81	1.0739	30.35
82	1.0648	29.84
83	1.0698	30.12
84	1.0479	28.90
85	1.0443	28.70
86	1.0591	29.52
87	1.0059	26.63
88	0.9818	25.37
89	1.0430	28.63
90	1.0270	27.76
91	0.9495	23.73
92	0.9407	23.29
93	1.0166	27.20
94	0.9981	26.22
95	0.9768	25.11
96	0.9219	22.37
97	0.9371	23.11
98	0.8608	19.50
99	0.9176	22.16
100	0.9230	22.42
101	1.0015	26.40
102	1.1960	37.65
103	1.1252	33.32
104	0.9695	24.74
105	1.0027	26.46
106	0.9768	25.11
107	1.0353	28.21
108	0.9966	26.14
109	0.9449	23.50
110	0.9843	25.50
111	0.9754	25.04
112	0.9806	25.31
113	1.0010	26.37
114	0.9795	25.25
115	0.9423	23.37
116	1.0360	28.25
117	1.0159	27.16
118	0.9473	23.62
119	0.9401	23.26
120	1.0252	27.66
121	1.0802	30.71
122	1.2104	38.56
123	1.0893	31.23
124	1.1476	34.66
125	1.1805	36.68
126	1.1006	31.88
127	1.1094	32.39
128	1.0573	29.42
129	1.0004	26.34
130	0.9583	24.17
131	1.0160	27.17
132	0.9515	23.83
133	1.0470	28.85
134	0.9789	25.22
135	1.0175	27.25
136	0.9801	25.28
137	1.0263	27.72
138	1.0239	27.59
139	1.0196	27.36
140	0.9684	24.68
141	1.0592	29.53
142	1.1158	32.77
143	1.1073	32.27
144	1.0140	27.06
145	1.0381	28.36
146	0.9721	24.87
147	1.0539	29.23
148	1.0625	29.71
149	0.9563	24.07
150	1.0266	27.74
151	1.0978	31.72
152	1.0895	31.24
153	1.0377	28.34
154	1.0379	28.35
155	1.0366	28.28
156	1.0233	27.56
157	0.9650	24.51
158	0.9820	25.38
159	0.9477	23.64
160	0.9350	23.01
161	1.0406	28.50
162	0.9699	24.76
163	1.0997	31.83
164	1.1386	34.12
165	1.1431	34.39
166	1.0362	28.26
167	1.0348	28.18
168	1.0371	28.31
169	1.0609	29.62
170	0.9880	25.69
171	0.9783	25.19
172	0.9455	23.53
173	0.9768	25.11
174	0.9764	25.09
175	0.9660	24.56
176	1.0322	28.04
177	1.0368	28.29
178	1.0112	26.91
179	1.0814	30.78
180	1.0747	30.40
181	1.1898	37.26
182	1.0432	28.64
183	1.0830	30.87
184	1.0324	28.05
185	1.0687	30.06
186	1.1656	35.76
187	1.3072	44.97
188	1.1514	34.89
189	1.0886	31.19
190	1.0650	29.85
191	1.0506	29.05
192	1.0216	27.47
193	0.9933	25.97
194	1.0335	28.11
195	1.0680	30.02
196	1.0402	28.48
197	1.0544	29.26
198	1.0916	31.36
199	1.2027	38.07
200	1.1668	35.83
201	1.0528	29.17
202	1.2145	38.82
203	1.2128	38.71
204	1.1102	32.44
205	1.0038	26.52
206	1.0307	27.96
207	1.0095	26.82
208	0.9049	21.55
209	0.9199	22.27
210	0.9260	22.57
211	0.9947	26.04
212	1.0637	29.78
213	1.0968	31.66
214	1.0754	30.44
215	1.0233	27.56
216	1.0278	27.80
217	0.9822	25.39
218	0.9320	22.86
219	1.0246	27.63
220	1.0224	27.51
221	0.9945	26.03
222	1.0237	27.58
223	1.0841	30.93
224	1.1695	36.00
225	1.2070	38.34
226	1.1989	37.83
227	1.1898	37.26
228	1.0917	31.37
229	1.0987	31.77
230	1.0104	26.87
231	1.0100	26.85
232	1.0023	26.44
233	1.0255	27.68
234	1.0233	27.56
235	1.0821	30.82
236	1.2303	39.84
237	1.1839	36.89
238	1.1269	33.42
239	1.1491	34.75
240	1.1984	37.80
241	1.0443	28.70
242	0.9816	25.36
243	0.9646	24.49
244	1.0540	29.24
245	0.9891	25.75
246	0.9717	24.85
247	1.0676	30.00
248	1.0100	26.85
249	0.9654	24.53
250	1.0540	29.24
251	1.0705	30.16
252	1.2679	42.31
253	1.3519	48.10
