# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6in7_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0823	30.83
2	1.0068	26.68
3	0.9619	24.35
4	0.9211	22.33
5	0.9330	22.91
6	0.8767	20.23
7	0.8295	18.11
8	0.7990	16.80
9	0.8068	17.13
10	0.7466	14.67
11	0.7534	14.94
12	0.6797	12.16
13	0.6881	12.46
14	0.7133	13.39
15	0.7130	13.38
16	0.6853	12.36
17	0.7738	15.76
18	0.7499	14.80
19	0.8086	17.21
20	0.9348	23.00
21	0.9340	22.96
22	0.9197	22.26
23	0.8275	18.02
24	0.8539	19.19
25	0.9078	21.69
26	0.8044	17.03
27	0.7925	16.53
28	0.8072	17.15
29	0.9007	21.35
30	0.8687	19.86
31	0.8226	17.81
32	0.9609	24.30
33	1.0423	28.59
34	0.9664	24.58
35	0.9260	22.57
36	0.9853	25.55
37	0.8782	20.30
38	0.8941	21.04
39	0.8663	19.75
40	0.8270	18.00
41	0.7659	15.44
42	0.8032	16.98
43	0.8051	17.06
44	0.7780	15.93
45	0.7819	16.09
46	0.8075	17.16
47	0.7312	14.07
48	0.7244	13.81
49	0.7942	16.60
50	0.8009	16.88
51	0.8086	17.21
52	0.8577	19.36
53	0.9537	23.94
54	0.9002	21.33
55	1.0061	26.64
56	0.8778	20.28
57	0.9209	22.32
58	0.9252	22.53
59	0.9517	23.84
60	0.8630	19.60
61	0.8804	20.40
62	0.8465	18.86
63	0.8366	18.42
64	0.9451	23.51
65	0.9269	22.61
66	0.8492	18.98
67	0.9132	21.95
68	1.0213	27.45
69	0.9662	24.57
70	0.9393	23.22
71	0.9998	26.31
72	1.0153	27.13
73	0.9985	26.24
74	0.9535	23.93
75	1.0080	26.74
76	1.0373	28.32
77	1.1150	32.72
78	1.1416	34.30
79	1.2145	38.82
