# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6j56_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.8841	93.43
2	1.9775	102.92
3	2.1647	123.33
4	1.9747	102.63
5	1.7036	76.38
6	1.8596	91.01
7	1.9652	101.64
8	1.9540	100.49
9	1.1040	32.08
10	0.9141	21.99
11	0.7684	15.54
12	0.7162	13.50
13	0.5537	8.07
14	0.6355	10.63
15	0.7587	15.15
16	0.7244	13.81
17	0.8247	17.90
18	0.9346	22.99
19	1.2469	40.92
20	1.7402	79.70
21	1.7884	84.18
22	1.4172	52.86
23	1.0231	27.55
24	0.8532	19.16
25	0.6450	10.95
26	0.7060	13.12
27	0.7358	14.25
28	0.6343	10.59
29	0.6783	12.11
30	0.6667	11.70
31	0.7956	16.66
32	0.8150	17.48
33	0.8025	16.95
34	0.7930	16.55
35	0.6201	10.12
36	0.6971	12.79
37	0.7074	13.17
38	0.6219	10.18
39	0.5979	9.41
40	0.6071	9.70
41	0.6307	10.47
42	0.7202	13.65
43	1.0082	26.75
44	0.9443	23.47
45	0.7642	15.37
46	0.7159	13.49
47	0.7456	14.63
48	0.7138	13.41
49	0.7275	13.93
50	0.7077	13.18
51	0.7306	14.05
52	0.6811	12.21
53	0.9017	21.40
54	0.9816	25.36
55	0.7867	16.29
56	0.8603	19.48
57	0.9238	22.46
58	0.8375	18.46
59	0.6775	12.08
60	0.6914	12.58
61	0.8926	20.97
62	0.8798	20.37
63	0.8695	19.90
64	0.7985	16.78
65	0.9433	23.42
66	0.9541	23.96
67	0.7622	15.29
68	0.9246	22.50
69	0.8804	20.40
70	0.9097	21.78
71	0.9297	22.75
72	0.9287	22.70
73	0.8854	20.63
74	0.9176	22.16
75	0.7709	15.64
76	0.7872	16.31
77	0.7312	14.07
78	0.8988	21.26
79	0.7677	15.51
80	0.8336	18.29
81	0.7691	15.57
82	0.6474	11.03
83	0.7607	15.23
84	0.7212	13.69
85	0.6750	11.99
86	0.6259	10.31
87	0.6752	12.00
88	0.8238	17.86
89	0.7973	16.73
90	0.7456	14.63
91	0.8018	16.92
92	0.8288	18.08
93	0.8828	20.51
94	0.8400	18.57
95	0.8886	20.78
96	0.9217	22.36
97	0.8918	20.93
98	0.8892	20.81
99	0.9703	24.78
100	1.0867	31.08
101	1.0093	26.81
102	0.9731	24.92
103	1.0289	27.86
104	0.8994	21.29
105	0.8295	18.11
106	0.9485	23.68
107	0.8621	19.56
108	0.8499	19.01
109	0.8364	18.41
110	0.8682	19.84
111	1.0388	28.40
112	1.0813	30.77
113	1.1292	33.56
114	1.4817	57.78
115	1.8187	87.05
