# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6jpt_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.2189	39.10
2	0.9322	22.87
3	0.8329	18.26
4	0.7111	13.31
5	0.6292	10.42
6	0.6385	10.73
7	0.6769	12.06
8	0.6518	11.18
9	0.6491	11.09
10	0.6352	10.62
11	0.6225	10.20
12	0.6256	10.30
13	0.6127	9.88
14	0.6055	9.65
15	0.6127	9.88
16	0.6139	9.92
17	0.6604	11.48
18	0.7415	14.47
19	0.6996	12.88
20	0.6394	10.76
21	0.5883	9.11
22	0.5700	8.55
23	0.5693	8.53
24	0.5693	8.53
25	0.5922	9.23
26	0.5812	8.89
27	0.5922	9.23
28	0.6265	10.33
29	0.6682	11.75
30	0.8217	17.77
31	0.8733	20.07
32	0.6721	11.89
33	0.5799	8.85
34	0.5656	8.42
35	0.5592	8.23
36	0.5660	8.43
37	0.5769	8.76
38	0.5796	8.84
39	0.5779	8.79
40	0.6115	9.84
41	0.6456	10.97
42	0.6358	10.64
43	0.6331	10.55
44	0.6735	11.94
45	0.6391	10.75
46	0.5986	9.43
47	0.5877	9.09
48	0.6136	9.91
49	0.6231	10.22
50	0.6118	9.85
51	0.6856	12.37
52	0.7275	13.93
53	0.7050	13.08
54	0.6916	12.59
55	0.6878	12.45
56	0.6710	11.85
57	0.7481	14.73
58	0.8398	18.56
59	0.8098	17.26
60	0.7252	13.84
61	0.7353	14.23
62	0.7461	14.65
63	0.7117	13.33
64	0.7098	13.26
65	0.7642	15.37
66	0.7699	15.60
67	0.6687	11.77
68	0.6468	11.01
69	0.6186	10.07
70	0.6494	11.10
71	0.7125	13.36
72	0.8164	17.54
73	0.9945	26.03
74	0.8386	18.51
75	0.7569	15.08
76	0.7012	12.94
77	0.6340	10.58
78	0.6480	11.05
79	0.6526	11.21
80	0.6520	11.19
81	0.6642	11.61
82	0.6370	10.68
83	0.6584	11.41
84	0.6636	11.59
85	0.6274	10.36
86	0.6198	10.11
87	0.6750	11.99
88	0.6894	12.51
89	0.6409	10.81
90	0.6687	11.77
91	0.7217	13.71
92	0.6900	12.53
93	0.6825	12.26
94	0.7894	16.40
95	0.7915	16.49
96	0.7236	13.78
97	0.6376	10.70
98	0.5995	9.46
99	0.5763	8.74
100	0.5643	8.38
101	0.5676	8.48
102	0.5896	9.15
103	0.6080	9.73
104	0.6412	10.82
105	0.7233	13.77
106	0.8605	19.49
107	0.7392	14.38
108	0.7238	13.79
109	0.7792	15.98
110	0.9841	25.49
111	0.7309	14.06
112	0.6741	11.96
113	0.7236	13.78
114	0.6707	11.84
115	0.6373	10.69
116	0.6596	11.45
117	0.6727	11.91
118	0.6337	10.57
119	0.6058	9.66
120	0.6693	11.79
121	0.6911	12.57
122	0.6397	10.77
123	0.6412	10.82
124	0.6687	11.77
125	0.7425	14.51
