# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6jv8_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.2914	43.89
2	1.1373	34.04
3	0.9605	24.28
4	0.8689	19.87
5	0.9086	21.73
6	0.9631	24.41
7	0.8566	19.31
8	0.7562	15.05
9	0.8647	19.68
10	0.9577	24.14
11	0.8291	18.09
12	0.8291	18.09
13	0.9277	22.65
14	0.9621	24.36
15	0.8427	18.69
16	0.9569	24.10
17	0.7937	16.58
18	0.7925	16.53
19	0.6259	10.31
20	0.6500	11.12
21	0.6271	10.35
22	0.6602	11.47
23	0.5690	8.52
24	0.6334	10.56
25	0.6570	11.36
26	0.6277	10.37
27	0.5890	9.13
28	0.5979	9.41
29	0.7286	13.97
30	0.6558	11.32
31	0.6831	12.28
32	0.7249	13.83
33	0.7023	12.98
34	0.6808	12.20
35	0.6065	9.68
36	0.6195	10.10
37	0.8240	17.87
38	0.6949	12.71
39	0.6231	10.22
40	0.6231	10.22
41	0.6567	11.35
42	0.6979	12.82
43	0.6889	12.49
44	0.6944	12.69
45	0.6627	11.56
46	0.6152	9.96
47	0.6587	11.42
48	0.6914	12.58
49	0.5928	9.25
50	0.5622	8.32
51	0.5660	8.43
52	0.5883	9.11
53	0.5954	9.33
54	0.6002	9.48
55	0.6727	11.91
56	0.5967	9.37
57	0.5585	8.21
58	0.5880	9.10
59	0.5870	9.07
60	0.5844	8.99
61	0.5922	9.23
62	0.6061	9.67
63	0.6409	10.81
64	0.6328	10.54
65	0.6741	11.96
66	0.7058	13.11
67	0.6766	12.05
68	0.6176	10.04
69	0.6259	10.31
70	0.7122	13.35
71	0.8911	20.90
72	1.0227	27.53
73	0.9250	22.52
74	0.8574	19.35
75	0.9806	25.31
76	1.2044	38.18
