# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6jwh_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	2.0285	108.30
2	1.6139	68.55
3	1.1071	32.26
4	0.9395	23.23
5	1.0351	28.20
6	1.0179	27.27
7	0.9551	24.01
8	1.0155	27.14
9	1.0114	26.92
10	0.9395	23.23
11	1.1529	34.98
12	1.0769	30.52
13	1.0237	27.58
14	1.1165	32.81
15	1.0637	29.78
16	1.1374	34.05
17	1.0779	30.58
18	1.2120	38.66
19	1.3434	47.50
20	1.4648	56.47
21	1.6021	67.55
22	1.6152	68.66
23	1.7833	83.70
24	1.7532	80.90
25	1.5803	65.73
26	1.6138	68.54
27	1.6603	72.55
28	1.6693	73.34
29	1.7013	76.18
30	1.5811	65.79
31	1.4981	59.07
32	1.4561	55.80
33	1.4418	54.71
34	1.4052	51.97
35	1.3797	50.10
36	1.3868	50.62
37	1.3420	47.40
38	1.1341	33.85
39	1.1383	34.10
40	1.1348	33.89
41	1.0008	26.36
42	0.9688	24.70
43	1.0344	28.16
44	1.1094	32.39
45	1.1396	34.18
46	1.1242	33.26
47	1.0728	30.29
48	1.2766	42.89
49	1.3086	45.07
50	1.2071	38.35
51	1.2204	39.20
52	1.1097	32.41
53	1.0942	31.51
54	0.8647	19.68
55	0.9000	21.32
56	0.8954	21.10
57	0.9232	22.43
58	0.8476	18.91
59	0.9477	23.64
60	0.9569	24.10
61	1.0237	27.58
62	1.0049	26.58
63	1.0751	30.42
64	1.1152	32.73
65	1.1754	36.36
66	1.3427	47.45
67	1.5574	63.84
68	1.6948	75.60
69	1.8814	93.16
70	1.4970	58.98
71	1.3950	51.22
72	1.1940	37.52
73	1.1126	32.58
74	1.0860	31.04
75	1.0982	31.74
76	1.1011	31.91
77	1.1056	32.17
78	1.0446	28.72
79	1.1349	33.90
80	1.0973	31.69
81	1.1059	32.19
82	1.0493	28.98
83	1.0883	31.17
84	1.1334	33.81
85	1.2142	38.80
86	1.2416	40.57
87	1.2739	42.71
88	1.3174	45.68
89	1.3833	50.36
90	1.1304	33.63
91	1.2134	38.75
92	1.2416	40.57
93	1.2265	39.59
94	1.2040	38.15
95	1.1497	34.79
96	1.2229	39.36
97	1.2828	43.31
98	1.2260	39.56
99	1.1223	33.15
100	1.2806	43.16
101	1.2164	38.94
102	1.0982	31.74
103	0.9650	24.51
104	1.0177	27.26
105	0.9543	23.97
106	1.0036	26.51
107	0.9209	22.32
108	0.9143	22.00
109	0.8680	19.83
110	0.9166	22.11
111	0.8559	19.28
112	0.8231	17.83
113	0.8224	17.80
114	0.8592	19.43
115	0.7728	15.72
116	0.8096	17.25
117	0.8093	17.24
118	0.8977	21.21
119	0.8752	20.16
120	0.9553	24.02
121	1.0320	28.03
122	1.0226	27.52
123	0.9808	25.32
124	0.9443	23.47
125	0.9267	22.60
126	0.9862	25.60
127	1.0305	27.95
128	0.9928	25.94
129	1.0253	27.67
130	0.9958	26.10
131	1.1054	32.16
132	1.0159	27.16
133	1.0676	30.00
134	1.0694	30.10
135	1.0634	29.76
136	1.1128	32.59
137	1.1413	34.28
138	1.0459	28.79
139	0.9810	25.33
140	0.9911	25.85
141	0.9091	21.75
142	0.8986	21.25
143	0.9015	21.39
144	0.8454	18.81
145	0.8588	19.41
146	0.8526	19.13
147	0.8532	19.16
148	0.8205	17.72
149	0.8574	19.35
150	0.9485	23.68
151	0.9207	22.31
152	1.0724	30.27
153	1.0708	30.18
154	1.0662	29.92
155	0.9872	25.65
156	0.9688	24.70
157	0.9267	22.60
158	0.7833	16.15
159	0.8608	19.50
160	0.8756	20.18
161	0.8261	17.96
162	0.8505	19.04
163	0.8016	16.91
164	0.8249	17.91
165	0.8789	20.33
166	0.8309	18.17
167	0.8883	20.77
168	0.9461	23.56
169	0.9905	25.82
170	1.1032	32.03
171	1.0551	29.30
172	1.2123	38.68
173	1.1044	32.10
174	1.2306	39.86
175	1.2235	39.40
176	1.3060	44.89
177	1.2032	38.10
178	1.1131	32.61
179	1.1319	33.72
180	1.1807	36.69
181	1.2553	41.47
182	1.2229	39.36
183	1.2832	43.34
184	1.2422	40.61
185	1.1184	32.92
186	1.1793	36.60
187	1.0944	31.52
188	1.0382	28.37
189	1.0095	26.82
