# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6kty_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3048	44.81
2	1.2540	41.39
3	1.1448	34.49
4	1.1275	33.46
5	1.0935	31.47
6	1.0990	31.79
7	1.0598	29.56
8	1.0227	27.53
9	1.0596	29.55
10	1.1604	35.44
11	1.2636	42.02
12	1.3888	50.76
13	1.5635	64.34
14	1.5047	59.59
15	1.4265	53.56
16	1.3073	44.98
17	1.1922	37.41
18	1.1051	32.14
19	1.0371	28.31
20	0.9581	24.16
21	0.9791	25.23
22	1.0531	29.19
23	1.0261	27.71
24	1.0342	28.15
25	1.0142	27.07
26	1.0298	27.91
27	0.9638	24.45
28	0.9262	22.58
29	0.9473	23.62
30	0.9779	25.17
31	1.0048	26.57
32	1.0747	30.40
33	1.0618	29.67
34	1.0515	29.10
35	1.1243	33.27
36	1.0945	31.53
37	1.0912	31.34
38	1.1563	35.19
39	1.1573	35.25
40	1.1129	32.60
41	1.1584	35.32
42	1.1344	33.87
43	1.1838	36.88
44	1.2376	40.31
45	1.2861	43.53
46	1.2376	40.31
47	1.1648	35.71
48	1.2123	38.68
49	1.1648	35.71
50	1.1789	36.58
51	1.1285	33.52
52	1.2079	38.40
53	1.2914	43.89
54	1.3200	45.86
55	1.2972	44.29
56	1.2838	43.38
57	1.3575	48.50
58	1.2905	43.83
59	1.3816	50.24
60	1.2996	44.45
61	1.3972	51.38
62	1.4255	53.48
63	1.4742	57.20
64	1.3555	48.36
65	1.2052	38.23
66	1.0944	31.52
67	1.0042	26.54
68	1.0544	29.26
69	1.0730	30.30
70	1.0119	26.95
71	1.0057	26.62
72	1.1111	32.49
73	1.1573	35.25
74	1.0884	31.18
75	1.1078	32.30
76	1.2196	39.15
77	1.2323	39.97
78	1.2492	41.07
79	1.2066	38.32
80	1.1524	34.95
81	1.1040	32.08
82	1.0996	31.82
83	1.0057	26.62
84	1.0162	27.18
85	0.9933	25.97
86	1.0472	28.86
87	1.1466	34.60
88	1.1791	36.59
89	1.3029	44.68
90	1.3526	48.15
91	1.3412	47.34
92	1.3776	49.95
93	1.3220	46.00
94	1.1953	37.60
95	1.1669	35.84
96	1.0533	29.20
97	0.9664	24.58
98	0.9535	23.93
99	0.9176	22.16
100	0.9147	22.02
101	0.9814	25.35
102	1.0519	29.12
103	1.0977	31.71
104	1.0954	31.58
105	1.0628	29.73
106	1.1150	32.72
107	1.2350	40.14
108	1.2837	43.37
109	1.1710	36.09
110	1.1302	33.62
111	1.0643	29.81
112	1.1092	32.38
113	1.1085	32.34
114	1.1780	36.52
115	1.1913	37.35
116	1.2074	38.37
117	1.2664	42.21
118	1.2740	42.72
119	1.3380	47.12
120	1.3482	47.84
121	1.2887	43.71
122	1.2858	43.51
123	1.2507	41.17
124	1.2140	38.79
125	1.1684	35.93
126	1.1373	34.04
127	1.1046	32.11
128	1.1775	36.49
129	1.1545	35.08
130	1.1008	31.89
131	1.0594	29.54
132	1.0533	29.20
133	0.9993	26.28
134	1.0359	28.24
135	1.0276	27.79
136	1.0068	26.68
137	1.0362	28.26
138	1.0402	28.48
139	1.0390	28.41
140	1.0511	29.08
141	1.0973	31.69
142	1.1002	31.86
143	1.0839	30.92
144	1.0877	31.14
145	1.0821	30.82
146	1.0517	29.11
147	1.0483	28.92
148	1.0897	31.25
149	1.0933	31.46
150	1.0804	30.72
151	1.1652	35.73
152	1.2251	39.50
153	1.3134	45.40
154	1.3450	47.61
155	1.2766	42.89
156	1.2721	42.59
157	1.3527	48.16
158	1.3864	50.59
159	1.2964	44.23
160	1.2673	42.27
161	1.1783	36.54
162	1.1566	35.21
163	1.0802	30.71
164	1.0726	30.28
165	1.0034	26.50
166	1.0175	27.25
167	1.0252	27.66
168	1.0952	31.57
169	1.1346	33.88
170	1.0535	29.21
171	1.0453	28.76
172	1.0867	31.08
173	1.1499	34.80
174	1.1959	37.64
175	1.3024	44.64
176	1.3689	49.32
