# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6l34_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0783	30.60
2	0.9461	23.56
3	0.9242	22.48
4	0.9451	23.51
5	0.8847	20.60
6	0.8030	16.97
7	0.8782	20.30
8	0.8494	18.99
9	0.8523	19.12
10	0.8685	19.85
11	0.8361	18.40
12	0.8621	19.56
13	0.9291	22.72
14	0.9244	22.49
15	0.9038	21.50
16	0.9419	23.35
17	0.9411	23.31
18	0.9383	23.17
19	0.8973	21.19
20	0.9684	24.68
21	0.9489	23.70
22	0.8890	20.80
23	0.9291	22.72
24	1.0012	26.38
25	0.9527	23.89
26	0.9886	25.72
27	1.0472	28.86
28	1.0837	30.91
29	0.9439	23.45
30	0.9283	22.68
31	0.8892	20.81
32	0.9326	22.89
33	0.9303	22.78
34	0.8726	20.04
35	0.8947	21.07
36	0.9527	23.89
37	0.9660	24.56
38	0.9076	21.68
39	0.9425	23.38
40	0.9835	25.46
41	0.9979	26.21
42	1.0166	27.20
43	1.0070	26.69
44	1.0187	27.31
45	0.9966	26.14
46	0.9019	21.41
47	0.9523	23.87
48	1.0272	27.77
49	0.9367	23.09
50	0.9114	21.86
51	0.9693	24.73
52	0.8862	20.67
53	0.8570	19.33
54	0.9445	23.48
55	0.9491	23.71
56	0.9055	21.58
57	0.9252	22.53
58	1.0253	27.67
59	0.9147	22.02
60	0.9074	21.67
61	1.0021	26.43
62	1.0265	27.73
63	1.0298	27.91
64	1.1167	32.82
65	1.2014	37.99
66	1.1965	37.68
67	1.2731	42.66
68	1.2542	41.40
