# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6l3r_E.pdb
# Chain: E
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3045	44.79
2	1.3077	45.01
3	1.2367	40.25
4	1.1469	34.62
5	1.1830	36.83
6	1.1937	37.50
7	1.1489	34.74
8	1.0209	27.43
9	1.0175	27.25
10	1.0968	31.66
11	1.0603	29.59
12	1.0117	26.94
13	1.0201	27.39
14	1.1243	33.27
15	1.1150	32.72
16	0.9603	24.27
17	0.9884	25.71
18	1.0997	31.83
19	1.0087	26.78
20	1.0029	26.47
21	1.0051	26.59
22	1.0044	26.55
23	0.9837	25.47
24	1.0183	27.29
25	1.0511	29.08
26	0.9903	25.81
27	0.9719	24.86
28	1.0294	27.89
29	1.1527	34.97
30	1.1326	33.76
31	1.2383	40.36
32	1.3393	47.21
33	1.5113	60.11
34	1.5997	67.35
35	1.5658	64.53
36	1.3763	49.85
37	1.3697	49.38
38	1.2461	40.87
39	1.2054	38.24
40	1.1106	32.46
41	1.0774	30.55
42	0.9413	23.32
43	1.0091	26.80
44	1.1459	34.56
45	1.0053	26.60
46	1.0013	26.39
47	1.1253	33.33
48	1.0902	31.28
49	0.9872	25.65
50	0.9834	25.45
51	1.0980	31.73
52	1.1140	32.66
53	1.0351	28.20
54	1.0914	31.35
55	1.1181	32.90
56	1.0809	30.75
57	0.9861	25.59
58	1.0285	27.84
59	1.0192	27.34
60	0.8920	20.94
61	0.9238	22.46
62	0.9505	23.78
63	0.8737	20.09
64	0.9053	21.57
65	0.9091	21.75
66	0.8634	19.62
67	0.9132	21.95
68	0.9684	24.68
69	0.9101	21.80
70	0.9994	26.29
71	1.0696	30.11
72	1.0278	27.80
73	0.9607	24.29
74	0.9342	22.97
75	0.9795	25.25
76	0.9515	23.83
77	0.8939	21.03
78	0.9991	26.27
79	1.0357	28.23
80	0.9699	24.76
81	0.9634	24.43
82	0.9336	22.94
83	0.9575	24.13
84	1.0804	30.72
85	1.1708	36.08
86	1.2468	40.91
87	1.1900	37.27
88	1.1682	35.92
89	1.0542	29.25
90	0.9577	24.14
91	0.8894	20.82
92	0.8767	20.23
93	0.7954	16.65
94	0.8645	19.67
95	0.8577	19.36
96	0.8316	18.20
97	0.7939	16.59
98	0.8281	18.05
99	0.8577	19.36
100	0.8373	18.45
101	0.8409	18.61
102	0.8588	19.41
103	0.8687	19.86
104	0.8579	19.37
105	0.9103	21.81
106	1.0484	28.93
107	1.0596	29.55
108	0.9837	25.47
109	0.9979	26.21
110	0.9768	25.11
111	0.9413	23.32
112	0.9190	22.23
113	0.9273	22.63
114	0.8709	19.96
115	0.8263	17.97
116	0.8238	17.86
117	0.8286	18.07
118	0.8208	17.73
119	0.8297	18.12
120	0.8534	19.17
121	0.8756	20.18
122	0.7679	15.52
123	0.7157	13.48
124	0.6944	12.69
125	0.7335	14.16
126	0.7887	16.37
127	0.8245	17.89
128	0.7669	15.48
129	0.8583	19.39
130	0.8566	19.31
131	0.8159	17.52
132	0.8436	18.73
133	0.8402	18.58
134	0.8656	19.72
135	0.9203	22.29
136	0.9593	24.22
137	1.0274	27.78
138	1.2257	39.54
139	1.0325	28.06
140	0.9735	24.94
141	0.8438	18.74
142	0.8364	18.41
143	0.8452	18.80
144	1.0155	27.14
145	0.8332	18.27
146	0.7879	16.34
147	0.9159	22.08
148	0.9943	26.02
149	0.9779	25.17
150	1.0173	27.24
151	0.9634	24.43
152	0.8892	20.81
153	0.9660	24.56
154	0.9099	21.79
155	0.9644	24.48
156	0.9419	23.35
157	0.8044	17.03
158	0.8108	17.30
159	0.8847	20.60
160	0.8597	19.45
161	0.8096	17.25
162	0.8658	19.73
163	0.8636	19.63
164	0.8077	17.17
165	0.8440	18.75
166	0.8663	19.75
167	0.9055	21.58
168	1.0265	27.73
169	1.1596	35.39
170	1.2008	37.95
171	1.2454	40.82
172	1.1517	34.91
173	0.9269	22.61
174	0.8643	19.66
175	0.8159	17.52
176	0.8001	16.85
177	0.7709	15.64
178	0.7973	16.73
179	0.8288	18.08
180	0.8452	18.80
181	0.8918	20.93
182	0.8903	20.86
183	0.9375	23.13
184	1.0142	27.07
185	1.0426	28.61
186	1.1174	32.86
187	1.1786	36.56
188	1.1668	35.83
189	1.2758	42.84
190	1.3822	50.28
191	1.4009	51.65
192	1.4089	52.24
193	1.3106	45.21
194	1.2697	42.43
195	1.0502	29.03
196	1.1099	32.42
197	0.9876	25.67
198	0.9431	23.41
199	0.8920	20.94
200	0.9646	24.49
201	0.8988	21.26
202	0.8977	21.21
203	0.9445	23.48
204	0.8541	19.20
205	0.8534	19.17
206	0.9040	21.51
207	0.8795	20.36
208	0.8037	17.00
209	0.8866	20.69
210	0.9487	23.69
211	0.9513	23.82
212	1.0399	28.46
213	1.2660	42.18
214	1.4604	56.13
215	1.4231	53.30
216	1.2914	43.89
217	1.0528	29.17
218	0.9445	23.48
219	0.9122	21.90
220	0.7768	15.88
221	0.7654	15.42
222	0.7724	15.70
223	0.8051	17.06
224	0.7954	16.65
225	0.7920	16.51
226	0.8096	17.25
227	0.8049	17.05
228	0.9122	21.90
229	0.8739	20.10
230	0.8053	17.07
231	0.8490	18.97
232	0.9467	23.59
233	0.9236	22.45
234	0.9045	21.53
235	0.9265	22.59
236	0.9030	21.46
237	1.0123	26.97
238	1.0811	30.76
239	1.2560	41.52
240	1.3195	45.82
241	1.2545	41.42
242	1.2937	44.05
243	1.2291	39.76
244	1.2189	39.10
245	1.1467	34.61
246	1.0121	26.96
247	0.9320	22.86
248	1.0057	26.62
249	0.9192	22.24
250	0.8841	20.57
251	0.8748	20.14
252	0.8350	18.35
253	0.7787	15.96
254	0.7741	15.77
255	0.7304	14.04
256	0.8418	18.65
257	0.8539	19.19
258	0.7980	16.76
259	0.7930	16.55
260	0.8079	17.18
261	0.8131	17.40
262	0.8836	20.55
263	0.9312	22.82
264	0.8847	20.60
265	1.0322	28.04
266	1.0584	29.48
267	1.0676	30.00
268	0.9585	24.18
269	0.9725	24.89
270	0.8924	20.96
271	0.9545	23.98
272	0.9240	22.47
273	0.8743	20.12
274	0.8924	20.96
275	0.8676	19.81
276	0.9571	24.11
277	1.0342	28.15
278	0.9178	22.17
279	0.9497	23.74
280	0.9447	23.49
281	0.8634	19.62
282	0.8778	20.28
283	0.8964	21.15
284	0.7915	16.49
285	0.8096	17.25
286	0.8494	18.99
287	1.0584	29.48
288	0.9901	25.80
289	0.8438	18.74
290	0.9303	22.78
291	1.0426	28.61
292	0.8754	20.17
293	0.8568	19.32
294	0.9007	21.35
295	0.9215	22.35
296	0.8971	21.18
297	0.9013	21.38
298	0.9690	24.71
299	0.9953	26.07
300	0.9789	25.22
301	0.9607	24.29
302	0.9230	22.42
303	1.0237	27.58
304	1.0085	26.77
305	1.0408	28.51
306	0.9674	24.63
307	1.0397	28.45
308	0.9197	22.26
309	0.9344	22.98
310	0.9591	24.21
311	0.8222	17.79
312	0.8386	18.51
313	0.9248	22.51
314	0.9603	24.27
315	0.9225	22.40
316	1.0012	26.38
317	0.9715	24.84
318	0.8689	19.87
319	0.8599	19.46
320	0.9579	24.15
321	1.0816	30.79
322	1.0224	27.51
323	1.0951	31.56
324	0.9851	25.54
325	0.8722	20.02
326	0.7669	15.48
327	0.7374	14.31
328	0.7453	14.62
329	0.7547	14.99
330	0.7799	16.01
331	0.7340	14.18
332	0.7306	14.05
333	0.7196	13.63
334	0.7542	14.97
335	0.8774	20.26
336	0.7649	15.40
337	0.7889	16.38
338	0.8323	18.23
339	0.8157	17.51
340	0.8592	19.43
341	0.9232	22.43
342	0.8787	20.32
343	0.8166	17.55
344	0.8224	17.80
345	0.7925	16.53
346	0.8194	17.67
347	0.7299	14.02
348	0.7322	14.11
349	0.7486	14.75
350	0.7600	15.20
351	0.7748	15.80
352	0.7959	16.67
353	0.7471	14.69
354	0.7223	13.73
355	0.6822	12.25
356	0.7474	14.70
357	0.7949	16.63
358	0.8001	16.85
359	0.9086	21.73
360	1.0244	27.62
361	0.9332	22.92
362	0.8590	19.42
363	0.8020	16.93
364	0.8350	18.35
365	0.8157	17.51
