# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6l4p_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.6366	70.49
2	1.1294	33.57
3	1.1214	33.10
4	0.9026	21.44
5	0.8070	17.14
6	0.9005	21.34
7	0.8175	17.59
8	0.6966	12.77
9	0.7980	16.76
10	0.7288	13.98
11	0.7283	13.96
12	0.6797	12.16
13	0.7381	14.34
14	0.9182	22.19
15	0.7879	16.34
16	0.9024	21.43
17	1.0585	29.49
18	1.1812	36.72
19	0.9621	24.36
20	0.9205	22.30
21	0.8129	17.39
22	0.8382	18.49
23	0.9715	24.84
24	0.8960	21.13
25	1.0463	28.81
26	0.9746	25.00
27	0.9511	23.81
28	1.4722	57.04
29	1.2076	38.38
30	0.9091	21.75
31	0.7785	15.95
32	0.6435	10.90
33	0.7050	13.08
34	0.8258	17.95
35	0.5713	8.59
36	0.7087	13.22
37	0.6544	11.27
38	0.6842	12.32
39	0.6883	12.47
40	0.6280	10.38
41	0.6836	12.30
42	0.5880	9.10
43	0.6412	10.82
44	0.6376	10.70
45	0.7843	16.19
46	0.7050	13.08
47	0.7017	12.96
48	0.7090	13.23
49	0.7753	15.82
50	0.8339	18.30
51	0.6506	11.14
52	0.6721	11.89
53	0.7647	15.39
54	0.6435	10.90
55	0.8140	17.44
56	0.9650	24.51
57	0.8449	18.79
58	0.8343	18.32
59	0.9128	21.93
60	0.9943	26.02
61	0.7181	13.57
62	0.7225	13.74
63	0.6747	11.98
64	0.7095	13.25
65	0.7178	13.56
66	0.7223	13.73
67	0.8053	17.07
68	0.7728	15.72
69	0.7597	15.19
70	0.7605	15.22
71	0.7930	16.55
72	0.8890	20.80
73	0.8058	17.09
74	0.8763	20.21
75	0.8700	19.92
76	0.8743	20.12
77	1.0585	29.49
78	1.0164	27.19
79	1.1767	36.44
80	1.0428	28.62
81	0.8023	16.94
82	0.7071	13.16
83	0.8286	18.07
84	0.6938	12.67
85	0.6825	12.26
86	0.8171	17.57
87	0.8238	17.86
88	0.8570	19.33
89	0.9186	22.21
90	0.7833	16.15
91	1.0207	27.42
92	1.0261	27.71
93	0.9517	23.84
94	0.6017	9.53
95	0.6789	12.13
96	0.6719	11.88
97	0.6204	10.13
98	0.6491	11.09
99	0.6274	10.36
100	0.6576	11.38
101	0.6438	10.91
102	0.6541	11.26
103	0.6650	11.64
104	0.6747	11.98
105	0.5812	8.89
106	0.8313	18.19
107	0.9017	21.40
108	0.9066	21.63
109	1.0490	28.96
110	0.9209	22.32
111	0.7652	15.41
112	0.8873	20.72
113	0.9281	22.67
114	0.8660	19.74
115	0.8386	18.51
116	0.8389	18.52
117	0.8198	17.69
118	0.7079	13.19
119	0.6957	12.74
120	0.7999	16.84
121	0.8592	19.43
122	0.7191	13.61
123	0.7529	14.92
124	0.7273	13.92
125	0.7293	14.00
126	0.6979	12.82
127	0.8336	18.29
128	0.5779	8.79
129	0.7445	14.59
130	0.7448	14.60
131	0.6627	11.56
132	0.5973	9.39
133	0.7647	15.39
134	0.7491	14.77
135	0.7384	14.35
136	0.7417	14.48
137	0.7564	15.06
138	0.8254	17.93
139	0.8630	19.60
140	0.8930	20.99
141	0.7812	16.06
142	0.9371	23.11
143	0.9928	25.94
144	1.0730	30.30
145	1.2596	41.76
