# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6l8s_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5070	59.77
2	1.4474	55.14
3	1.3807	50.17
4	1.2246	39.47
5	1.2336	40.05
6	1.2425	40.63
7	1.1275	33.46
8	1.0985	31.76
9	1.0479	28.90
10	1.0619	29.68
11	0.9862	25.60
12	0.9660	24.56
13	0.9966	26.14
14	0.9816	25.36
15	0.9399	23.25
16	1.0021	26.43
17	0.9764	25.09
18	0.9377	23.14
19	0.9539	23.95
20	1.0648	29.84
21	1.0675	29.99
22	1.0666	29.94
23	1.1049	32.13
24	1.1394	34.17
25	1.2098	38.52
26	1.1989	37.83
27	1.1426	34.36
28	1.2081	38.41
29	1.1986	37.81
30	1.2196	39.15
31	1.2243	39.45
32	1.1728	36.20
33	1.2246	39.47
34	1.2646	42.09
35	1.2663	42.20
36	1.2135	38.76
37	1.2106	38.57
38	1.1747	36.32
39	1.2599	41.78
40	1.3362	46.99
41	1.3590	48.61
42	1.3462	47.70
43	1.3233	46.09
44	1.2933	44.02
45	1.2084	38.43
46	1.2171	38.99
47	1.2196	39.15
48	1.2872	43.61
49	1.2889	43.72
50	1.1916	37.37
51	1.1637	35.64
52	1.1314	33.69
53	1.0987	31.77
54	1.1839	36.89
55	1.1414	34.29
56	1.0502	29.03
57	1.1596	35.39
58	1.2025	38.06
59	1.1214	33.10
60	1.1332	33.80
61	1.2249	39.49
62	1.2322	39.96
63	1.2385	40.37
64	1.1143	32.68
65	1.1011	31.91
66	1.0807	30.74
67	1.0983	31.75
68	1.0751	30.42
69	1.0437	28.67
70	1.0093	26.81
71	0.9933	25.97
72	0.9407	23.29
73	0.9122	21.90
74	0.9289	22.71
75	0.8886	20.78
76	0.9447	23.49
77	1.0263	27.72
78	1.0231	27.55
79	1.0314	28.00
80	0.9738	24.96
81	0.8883	20.77
82	0.9742	24.98
83	0.9701	24.77
84	0.9956	26.09
85	0.9314	22.83
86	0.9463	23.57
87	0.9799	25.27
88	0.9634	24.43
89	0.9354	23.03
90	1.0023	26.44
91	1.0138	27.05
92	1.0164	27.19
93	1.0325	28.06
94	1.1106	32.46
95	1.1349	33.90
96	1.2182	39.06
97	1.2260	39.56
98	1.1826	36.81
99	1.2448	40.78
100	1.1438	34.43
101	1.1018	31.95
102	1.1285	33.52
103	1.1461	34.57
104	1.1128	32.59
105	1.0551	29.30
106	1.0655	29.88
107	1.0989	31.78
108	1.0370	28.30
109	0.9623	24.37
110	1.0364	28.27
111	1.0788	30.63
112	1.0027	26.46
113	0.9571	24.11
114	0.9192	22.24
115	0.9112	21.85
116	0.9086	21.73
117	0.9316	22.84
118	0.9049	21.55
119	0.8508	19.05
120	0.8843	20.58
121	0.8869	20.70
122	0.8384	18.50
123	0.8903	20.86
124	0.9248	22.51
125	0.9188	22.22
126	0.9336	22.94
127	0.9707	24.80
128	1.0055	26.61
129	1.0846	30.96
130	1.0758	30.46
131	1.1111	32.49
132	1.0931	31.45
133	1.2070	38.34
134	1.1954	37.61
135	1.1762	36.41
136	1.0858	31.03
137	1.0524	29.15
138	0.9170	22.13
139	0.9447	23.49
140	0.9155	22.06
141	0.8990	21.27
142	0.8851	20.62
143	0.8680	19.83
144	0.8656	19.72
145	0.8937	21.02
146	0.9122	21.90
147	0.9750	25.02
148	1.0680	30.02
149	1.0992	31.80
150	1.0783	30.60
151	1.1889	37.20
152	1.2046	38.19
153	1.2334	40.04
154	1.1040	32.08
155	1.1386	34.12
156	1.2357	40.19
157	1.1179	32.89
158	1.0839	30.92
159	1.0788	30.63
160	1.0842	30.94
161	1.0776	30.56
162	1.1736	36.25
163	1.1153	32.74
164	1.1802	36.66
165	1.3189	45.78
166	1.3642	48.98
167	1.3610	48.75
168	1.2583	41.67
169	1.1749	36.33
170	1.1116	32.52
171	0.9897	25.78
172	1.1141	32.67
173	1.1810	36.71
174	1.3128	45.36
175	1.3190	45.79
176	1.3667	49.16
177	1.3462	47.70
178	1.3122	45.32
179	1.1433	34.40
180	1.1366	34.00
181	1.0897	31.25
182	1.0558	29.34
183	1.0635	29.77
184	0.9192	22.24
185	0.9646	24.49
186	0.9308	22.80
187	0.9360	23.06
188	0.9682	24.67
189	0.9151	22.04
190	0.8945	21.06
191	0.9477	23.64
192	0.9005	21.34
193	0.8215	17.76
194	0.8836	20.55
195	0.8924	20.96
196	0.8695	19.90
197	0.8905	20.87
198	0.8754	20.17
199	0.8198	17.69
200	0.8583	19.39
201	0.8483	18.94
202	0.8140	17.44
203	0.8472	18.89
204	0.8375	18.46
205	0.8497	19.00
206	0.8627	19.59
207	0.8329	18.26
208	0.8096	17.25
209	0.8268	17.99
210	0.8279	18.04
211	0.8235	17.85
212	0.8053	17.07
213	0.8350	18.35
214	0.8481	18.93
215	0.8368	18.43
216	0.9066	21.63
217	0.9011	21.37
218	0.9403	23.27
219	0.9517	23.84
220	1.0129	27.00
221	0.9907	25.83
222	0.9273	22.63
223	0.8967	21.16
224	0.8815	20.45
225	0.9161	22.09
226	0.8327	18.25
227	0.8117	17.34
228	0.8483	18.94
229	0.8357	18.38
230	0.7947	16.62
231	0.7758	15.84
232	0.8226	17.81
233	0.8497	19.00
234	0.8079	17.18
235	0.7850	16.22
236	0.8449	18.79
237	0.8361	18.40
238	0.8272	18.01
239	0.8393	18.54
240	0.8630	19.60
241	0.8627	19.59
242	0.8528	19.14
243	0.8971	21.18
244	0.8815	20.45
245	0.8877	20.74
246	0.9076	21.68
247	0.9024	21.43
248	0.8958	21.12
249	0.9816	25.36
250	0.9176	22.16
251	0.8913	20.91
252	0.8866	20.69
253	0.8557	19.27
254	0.9719	24.86
255	0.9084	21.72
256	0.8813	20.44
257	0.9658	24.55
258	0.9585	24.18
259	0.9686	24.69
260	1.1242	33.26
261	1.1941	37.53
262	1.1609	35.47
263	1.1059	32.19
264	1.0904	31.29
265	1.0419	28.57
266	1.0457	28.78
267	1.0406	28.50
268	1.0426	28.61
269	1.0331	28.09
270	1.0728	30.29
271	1.0788	30.63
272	1.0346	28.17
273	1.0257	27.69
274	1.0793	30.66
275	1.0481	28.91
276	1.0501	29.02
277	1.0767	30.51
278	1.0804	30.72
279	0.9935	25.98
280	1.0499	29.01
281	0.9924	25.92
282	1.0707	30.17
283	1.0502	29.03
284	1.0504	29.04
285	0.9972	26.17
286	0.9862	25.60
287	0.9764	25.09
288	0.9703	24.78
289	1.0430	28.63
290	1.0997	31.83
291	1.0977	31.71
292	1.0153	27.13
293	1.0820	30.81
294	1.1658	35.77
295	1.1801	36.65
296	0.9924	25.92
297	1.0000	26.32
298	0.9818	25.37
299	0.9070	21.65
300	0.8713	19.98
301	1.0226	27.52
302	1.0542	29.25
303	0.9642	24.47
304	0.9159	22.08
305	0.9505	23.78
306	0.9130	21.94
307	0.9764	25.09
308	0.9559	24.05
309	0.8413	18.63
310	0.8643	19.66
311	0.8654	19.71
312	0.8384	18.50
313	0.8519	19.10
314	0.7963	16.69
315	0.8075	17.16
316	0.7992	16.81
317	0.8625	19.58
318	0.8634	19.62
319	0.8198	17.69
320	0.8187	17.64
321	0.8201	17.70
322	0.8470	18.88
323	0.8754	20.17
324	0.8154	17.50
325	0.8643	19.66
326	0.9000	21.32
327	0.9832	25.44
328	1.0849	30.98
329	1.0300	27.92
330	1.0978	31.72
331	1.0877	31.14
332	1.0072	26.70
333	0.8815	20.45
334	0.8802	20.39
335	0.8386	18.51
336	0.8952	21.09
337	0.8903	20.86
338	0.9330	22.91
339	0.9137	21.97
340	0.8722	20.02
341	0.8164	17.54
342	0.8467	18.87
343	0.8196	17.68
344	0.8178	17.60
345	0.7997	16.83
346	0.8077	17.17
347	0.8217	17.77
348	0.7804	16.03
349	0.8133	17.41
350	0.8032	16.98
351	0.7812	16.06
352	0.8217	17.77
353	0.8427	18.69
354	0.8420	18.66
355	0.8452	18.80
356	0.9369	23.10
357	0.8652	19.70
358	0.8693	19.89
359	0.8263	17.97
360	0.8217	17.77
361	0.8175	17.59
362	0.8605	19.49
363	0.8275	18.02
364	0.8343	18.32
365	0.8418	18.65
366	0.8115	17.33
367	0.8339	18.30
368	0.8621	19.56
369	0.8808	20.42
370	0.8815	20.45
371	0.8903	20.86
372	0.9281	22.67
373	0.9539	23.95
374	0.9719	24.86
375	0.9725	24.89
376	1.0100	26.85
377	1.0888	31.20
378	1.1684	35.93
379	1.1903	37.29
380	1.2297	39.80
381	1.2008	37.95
382	1.2052	38.23
383	1.1226	33.17
384	1.2883	43.68
385	1.1329	33.78
386	1.0402	28.48
387	0.9746	25.00
388	0.9166	22.11
389	0.8476	18.91
390	0.8554	19.26
391	0.8497	19.00
392	0.8173	17.58
393	0.8327	18.25
394	0.8032	16.98
395	0.8336	18.29
396	0.8992	21.28
397	0.9401	23.26
398	0.8706	19.95
399	0.8447	18.78
400	0.8958	21.12
401	0.9441	23.46
402	0.9785	25.20
403	0.9905	25.82
404	0.9812	25.34
405	0.7982	16.77
406	0.8634	19.62
407	0.8590	19.42
408	0.8373	18.45
409	0.8089	17.22
410	0.8474	18.90
411	0.8013	16.90
412	0.7951	16.64
413	0.8205	17.72
414	0.8427	18.69
415	0.8627	19.59
416	0.8461	18.84
417	0.8422	18.67
418	0.8517	19.09
419	0.8501	19.02
420	0.9089	21.74
421	0.8765	20.22
422	0.9240	22.47
423	0.9589	24.20
424	1.0068	26.68
425	0.9654	24.53
426	0.9874	25.66
427	1.0395	28.44
428	1.1309	33.66
429	1.1424	34.35
430	1.0839	30.92
431	1.0696	30.11
432	1.1983	37.79
433	1.1612	35.49
434	1.2725	42.62
435	1.3000	44.48
436	1.2911	43.87
437	1.2977	44.32
438	1.1972	37.72
439	1.2513	41.21
440	1.2082	38.42
441	1.1269	33.42
442	1.1413	34.28
443	1.1472	34.64
444	1.1841	36.90
445	1.1692	35.98
446	1.2128	38.71
447	1.1997	37.88
448	1.0886	31.19
449	1.0057	26.62
450	0.9648	24.50
451	0.9603	24.27
452	0.9715	24.84
453	1.0209	27.43
454	1.0511	29.08
455	0.9899	25.79
456	1.0185	27.30
457	0.9656	24.54
458	0.9256	22.55
459	0.8832	20.53
460	0.9499	23.75
461	0.9358	23.05
462	0.9387	23.19
463	0.9812	25.34
464	1.0580	29.46
465	1.3552	48.34
466	1.7436	80.01
467	1.9053	95.54
468	1.9059	95.60
469	1.8690	91.94
470	1.7909	84.41
471	1.6304	69.96
472	1.3700	49.40
473	1.2648	42.10
474	1.0190	27.33
475	0.9777	25.16
476	0.9281	22.67
477	1.0162	27.18
478	1.0160	27.17
479	0.9701	24.77
480	1.0093	26.81
481	0.9184	22.20
482	0.9038	21.50
483	0.9168	22.12
484	0.9750	25.02
485	1.0287	27.85
486	1.1245	33.28
487	1.1230	33.19
488	1.0259	27.70
489	1.1076	32.29
490	1.0747	30.40
491	1.2082	38.42
492	1.2084	38.43
493	1.1812	36.72
494	1.2474	40.95
495	1.2449	40.79
496	1.3225	46.03
497	1.3474	47.78
498	1.3713	49.49
499	1.5240	61.13
500	1.5710	64.96
