# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6lrd_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5577	63.86
2	1.6686	73.28
3	1.6154	68.68
4	1.4714	56.98
5	1.4715	56.99
6	1.3749	49.75
7	1.2539	41.38
8	1.1494	34.77
9	1.1373	34.04
10	1.2151	38.86
11	1.1960	37.65
12	1.1097	32.41
13	1.1964	37.67
14	1.2196	39.15
15	1.2595	41.75
16	1.1369	34.02
17	1.1580	35.29
18	1.1515	34.90
19	1.2655	42.15
20	1.1717	36.13
21	1.1248	33.30
22	1.2745	42.75
23	1.3016	44.59
24	1.2185	39.08
25	1.3112	45.25
26	1.2176	39.02
27	1.1369	34.02
28	1.1494	34.77
29	1.1262	33.38
30	1.0992	31.80
31	1.1383	34.10
32	1.1141	32.67
33	1.1586	35.33
34	1.1568	35.22
35	1.1573	35.25
36	1.2146	38.83
37	1.2165	38.95
38	1.2864	43.55
39	1.2393	40.42
40	1.3243	46.16
41	1.2452	40.81
42	1.2204	39.20
43	1.1366	34.00
44	1.1601	35.42
45	1.1306	33.64
46	1.1509	34.86
47	1.1332	33.80
48	1.1612	35.49
49	1.1584	35.32
50	1.1429	34.38
51	1.1133	32.62
52	1.1525	34.96
53	1.1622	35.55
54	1.2057	38.26
55	1.1492	34.76
56	1.1635	35.63
57	1.1679	35.90
58	1.1486	34.72
59	1.0770	30.53
60	1.1580	35.29
61	1.2277	39.67
62	1.2071	38.35
63	1.0980	31.73
64	1.1510	34.87
65	1.1924	37.42
66	1.1063	32.21
67	1.0916	31.36
68	1.1921	37.40
69	1.2688	42.37
70	1.2142	38.80
71	1.1933	37.48
72	1.2342	40.09
73	1.2362	40.22
74	1.0468	28.84
75	0.9920	25.90
76	0.9636	24.44
77	0.9691	24.72
78	0.9631	24.41
79	0.9806	25.31
80	1.0083	26.76
81	1.0463	28.81
82	1.0401	28.47
83	1.0207	27.42
84	1.0205	27.41
85	1.0510	29.07
86	1.2240	39.43
87	1.1321	33.73
88	0.9595	24.23
89	0.9433	23.42
90	0.9953	26.07
91	0.9733	24.93
92	1.0446	28.72
93	1.0564	29.37
94	1.1002	31.86
95	1.0835	30.90
96	1.0687	30.06
97	1.1088	32.36
98	1.1776	36.50
99	1.1734	36.24
100	1.1512	34.88
101	1.0183	27.29
102	1.0557	29.33
103	1.0066	26.67
104	1.0300	27.92
105	1.0097	26.83
106	0.9756	25.05
107	0.9799	25.27
108	1.0207	27.42
109	1.0698	30.12
110	1.1213	33.09
111	1.1741	36.28
112	1.2098	38.52
113	1.1015	31.93
114	1.1614	35.50
115	1.0996	31.82
116	1.0756	30.45
117	1.0814	30.78
118	1.1428	34.37
119	1.1668	35.83
120	1.2471	40.93
121	1.1611	35.48
122	1.1547	35.09
123	1.1602	35.43
124	1.2059	38.27
125	1.0580	29.46
126	1.1510	34.87
127	1.2342	40.09
128	1.0978	31.72
129	1.1002	31.86
130	1.0621	29.69
131	1.0049	26.58
132	0.9864	25.61
133	1.0153	27.13
134	1.0160	27.17
135	1.0504	29.04
136	0.9933	25.97
137	1.0560	29.35
138	1.1216	33.11
139	1.0793	30.66
140	1.2376	40.31
141	1.2024	38.05
142	1.2071	38.35
143	1.2605	41.82
144	1.1708	36.08
145	1.1759	36.39
146	1.2649	42.11
147	1.2481	41.00
148	1.2331	40.02
149	1.1738	36.26
150	1.3272	46.36
151	1.3193	45.81
152	1.2510	41.19
153	1.1946	37.56
154	1.0862	31.05
155	0.9901	25.80
156	1.0406	28.50
157	0.9960	26.11
158	1.0511	29.08
159	1.0019	26.42
160	1.0488	28.95
161	1.1620	35.54
162	1.1223	33.15
163	1.2019	38.02
164	1.4565	55.83
165	1.4209	53.14
166	1.3650	49.04
167	1.3239	46.13
168	1.2510	41.19
169	1.3177	45.70
170	1.1844	36.92
171	1.1006	31.88
172	1.0687	30.06
173	1.0059	26.63
174	1.0175	27.25
175	1.1476	34.66
176	1.1884	37.17
177	1.1301	33.61
178	1.1472	34.64
179	1.2276	39.66
180	1.3070	44.96
181	1.1948	37.57
182	1.2068	38.33
183	1.1343	33.86
184	1.1434	34.41
185	1.1126	32.58
186	1.1083	32.33
187	1.0777	30.57
188	1.0222	27.50
189	0.9109	21.84
190	0.9535	23.93
191	1.0630	29.74
192	1.0744	30.38
193	1.0194	27.35
194	1.0384	28.38
195	1.0366	28.28
196	1.0746	30.39
197	1.0281	27.82
198	1.0957	31.60
199	1.0578	29.45
200	1.0145	27.09
201	1.0424	28.60
202	1.1540	35.05
203	1.2011	37.97
204	1.2749	42.78
205	1.2554	41.48
206	1.2327	39.99
207	1.2290	39.75
208	1.1687	35.95
209	1.0966	31.65
210	1.2051	38.22
211	1.2214	39.26
212	1.2357	40.19
213	1.1369	34.02
214	1.0912	31.34
215	1.0635	29.77
216	1.0916	31.36
217	1.0863	31.06
218	1.0351	28.20
219	1.0331	28.09
220	1.0641	29.80
221	1.0501	29.02
222	1.0587	29.50
223	1.1147	32.70
224	1.0384	28.38
225	1.0837	30.91
226	1.0802	30.71
227	1.1145	32.69
228	1.0644	29.82
229	1.1107	32.47
230	1.1267	33.41
231	1.0949	31.55
232	0.9814	25.35
233	1.1147	32.70
234	1.1150	32.72
235	1.0684	30.04
236	1.0739	30.35
237	1.1557	35.15
238	1.1611	35.48
239	1.0977	31.71
240	1.1510	34.87
241	1.2293	39.77
242	1.1826	36.81
243	1.1768	36.45
244	1.2666	42.22
245	1.3015	44.58
246	1.2073	38.36
247	1.3000	44.48
248	1.2074	38.37
249	1.2268	39.61
250	1.1648	35.71
251	1.2129	38.72
252	1.2413	40.55
253	1.2669	42.24
254	1.2752	42.80
255	1.3709	49.46
