# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6ndw_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0179	27.27
2	0.9824	25.40
3	0.8140	17.44
4	0.7529	14.92
5	0.7265	13.89
6	0.7595	15.18
7	0.8065	17.12
8	0.8645	19.67
9	0.7634	15.34
10	0.7672	15.49
11	0.7517	14.87
12	0.7486	14.75
13	0.8386	18.51
14	0.8242	17.88
15	0.7790	15.97
16	0.8717	20.00
17	0.8490	18.97
18	0.8119	17.35
19	0.8279	18.04
20	0.8124	17.37
21	0.8789	20.33
22	0.8563	19.30
23	0.8806	20.41
24	0.7838	16.17
25	0.7143	13.43
26	0.7753	15.82
27	0.7055	13.10
28	0.7249	13.83
29	0.7296	14.01
30	0.7435	14.55
31	0.7106	13.29
32	0.6769	12.06
33	0.7987	16.79
34	0.7819	16.09
35	0.7607	15.23
36	0.7901	16.43
37	0.8494	18.99
38	0.7664	15.46
39	0.7802	16.02
40	0.7149	13.45
41	0.7047	13.07
42	0.7877	16.33
43	0.9061	21.61
44	0.8911	20.90
45	0.9084	21.72
46	0.9271	22.62
47	0.7846	16.20
48	0.7753	15.82
49	0.7687	15.55
50	0.7397	14.40
51	0.7587	15.15
52	0.7063	13.13
53	0.7273	13.92
54	0.6733	11.93
55	0.7572	15.09
56	0.7348	14.21
57	0.8023	16.94
58	0.7622	15.29
59	0.8053	17.07
60	0.7918	16.50
61	0.7877	16.33
62	0.8086	17.21
63	0.7387	14.36
64	0.7252	13.84
65	0.7262	13.88
66	0.6789	12.13
67	0.7257	13.86
68	0.6552	11.30
69	0.7792	15.98
70	0.7309	14.06
71	0.9061	21.61
72	0.9250	22.52
73	1.0646	29.83
74	0.9806	25.31
75	0.9477	23.64
76	0.9868	25.63
77	0.9805	25.30
78	0.8986	21.25
79	0.8420	18.66
80	0.7577	15.11
81	0.7549	15.00
82	0.6633	11.58
83	0.6794	12.15
84	0.6822	12.25
85	0.7435	14.55
86	0.7882	16.35
87	0.7607	15.23
88	0.7855	16.24
89	0.7649	15.40
90	0.7911	16.47
91	0.7819	16.09
92	0.7860	16.26
93	0.7468	14.68
94	0.7122	13.35
95	0.7361	14.26
96	0.7275	13.93
97	0.7178	13.56
98	0.7517	14.87
99	0.7797	16.00
100	0.8935	21.01
101	0.8994	21.29
102	0.8089	17.22
103	0.7412	14.46
104	0.7992	16.81
105	0.8101	17.27
106	0.7726	15.71
107	0.7283	13.96
108	0.7001	12.90
109	0.7154	13.47
110	0.7319	14.10
111	0.7649	15.40
112	0.7262	13.88
113	0.7071	13.16
114	0.6985	12.84
115	0.7647	15.39
116	0.8164	17.54
117	0.7975	16.74
118	0.8693	19.89
119	0.8894	20.82
120	0.8691	19.88
121	0.7020	12.97
122	0.7353	14.23
123	0.7356	14.24
124	0.7476	14.71
125	0.7392	14.38
126	0.7770	15.89
127	0.7461	14.65
128	0.8386	18.51
129	0.7937	16.58
130	0.7959	16.67
131	0.9118	21.88
132	0.8517	19.09
133	0.9213	22.34
134	1.0000	26.32
135	1.0592	29.53
136	1.1847	36.94
137	1.1416	34.30
138	1.0980	31.73
139	1.0488	28.95
140	0.9591	24.21
141	0.8159	17.52
142	0.8027	16.96
143	0.7625	15.30
144	0.7499	14.80
145	0.7461	14.65
146	0.7770	15.89
147	0.7082	13.20
148	0.7466	14.67
149	0.6630	11.57
150	0.7908	16.46
151	0.7758	15.84
152	0.7865	16.28
153	0.8737	20.09
154	0.9219	22.37
155	0.8849	20.61
156	0.9843	25.50
157	0.9607	24.29
158	0.7569	15.08
159	0.7306	14.05
160	0.7738	15.76
161	0.7927	16.54
162	0.8339	18.30
163	0.8778	20.28
164	0.9145	22.01
165	0.9441	23.46
166	0.8352	18.36
167	0.8654	19.71
168	0.8501	19.02
169	0.9405	23.28
170	0.8404	18.59
171	0.7915	16.49
172	0.8490	18.97
173	0.7435	14.55
174	0.7562	15.05
175	0.7191	13.61
176	0.7217	13.71
177	0.7173	13.54
