# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6o2v_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	0.7412	14.46
2	0.6373	10.69
3	0.5585	8.21
4	0.4850	6.19
5	0.4428	5.16
6	0.5944	9.30
7	0.5992	9.45
8	0.5998	9.47
9	0.5796	8.84
10	0.5124	6.91
11	0.6027	9.56
12	0.7814	16.07
13	0.7753	15.82
14	0.7978	16.75
15	0.7146	13.44
16	0.7544	14.98
17	0.6845	12.33
18	0.7223	13.73
19	0.6780	12.10
20	0.6244	10.26
21	0.6518	11.18
22	0.5976	9.40
23	0.5374	7.60
24	0.5589	8.22
25	0.5766	8.75
26	0.5183	7.07
27	0.5622	8.32
28	0.5241	7.23
29	0.5256	7.27
30	0.5639	8.37
31	0.5599	8.25
32	0.5957	9.34
33	0.5951	9.32
34	0.6046	9.62
35	0.4877	6.26
36	0.5506	7.98
37	0.5405	7.69
38	0.4445	5.20
39	0.5818	8.91
40	0.5176	7.05
41	0.5128	6.92
42	0.5219	7.17
43	0.5720	8.61
44	0.5973	9.39
45	0.5320	7.45
46	0.8032	16.98
47	0.7085	13.21
48	0.9791	25.23
49	1.1593	35.37
50	1.1543	35.07
51	0.9826	25.41
52	0.6836	12.30
53	0.7564	15.06
54	0.6908	12.56
55	0.6897	12.52
56	0.6786	12.12
57	0.6130	9.89
58	0.6783	12.11
59	0.7389	14.37
60	0.8058	17.09
61	0.8086	17.21
62	0.9779	25.17
63	0.9872	25.65
64	0.9571	24.11
65	0.9932	25.96
66	1.1129	32.60
67	1.1391	34.15
68	0.8947	21.07
69	0.8706	19.95
70	0.6118	9.85
71	0.6310	10.48
72	0.6914	12.58
73	0.7522	14.89
74	0.6477	11.04
75	0.6343	10.59
76	0.7188	13.60
77	0.5499	7.96
78	0.5331	7.48
79	0.5179	7.06
80	0.4977	6.52
81	0.5223	7.18
82	0.6526	11.21
83	0.6008	9.50
84	0.6385	10.73
85	0.5187	7.08
86	0.5157	7.00
87	0.4315	4.90
88	0.4070	4.36
89	0.4398	5.09
90	0.4525	5.39
91	0.3698	3.60
92	0.4715	5.85
93	0.4731	5.89
94	0.3854	3.91
95	0.4244	4.74
96	0.5844	8.99
97	0.4896	6.31
98	0.5489	7.93
99	0.4588	5.54
100	0.4257	4.77
101	0.4555	5.46
102	0.5703	8.56
103	0.5805	8.87
104	0.4530	5.40
105	0.4869	6.24
106	0.4818	6.11
107	0.4881	6.27
108	0.4167	4.57
109	0.4743	5.92
110	0.4950	6.45
111	0.4641	5.67
112	0.4376	5.04
113	0.4943	6.43
114	0.5324	7.46
115	0.5131	6.93
116	0.5190	7.09
117	0.5870	9.07
118	0.5822	8.92
119	0.7146	13.44
120	0.7146	13.44
121	0.7330	14.14
122	0.6676	11.73
123	0.6503	11.13
124	0.6908	12.56
125	0.7415	14.47
126	0.7870	16.30
127	0.7410	14.45
128	0.6820	12.24
129	0.5964	9.36
130	0.6301	10.45
131	0.7597	15.19
132	0.7985	16.78
133	0.7309	14.06
134	0.6552	11.30
135	0.5575	8.18
136	0.4846	6.18
137	0.4818	6.11
138	0.4093	4.41
139	0.4158	4.55
140	0.4719	5.86
