# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6o6y_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.6115	68.35
2	1.4732	57.12
3	1.3444	47.57
4	1.3037	44.73
5	1.2554	41.48
6	1.2952	44.15
7	1.3196	45.83
8	1.4020	51.73
9	1.4720	57.03
10	1.5129	60.24
11	1.5017	59.35
12	1.6292	69.86
13	1.6159	68.72
14	1.5414	62.53
15	1.6126	68.44
16	1.5718	65.02
17	1.5358	62.08
18	1.6096	68.19
19	1.5089	59.92
20	1.5441	62.75
21	1.4694	56.83
22	1.4660	56.56
23	1.5233	61.07
24	1.5280	61.45
25	1.5114	60.12
26	1.5154	60.44
27	1.5015	59.34
28	1.4356	54.24
29	1.4597	56.08
30	1.4312	53.91
31	1.3808	50.18
32	1.3597	48.66
33	1.4079	52.17
34	1.4037	51.86
35	1.3912	50.94
36	1.3855	50.52
37	1.5305	61.65
38	1.4395	54.54
39	1.3875	50.67
40	1.4307	53.87
41	1.4169	52.84
42	1.4569	55.86
43	1.4090	52.25
44	1.2869	43.59
45	1.2853	43.48
46	1.2875	43.63
47	1.3318	46.68
48	1.4503	55.36
49	1.4434	54.83
50	1.5420	62.58
51	1.5174	60.60
52	1.5484	63.10
53	1.5565	63.76
54	1.7584	81.38
55	1.8965	94.66
56	1.8824	93.26
57	1.8614	91.19
58	1.8020	85.46
59	1.7892	84.25
60	1.8244	87.60
61	1.7081	76.79
62	1.6562	72.19
63	1.6077	68.03
64	1.6327	70.16
65	1.5903	66.56
66	1.4618	56.24
67	1.4819	57.80
68	1.4771	57.42
69	1.4490	55.26
70	1.4183	52.94
71	1.4643	56.43
72	1.4660	56.56
73	1.3558	48.38
74	1.4211	53.15
75	1.4554	55.75
76	1.4934	58.70
77	1.4512	55.43
78	1.5971	67.13
79	1.6334	70.22
80	1.7171	77.60
81	1.7148	77.39
82	1.6606	72.58
83	1.4849	58.03
84	1.3893	50.80
85	1.3460	47.68
86	1.3140	45.44
87	1.3593	48.63
88	1.3265	46.31
89	1.3430	47.47
90	1.3778	49.96
91	1.5069	59.76
92	1.5533	63.50
93	1.6036	67.68
94	1.5796	65.67
95	1.6900	75.17
96	1.6889	75.07
97	1.6103	68.25
98	1.5706	64.92
99	1.4612	56.19
100	1.4696	56.84
101	1.4303	53.84
102	1.3536	48.22
103	1.4078	52.16
104	1.3950	51.22
105	1.2984	44.37
106	1.2778	42.97
107	1.2226	39.34
108	1.1972	37.72
109	1.2062	38.29
110	1.2293	39.77
111	1.1738	36.26
112	1.2405	40.50
113	1.2460	40.86
114	1.2262	39.57
115	1.2181	39.05
116	1.3248	46.19
117	1.3617	48.80
118	1.3013	44.57
119	1.3554	48.35
120	1.4032	51.82
121	1.4725	57.07
122	1.4394	54.53
123	1.4634	56.36
124	1.3903	50.87
125	1.3704	49.43
126	1.3219	45.99
127	1.2794	43.08
128	1.2624	41.94
129	1.3409	47.32
130	1.3785	50.01
131	1.5065	59.73
132	1.5260	61.29
133	1.4529	55.56
134	1.5513	63.34
135	1.5446	62.79
136	1.4989	59.13
137	1.4774	57.45
138	1.3911	50.93
139	1.3141	45.45
140	1.3262	46.29
141	1.2593	41.74
142	1.2746	42.76
143	1.2627	41.96
144	1.2562	41.53
145	1.3054	44.85
146	1.3261	46.28
147	1.3106	45.21
148	1.2185	39.08
149	1.2176	39.02
150	1.1650	35.72
151	1.1839	36.89
152	1.2190	39.11
153	1.2353	40.16
154	1.2663	42.20
155	1.3333	46.79
156	1.3604	48.71
157	1.3196	45.83
158	1.3313	46.65
159	1.3421	47.41
160	1.3345	46.87
161	1.3232	46.08
162	1.2997	44.46
163	1.3486	47.87
164	1.3870	50.63
165	1.4990	59.14
166	1.5826	65.92
167	1.5324	61.80
168	1.6298	69.91
169	1.8515	90.22
170	1.9453	99.60
171	1.9491	99.99
172	1.8808	93.10
173	1.8669	91.73
174	1.8568	90.74
175	1.8246	87.62
176	1.6179	68.89
177	1.5198	60.79
178	1.4376	54.39
179	1.4075	52.14
180	1.4159	52.76
181	1.4236	53.34
182	1.4068	52.09
183	1.4756	57.31
184	1.4711	56.96
185	1.5123	60.19
186	1.3632	48.91
187	1.4207	53.12
188	1.3590	48.61
189	1.4094	52.28
190	1.3352	46.92
191	1.2445	40.76
192	1.3056	44.86
193	1.4138	52.61
194	1.3579	48.53
195	1.3533	48.20
196	1.3999	51.58
197	1.4457	55.01
198	1.4822	57.82
199	1.5041	59.54
200	1.4339	54.11
201	1.3082	45.04
202	1.2953	44.16
203	1.4283	53.69
204	1.4584	55.98
205	1.4461	55.04
206	1.4567	55.85
207	1.4574	55.90
208	1.4744	57.21
209	1.4272	53.61
210	1.3508	48.02
211	1.3670	49.18
212	1.3675	49.22
213	1.3044	44.78
214	1.2763	42.87
215	1.3738	49.67
216	1.3929	51.06
217	1.3972	51.38
218	1.4767	57.39
219	1.4791	57.58
220	1.4841	57.97
221	1.4465	55.07
222	1.4704	56.90
223	1.5042	59.55
224	1.5350	62.01
225	1.6127	68.45
226	1.6669	73.13
227	1.7171	77.60
228	1.5419	62.57
229	1.4293	53.77
230	1.3735	49.65
231	1.3245	46.17
232	1.2770	42.92
233	1.2313	39.90
234	1.2027	38.07
235	1.1890	37.21
236	1.1274	33.45
237	1.1457	34.55
238	1.1666	35.82
239	1.2693	42.40
240	1.2525	41.29
241	1.2109	38.59
242	1.1704	36.05
243	1.1384	34.11
244	1.1681	35.91
245	1.1462	34.58
246	1.1726	36.19
247	1.1384	34.11
248	1.2125	38.69
249	1.2633	42.00
250	1.2408	40.52
251	1.2296	39.79
252	1.2574	41.61
253	1.2900	43.80
254	1.2798	43.11
255	1.2928	43.99
256	1.3156	45.55
257	1.2543	41.41
258	1.3114	45.26
259	1.3332	46.78
260	1.2883	43.68
261	1.2363	40.23
262	1.3150	45.51
263	1.3373	47.07
264	1.2905	43.83
265	1.2921	43.94
266	1.3646	49.01
267	1.3041	44.76
268	1.2331	40.02
269	1.3083	45.05
270	1.3638	48.95
271	1.3125	45.34
272	1.3761	49.84
273	1.4768	57.40
274	1.6055	67.84
275	1.7298	78.75
276	1.8008	85.35
277	1.9151	96.53
278	1.8768	92.71
279	1.7946	84.76
280	1.6555	72.13
281	1.4816	57.77
282	1.4005	51.62
283	1.3202	45.87
284	1.3431	47.48
285	1.2598	41.77
286	1.2463	40.88
287	1.2170	38.98
288	1.2681	42.32
289	1.2703	42.47
290	1.2228	39.35
291	1.1862	37.03
292	1.1992	37.85
293	1.2010	37.96
294	1.2048	38.20
295	1.2150	38.85
296	1.2013	37.98
297	1.2077	38.39
298	1.2055	38.25
299	1.2157	38.90
300	1.1710	36.09
301	1.1809	36.70
302	1.2617	41.90
303	1.3073	44.98
304	1.2334	40.04
305	1.2855	43.49
306	1.3305	46.59
307	1.3187	45.77
308	1.3433	47.49
309	1.4410	54.65
310	1.5591	63.98
311	1.5876	66.34
312	1.5043	59.56
313	1.2751	42.79
314	1.2303	39.84
315	1.2059	38.27
316	1.2446	40.77
317	1.2062	38.29
318	1.1879	37.14
319	1.1834	36.86
320	1.2325	39.98
321	1.1919	37.39
322	1.2095	38.50
323	1.2844	43.42
324	1.3069	44.95
325	1.2303	39.84
326	1.2336	40.05
327	1.3510	48.04
328	1.2725	42.62
329	1.2420	40.60
330	1.2214	39.26
331	1.2095	38.50
332	1.1663	35.80
333	1.2096	38.51
334	1.1542	35.06
335	1.2010	37.96
336	1.2161	38.92
337	1.2170	38.98
338	1.1841	36.90
339	1.2305	39.85
340	1.2596	41.76
341	1.2330	40.01
342	1.2490	41.06
343	1.3282	46.43
344	1.3495	47.93
345	1.2513	41.21
346	1.3038	44.74
347	1.4422	54.74
348	1.4002	51.60
349	1.4582	55.96
350	1.5089	59.92
351	1.5750	65.29
352	1.5212	60.90
353	1.4882	58.29
354	1.4118	52.46
355	1.4410	54.65
356	1.5970	67.12
357	1.5121	60.18
358	1.3803	50.14
359	1.3128	45.36
360	1.2241	39.44
361	1.2673	42.27
362	1.3515	48.07
363	1.2620	41.92
364	1.2682	42.33
365	1.3128	45.36
366	1.3649	49.03
367	1.4709	56.94
368	1.5646	64.43
369	1.6572	72.28
370	1.7454	80.18
371	1.5712	64.97
372	1.4679	56.71
373	1.3501	47.97
374	1.2928	43.99
375	1.2773	42.94
376	1.2543	41.41
377	1.2238	39.42
378	1.1805	36.68
379	1.2038	38.14
380	1.1866	37.06
381	1.2021	38.03
382	1.1396	34.18
383	1.1614	35.50
384	1.1825	36.80
385	1.2547	41.43
386	1.3007	44.53
387	1.2663	42.20
388	1.1898	37.26
389	1.2218	39.29
390	1.2776	42.96
391	1.2402	40.48
392	1.3711	49.48
393	1.3961	51.30
394	1.4951	58.83
395	1.4845	58.00
396	1.4832	57.90
397	1.6119	68.38
398	1.5567	63.78
399	1.6038	67.70
400	1.5254	61.24
401	1.4583	55.97
402	1.5022	59.39
403	1.5232	61.06
404	1.4268	53.58
405	1.3218	45.98
406	1.3226	46.04
407	1.4118	52.46
408	1.3200	45.86
409	1.2869	43.59
410	1.2955	44.17
411	1.2569	41.58
412	1.3465	47.72
413	1.2271	39.63
414	1.3251	46.21
415	1.3912	50.94
416	1.4037	51.86
417	1.3392	47.20
418	1.2890	43.73
419	1.3210	45.93
420	1.3230	46.07
421	1.2536	41.36
422	1.3156	45.55
423	1.3567	48.44
424	1.2322	39.96
425	1.2311	39.89
426	1.3089	45.09
427	1.3360	46.98
428	1.3058	44.88
429	1.2914	43.89
430	1.4995	59.18
431	1.6205	69.11
432	1.7162	77.52
433	1.7427	79.93
