# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6okd_C.pdb
# Chain: C
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5335	61.89
2	1.4002	51.60
3	1.1596	35.39
4	1.0616	29.66
5	1.0576	29.44
6	1.1873	37.10
7	1.1927	37.44
8	1.0917	31.37
9	1.1666	35.82
10	1.1878	37.13
11	1.1486	34.72
12	1.1312	33.68
13	1.2442	40.74
14	1.2557	41.50
15	1.2184	39.07
16	1.2602	41.80
17	1.3939	51.14
18	1.2911	43.87
19	1.2624	41.94
20	1.4909	58.50
21	1.5419	62.57
22	1.5501	63.24
23	1.6465	71.35
24	1.7486	80.47
25	1.5144	60.36
26	1.3993	51.53
27	1.2566	41.56
28	1.2413	40.55
29	1.1699	36.02
30	1.1604	35.44
31	1.1674	35.87
32	1.1512	34.88
33	1.0421	28.58
34	1.0322	28.04
35	1.0682	30.03
36	1.0426	28.61
37	0.9310	22.81
38	0.9495	23.73
39	0.9826	25.41
40	1.0250	27.65
41	0.9939	26.00
42	1.1157	32.76
43	1.1223	33.15
