# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6oz1_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.9136	96.38
2	2.0358	109.08
3	1.5986	67.26
4	1.4584	55.98
5	1.4922	58.60
6	1.4666	56.61
7	1.4938	58.73
8	1.4840	57.96
9	1.4617	56.23
10	1.4725	57.07
11	1.5268	61.35
12	1.6587	72.41
13	1.6806	74.34
14	1.9134	96.36
15	1.9662	101.75
16	2.2620	134.66
17	2.3961	151.11
18	2.2393	131.98
19	2.2661	135.15
20	2.4000	151.60
21	2.3013	139.38
22	2.2616	134.62
23	2.2075	128.25
24	1.9632	101.44
25	1.9644	101.56
26	1.8393	89.04
27	1.7776	83.16
28	1.5911	66.63
29	1.6483	71.51
30	1.7899	84.32
31	1.6145	68.60
32	1.5949	66.95
33	1.7870	84.05
34	1.7488	80.49
35	1.5809	65.78
36	1.6414	70.91
37	1.5215	60.93
38	1.4994	59.17
39	1.6288	69.82
40	1.6653	72.99
41	1.5379	62.25
42	1.6251	69.51
43	1.6153	68.67
44	1.6385	70.66
45	1.7890	84.23
46	1.6653	72.99
47	1.6005	67.42
48	1.6879	74.98
49	1.6794	74.23
50	1.6643	72.90
51	1.5922	66.72
52	1.6716	73.54
53	1.7604	81.56
54	1.7418	79.85
55	1.6872	74.92
56	1.6015	67.50
57	1.5953	66.98
58	1.3279	46.41
59	1.3562	48.41
60	1.4729	57.10
61	1.4430	54.80
62	1.3620	48.82
63	1.3901	50.86
64	1.4301	53.83
65	1.3829	50.33
66	1.3331	46.77
67	1.4608	56.16
68	1.5077	59.83
69	1.4794	57.60
70	1.5174	60.60
71	1.5522	63.41
72	1.5074	59.80
73	1.3515	48.07
74	1.2596	41.76
75	1.2878	43.65
76	1.2965	44.24
77	1.3003	44.50
78	1.3067	44.94
79	1.4213	53.17
80	1.4605	56.14
81	1.5438	62.73
82	1.5172	60.58
83	1.5921	66.71
84	1.6179	68.89
