# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6p5h_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	0.9188	22.22
2	0.8318	18.21
3	0.7343	14.19
4	0.7397	14.40
5	0.6477	11.04
6	0.6518	11.18
7	0.7353	14.23
8	0.8110	17.31
9	0.7954	16.65
10	0.9816	25.36
11	1.0468	28.84
12	1.1715	36.12
13	1.0940	31.50
14	0.9405	23.28
15	0.9176	22.16
16	0.8907	20.88
17	0.8894	20.82
18	0.8512	19.07
19	0.7714	15.66
20	0.6775	12.08
21	0.5973	9.39
22	0.6403	10.79
23	0.6331	10.55
24	0.6690	11.78
25	0.6274	10.36
26	0.6474	11.03
27	0.7994	16.82
28	0.8883	20.77
29	0.9097	21.78
30	0.8311	18.18
31	0.7387	14.36
32	0.7514	14.86
33	0.6176	10.04
34	0.7069	13.15
35	0.6979	12.82
36	0.7042	13.05
37	0.7159	13.49
38	0.7340	14.18
39	0.7780	15.93
40	0.7569	15.08
41	0.7476	14.71
42	0.7033	13.02
43	0.7662	15.45
44	0.8557	19.27
45	0.8004	16.86
46	0.8638	19.64
47	0.8907	20.88
48	1.0038	26.52
49	0.8665	19.76
50	0.8778	20.28
51	0.8907	20.88
52	0.8566	19.31
53	0.8222	17.79
54	0.8726	20.04
55	0.9733	24.93
56	0.9036	21.49
57	0.8778	20.28
58	0.9878	25.68
59	0.9061	21.61
60	0.9305	22.79
61	0.8490	18.97
62	0.7850	16.22
63	0.7999	16.84
64	0.7366	14.28
65	0.7183	13.58
66	0.6665	11.69
67	0.7371	14.30
68	0.8737	20.09
69	0.8499	19.01
70	0.9279	22.66
71	0.9072	21.66
72	0.9740	24.97
73	1.0464	28.82
74	1.0382	28.37
75	1.1158	32.77
76	1.0368	28.29
77	0.9473	23.62
78	0.9055	21.58
79	0.8735	20.08
80	0.8537	19.18
81	0.8875	20.73
82	0.8222	17.79
83	0.8300	18.13
84	0.8235	17.85
85	0.8523	19.12
86	0.7860	16.26
87	0.6872	12.43
88	0.8603	19.48
89	0.7415	14.47
90	0.7716	15.67
91	0.8384	18.50
92	0.8676	19.81
93	0.7841	16.18
94	0.8032	16.98
95	1.0059	26.63
96	1.0017	26.41
97	1.0127	26.99
98	1.0087	26.78
