# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6p5x_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.8066	85.90
2	1.5072	59.79
3	1.1550	35.11
4	1.0655	29.88
5	1.0106	26.88
6	1.0657	29.89
7	1.0340	28.14
8	1.1220	33.13
9	1.1401	34.21
10	1.1201	33.02
11	1.3021	44.62
12	1.3024	44.64
13	1.2171	38.99
14	1.2173	39.00
15	1.0886	31.19
16	1.0370	28.30
17	1.0600	29.57
18	1.0455	28.77
19	1.1189	32.95
20	1.1796	36.62
21	1.2014	37.99
22	1.2413	40.55
23	1.1728	36.20
24	1.2664	42.21
25	1.0921	31.39
26	1.2855	43.49
27	1.3038	44.74
28	1.1624	35.56
29	1.1648	35.71
30	1.3206	45.90
31	1.2702	42.46
32	1.0926	31.42
33	1.1376	34.06
34	1.2872	43.61
35	1.2187	39.09
36	1.2382	40.35
37	1.1504	34.83
38	1.1981	37.78
39	1.2008	37.95
40	1.1863	37.04
41	1.1682	35.92
42	1.1358	33.95
43	1.1624	35.56
44	1.1260	33.37
45	1.2411	40.54
46	1.2821	43.26
47	1.3099	45.16
48	1.3695	49.36
49	1.4261	53.53
50	1.4183	52.94
51	1.3975	51.40
52	1.3986	51.48
53	1.5061	59.70
54	1.3621	48.83
55	1.3266	46.32
56	1.6668	73.12
57	1.6494	71.60
58	1.4924	58.62
59	1.3742	49.70
60	1.2673	42.27
61	1.2838	43.38
62	1.2878	43.65
63	1.2516	41.23
64	1.3835	50.38
65	1.2812	43.20
66	1.2705	42.48
67	1.2215	39.27
68	1.4097	52.30
69	1.3826	50.31
70	1.2880	43.66
71	1.2761	42.86
72	1.1805	36.68
73	1.2311	39.89
74	1.3679	49.25
75	1.1461	34.57
76	1.1449	34.50
77	1.1351	33.91
78	1.1097	32.41
79	1.0804	30.72
80	1.0070	26.69
81	1.1910	37.33
82	1.0848	30.97
83	1.2185	39.08
84	1.4579	55.94
85	1.3804	50.15
86	1.3691	49.33
87	1.2363	40.23
88	1.2557	41.50
89	1.2029	38.08
90	1.1491	34.75
91	1.2770	42.92
92	1.1946	37.56
93	1.0807	30.74
94	1.1406	34.24
95	1.1825	36.80
96	1.1763	36.42
97	1.1121	32.55
98	1.1351	33.91
99	1.2772	42.93
100	1.1522	34.94
101	1.0353	28.21
102	1.0082	26.75
103	0.9812	25.34
104	1.0316	28.01
105	1.0117	26.94
106	1.1226	33.17
107	1.3709	49.46
108	1.9095	95.96
109	1.8672	91.76
110	2.1343	119.89
111	1.7858	83.93
112	2.0570	111.36
113	1.5041	59.54
