# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6pce_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0564	29.37
2	1.0430	28.63
3	0.9680	24.66
4	0.9061	21.61
5	0.9348	23.00
6	0.9551	24.01
7	0.9419	23.35
8	0.9328	22.90
9	0.8605	19.49
10	0.9082	21.71
11	0.9650	24.51
12	0.9356	23.04
13	0.8748	20.14
14	0.9619	24.35
15	1.1416	34.30
16	0.9781	25.18
17	0.8733	20.07
18	1.1011	31.91
19	1.1011	31.91
20	1.1781	36.53
21	1.1466	34.60
22	1.1778	36.51
23	1.6422	70.98
24	1.4649	56.48
25	1.3212	45.94
26	1.3495	47.93
27	1.6574	72.30
28	1.4385	54.46
29	1.4722	57.04
30	1.3638	48.95
31	1.2249	39.49
32	1.3540	48.25
33	1.3863	50.58
34	1.2252	39.51
35	1.0397	28.45
36	1.1143	32.68
37	1.0770	30.53
38	1.0643	29.81
39	0.9889	25.74
40	1.0203	27.40
41	1.1203	33.03
42	0.9234	22.44
43	0.8977	21.21
44	0.9409	23.30
45	0.9579	24.15
46	0.9238	22.46
47	0.8175	17.59
48	0.8398	18.56
49	0.8138	17.43
50	0.8345	18.33
51	0.7612	15.25
52	0.8691	19.88
53	0.8958	21.12
54	0.7944	16.61
55	0.8581	19.38
56	0.8379	18.48
57	0.8728	20.05
58	0.8947	21.07
59	1.0188	27.32
60	0.9303	22.78
61	0.8769	20.24
62	0.9674	24.63
63	1.0680	30.02
64	0.9715	24.84
65	0.9256	22.55
66	1.0123	26.97
67	1.1858	37.01
68	1.0207	27.42
69	0.9477	23.64
70	1.1363	33.98
71	1.2516	41.23
72	1.3230	46.07
73	1.7917	84.49
