# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6pxz_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3256	46.25
2	1.2079	38.40
3	1.1214	33.10
4	1.2040	38.15
5	1.0612	29.64
6	1.1011	31.91
7	1.0827	30.85
8	1.0657	29.89
9	1.0211	27.44
10	1.0444	28.71
11	1.0657	29.89
12	1.0136	27.04
13	1.0194	27.35
14	1.0949	31.55
15	0.9727	24.90
16	0.9962	26.12
17	1.1165	32.81
18	1.0874	31.12
19	1.0298	27.91
20	1.1765	36.43
21	1.1277	33.47
22	1.1438	34.43
23	1.1929	37.45
24	1.2512	41.20
25	1.2782	43.00
26	1.2667	42.23
27	1.3323	46.72
28	1.2178	39.03
29	1.2498	41.11
30	1.2388	40.39
31	1.0904	31.29
32	1.1858	37.01
33	1.1196	32.99
34	1.0669	29.96
35	1.0580	29.46
36	1.0626	29.72
37	0.9375	23.13
38	0.9783	25.19
39	0.9987	26.25
40	0.9477	23.64
41	0.9425	23.38
42	0.9808	25.32
43	0.9642	24.47
44	0.9795	25.25
45	1.0177	27.26
46	1.0309	27.97
47	1.0255	27.68
48	1.0504	29.04
49	1.0190	27.33
50	1.0027	26.46
51	1.0205	27.41
52	1.0172	27.23
53	0.9775	25.15
54	0.9958	26.10
55	0.9806	25.31
56	1.0395	28.44
57	0.9845	25.51
58	0.9666	24.59
59	1.0270	27.76
60	1.0635	29.77
61	1.1025	31.99
62	1.0770	30.53
63	1.1061	32.20
64	1.1565	35.20
65	1.2167	38.96
66	1.2057	38.26
67	1.2024	38.05
68	1.1954	37.61
69	1.2599	41.78
70	1.2927	43.98
71	1.3358	46.96
72	1.2617	41.90
73	1.2595	41.75
74	1.2117	38.64
75	1.1713	36.11
76	1.1461	34.57
77	1.0584	29.48
78	1.0634	29.76
79	1.0760	30.47
80	1.1070	32.25
81	0.9723	24.88
82	0.9569	24.10
83	0.9987	26.25
84	1.0459	28.79
85	0.9857	25.57
86	1.0268	27.75
87	1.1182	32.91
88	1.1184	32.92
89	1.0737	30.34
90	1.1527	34.97
91	1.0483	28.92
92	1.0791	30.65
93	1.1801	36.65
94	1.0719	30.24
95	1.0891	31.22
96	1.2391	40.41
97	1.2886	43.70
98	1.2153	38.87
99	1.2005	37.93
100	1.1548	35.10
101	1.2297	39.80
102	1.1583	35.31
103	1.1274	33.45
