# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6q10_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5842	66.05
2	1.5731	65.13
3	1.4518	55.47
4	1.1707	36.07
5	1.0566	29.38
6	1.0080	26.74
7	0.9640	24.46
8	1.0048	26.57
9	0.9895	25.77
10	1.0025	26.45
11	1.0203	27.40
12	0.9395	23.23
13	0.9756	25.05
14	1.0928	31.43
15	0.9801	25.28
16	0.9356	23.04
17	0.8514	19.08
18	0.8461	18.84
19	0.9308	22.80
20	0.9277	22.65
21	1.0270	27.76
22	1.0799	30.69
23	0.9122	21.90
24	0.9141	21.99
25	0.8581	19.38
26	0.8279	18.04
27	0.8065	17.12
28	0.8665	19.76
29	0.8772	20.25
30	0.8962	21.14
31	0.9401	23.26
32	0.9629	24.40
33	1.0964	31.64
34	1.1494	34.77
35	1.0806	30.73
36	1.0313	27.99
37	0.9678	24.65
38	0.9082	21.71
39	0.9912	25.86
40	1.0074	26.71
41	0.9377	23.14
42	0.9656	24.54
43	1.0272	27.77
44	1.0263	27.72
45	0.9246	22.50
46	1.0093	26.81
47	1.1030	32.02
48	1.0360	28.25
49	1.0675	29.99
50	0.8990	21.27
51	1.0205	27.41
52	1.0806	30.73
53	1.0818	30.80
54	0.9155	22.06
55	0.9369	23.10
56	0.8791	20.34
57	0.9358	23.05
58	0.9475	23.63
59	0.9021	21.42
60	1.1624	35.56
61	1.1021	31.97
62	1.0791	30.65
63	1.1793	36.60
64	1.2084	38.43
65	1.4885	58.31
66	1.4536	55.61
67	1.2291	39.76
68	1.1757	36.38
69	1.1119	32.54
70	0.9161	22.09
71	0.8909	20.89
72	0.8391	18.53
73	0.7875	16.32
74	0.7858	16.25
75	0.8295	18.11
76	0.9849	25.53
77	1.0548	29.28
78	1.0329	28.08
79	0.9377	23.14
80	0.8577	19.36
81	0.9082	21.71
82	0.8465	18.86
83	0.7843	16.19
84	0.8361	18.40
85	0.8263	17.97
86	0.8233	17.84
87	0.7812	16.06
88	0.8485	18.95
89	0.8992	21.28
90	0.8182	17.62
91	0.8490	18.97
92	0.9246	22.50
93	0.8377	18.47
94	0.9024	21.43
95	0.8854	20.63
96	0.8704	19.94
97	0.9473	23.62
98	0.9487	23.69
99	1.0381	28.36
100	0.9648	24.50
101	1.1243	33.27
102	1.0607	29.61
103	0.9953	26.07
104	0.9733	24.93
105	0.8161	17.53
106	0.8647	19.68
107	0.7918	16.50
108	0.8532	19.16
109	0.8354	18.37
110	0.9690	24.71
111	1.0233	27.56
112	1.0978	31.72
113	1.0203	27.40
114	1.1167	32.82
115	1.0309	27.97
116	0.9078	21.69
117	0.9750	25.02
118	1.0754	30.44
119	1.0134	27.03
120	1.1030	32.02
121	0.9405	23.28
122	0.8935	21.01
123	1.0320	28.03
124	0.8973	21.19
125	0.8667	19.77
126	0.9271	22.62
127	0.9781	25.18
128	0.9439	23.45
129	0.9475	23.63
130	0.9507	23.79
131	1.1967	37.69
132	1.4105	52.36
133	1.5721	65.05
134	1.3293	46.51
135	1.6425	71.00
136	1.4059	52.02
137	1.3831	50.35
138	0.9738	24.96
139	0.9744	24.99
140	1.0537	29.22
141	1.0027	26.46
142	0.9721	24.87
143	0.8795	20.36
144	0.9000	21.32
145	0.9748	25.01
146	0.9009	21.36
147	0.8920	20.94
148	0.9808	25.32
149	1.0089	26.79
150	1.0049	26.58
151	0.9583	24.17
152	1.0443	28.70
