# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6q9c_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.4725	57.07
2	1.4279	53.66
3	1.3548	48.31
4	1.4053	51.98
5	1.4546	55.69
6	1.4484	55.21
7	1.3338	46.82
8	1.3072	44.97
9	1.3380	47.12
10	1.2821	43.26
11	1.2146	38.83
12	1.2518	41.24
13	1.2448	40.78
14	1.1573	35.25
15	1.1515	34.90
16	1.1783	36.54
17	1.1018	31.95
18	1.0776	30.56
19	1.1312	33.68
20	1.1406	34.24
21	1.1438	34.43
22	1.1118	32.53
23	1.0408	28.51
24	1.0266	27.74
25	1.0322	28.04
26	1.0049	26.58
27	1.0351	28.20
28	1.0637	29.78
29	1.0433	28.65
30	1.0443	28.70
31	1.1023	31.98
32	1.1182	32.91
33	1.1042	32.09
34	1.1560	35.17
35	1.2146	38.83
36	1.2220	39.30
37	1.1874	37.11
38	1.1439	34.44
39	1.1277	33.47
40	1.2190	39.11
41	1.2669	42.24
42	1.3430	47.47
43	1.2568	41.57
44	1.2243	39.45
45	1.3248	46.19
46	1.3128	45.36
47	1.2033	38.11
48	1.1962	37.66
49	1.3095	45.13
50	1.2931	44.01
51	1.2173	39.00
52	1.2859	43.52
53	1.2145	38.82
54	1.2468	40.91
55	1.2417	40.58
56	1.2313	39.90
57	1.1507	34.85
58	1.1221	33.14
59	1.1509	34.86
60	1.0982	31.74
61	1.0316	28.01
62	1.0484	28.93
63	1.0698	30.12
64	1.0187	27.31
65	0.9962	26.12
66	1.0537	29.22
67	1.0266	27.74
68	1.0490	28.96
69	1.1225	33.16
70	1.3273	46.37
71	1.3574	48.49
72	1.2952	44.15
73	1.2755	42.82
74	1.1918	37.38
75	1.1783	36.54
76	1.0982	31.74
77	1.0632	29.75
78	1.0229	27.54
79	0.9901	25.80
80	0.9690	24.71
81	0.9421	23.36
82	0.9744	24.99
83	0.9589	24.20
84	0.9758	25.06
85	0.9453	23.52
86	0.9561	24.06
87	1.0268	27.75
88	1.0700	30.13
89	1.0931	31.45
90	1.0874	31.12
91	1.0412	28.53
92	1.1220	33.13
93	1.1240	33.25
94	1.0368	28.29
95	1.0646	29.83
96	1.1482	34.70
97	1.1287	33.53
98	1.0867	31.08
99	1.1763	36.42
100	1.2271	39.63
101	1.1937	37.50
102	1.1730	36.21
103	1.2293	39.77
104	1.1828	36.82
105	1.1669	35.84
106	1.1233	33.21
107	1.1589	35.35
108	1.1770	36.46
109	1.1694	35.99
110	1.2051	38.22
111	1.3022	44.63
112	1.3058	44.88
113	1.2317	39.93
114	1.1801	36.65
115	1.1009	31.90
116	1.0737	30.34
117	1.0684	30.04
118	1.0515	29.10
119	1.0274	27.78
120	0.9912	25.86
121	0.9826	25.41
122	0.9443	23.47
123	0.9269	22.61
124	0.9299	22.76
125	0.9209	22.32
126	0.9371	23.11
127	0.9705	24.79
128	1.0063	26.65
129	0.9872	25.65
130	0.9797	25.26
131	0.9455	23.53
132	0.9565	24.08
133	0.9777	25.16
134	1.0065	26.66
135	1.0276	27.79
136	1.0205	27.41
137	0.9991	26.27
138	0.9648	24.50
139	0.9752	25.03
140	0.9705	24.79
141	0.9874	25.66
142	1.0488	28.95
143	1.0902	31.28
144	1.1177	32.88
145	1.1462	34.58
146	1.0806	30.73
147	1.0592	29.53
148	1.1317	33.71
149	1.1464	34.59
150	1.0692	30.09
151	1.0900	31.27
152	1.1583	35.31
153	1.1547	35.09
154	1.1374	34.05
155	1.2068	38.33
