# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6q9c_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3520	48.11
2	1.3508	48.02
3	1.1158	32.77
4	1.0605	29.60
5	1.0493	28.98
6	1.0151	27.12
7	1.0168	27.21
8	1.0379	28.35
9	0.9878	25.68
10	0.9887	25.73
11	0.9797	25.26
12	1.0023	26.44
13	0.9958	26.10
14	1.0268	27.75
15	1.0349	28.19
16	1.0439	28.68
17	1.0032	26.49
18	0.9682	24.67
19	0.9770	25.12
20	1.0248	27.64
21	1.0083	26.76
22	0.9742	24.98
23	1.0121	26.96
24	1.0501	29.02
25	1.0188	27.32
26	1.0106	26.88
27	0.9943	26.02
28	1.0142	27.07
29	1.0630	29.74
30	1.0531	29.19
31	1.1082	32.32
32	1.0777	30.57
33	1.0172	27.23
34	1.0721	30.25
35	1.1411	34.27
36	1.0912	31.34
37	1.0797	30.68
38	1.0132	27.02
39	1.0190	27.33
40	1.0712	30.20
41	1.0437	28.67
42	1.0461	28.80
43	1.1140	32.66
44	1.1306	33.64
45	1.0954	31.58
46	1.1414	34.29
47	1.2137	38.77
48	1.1922	37.41
49	1.1717	36.13
50	1.1242	33.26
51	1.1890	37.21
52	1.1933	37.48
53	1.0999	31.84
54	1.0747	30.40
55	1.1358	33.95
56	1.0949	31.55
57	1.0316	28.01
58	1.0754	30.44
59	1.1204	33.04
60	1.0614	29.65
61	1.0513	29.09
62	0.9899	25.79
63	0.9866	25.62
64	0.9499	23.75
65	0.9269	22.61
66	0.9254	22.54
67	0.9401	23.26
68	0.9615	24.33
69	0.9697	24.75
70	0.9756	25.05
71	0.9932	25.96
72	0.9561	24.06
73	1.0123	26.97
74	1.0567	29.39
75	1.0046	26.56
76	1.0044	26.55
77	1.0783	30.60
78	1.0684	30.04
79	1.0229	27.54
80	1.0682	30.03
81	1.1329	33.78
82	1.1121	32.55
83	1.1363	33.98
84	1.1164	32.80
85	1.0994	31.81
86	1.0235	27.57
87	0.9862	25.60
88	0.9475	23.63
89	0.9107	21.83
90	0.8866	20.69
91	0.8687	19.86
92	0.8663	19.75
93	0.8909	20.89
94	0.8860	20.66
95	0.9038	21.50
96	0.9105	21.82
97	0.9095	21.77
98	0.9190	22.23
99	0.9040	21.51
100	0.9042	21.52
101	0.9141	21.99
102	0.9230	22.42
103	0.9431	23.41
104	0.9847	25.52
105	0.9595	24.23
106	0.9457	23.54
107	0.9638	24.45
108	0.9491	23.71
109	0.9419	23.35
110	0.9137	21.97
111	0.9364	23.08
112	0.9455	23.53
113	0.9209	22.32
114	0.9348	23.00
115	0.9549	24.00
116	0.9314	22.83
117	0.9151	22.04
118	0.9383	23.17
119	0.9481	23.66
120	0.9369	23.10
121	0.9473	23.62
122	0.9951	26.06
123	1.0000	26.32
124	0.9981	26.22
125	1.0218	27.48
126	0.9932	25.96
127	1.0268	27.75
128	1.0242	27.61
129	0.9777	25.16
130	0.9814	25.35
131	0.9258	22.56
132	0.8873	20.72
133	0.8765	20.22
134	0.8892	20.81
135	0.9234	22.44
136	0.9310	22.81
137	0.9137	21.97
138	0.9597	24.24
139	0.9703	24.78
140	0.9248	22.51
141	0.9409	23.30
142	0.9857	25.57
143	0.9611	24.31
144	0.9515	23.83
145	1.0048	26.57
146	1.0311	27.98
147	0.9996	26.30
148	1.0089	26.79
149	1.0828	30.86
150	1.0944	31.52
151	1.0587	29.50
152	1.1182	32.91
153	1.1767	36.44
154	1.1353	33.92
155	1.1111	32.49
156	1.0439	28.68
157	1.0379	28.35
158	1.0823	30.83
159	1.1282	33.50
160	1.1353	33.92
161	1.1004	31.87
162	1.1635	35.63
163	1.1995	37.87
164	1.1673	35.86
165	1.1619	35.53
166	1.0940	31.50
167	1.0767	30.51
168	1.0353	28.21
169	1.0600	29.57
170	0.9945	26.03
171	0.9979	26.21
172	0.9483	23.67
173	0.9419	23.35
174	0.9417	23.34
175	0.9326	22.89
176	0.9733	24.93
177	0.9752	25.03
178	0.9640	24.46
179	0.9207	22.31
180	0.9238	22.46
181	0.9299	22.76
182	0.8780	20.29
183	0.8943	21.05
184	0.8971	21.18
185	0.9153	22.05
186	0.9199	22.27
187	0.9019	21.41
188	0.9281	22.67
189	0.9699	24.76
190	0.9756	25.05
191	0.9974	26.18
192	1.0342	28.15
193	1.0457	28.78
194	1.0609	29.62
195	1.0721	30.25
196	1.0125	26.98
197	1.0168	27.21
198	0.9678	24.65
199	1.0149	27.11
200	1.0601	29.58
201	1.0549	29.29
202	1.0777	30.57
203	1.0601	29.58
204	1.0068	26.68
205	0.9715	24.84
206	1.0078	26.73
207	1.0784	30.61
208	1.0671	29.97
209	0.9907	25.83
210	0.9855	25.56
211	1.0351	28.20
212	1.0452	28.75
213	1.0415	28.55
214	1.0031	26.48
215	0.9501	23.76
216	0.9293	22.73
217	0.8836	20.55
218	0.8649	19.69
219	0.8519	19.10
220	0.8572	19.34
221	0.8658	19.73
222	0.8739	20.10
223	0.8815	20.45
224	0.8898	20.84
225	0.9157	22.07
226	0.9297	22.75
227	0.9567	24.09
228	0.9876	25.67
229	1.0093	26.81
230	1.0544	29.26
231	1.1002	31.86
232	1.1522	34.94
233	1.1602	35.43
234	1.1461	34.57
235	1.2085	38.44
236	1.1943	37.54
237	1.1119	32.54
238	1.1673	35.86
239	1.1992	37.85
240	1.1162	32.79
241	1.0754	30.44
242	1.0853	31.00
243	1.1044	32.10
244	1.0842	30.94
245	1.0198	27.37
246	1.0072	26.70
247	0.9756	25.05
248	0.9481	23.66
249	0.9225	22.40
250	0.9116	21.87
251	0.8958	21.12
252	0.8979	21.22
253	0.9256	22.55
254	0.9310	22.81
255	0.9744	24.99
256	1.0316	28.01
257	1.0168	27.21
258	1.0412	28.53
259	1.0031	26.48
260	0.9525	23.88
261	0.9252	22.53
262	0.9308	22.80
263	0.9346	22.99
264	0.9409	23.30
265	0.9591	24.21
266	0.9911	25.85
267	0.9947	26.04
268	1.0371	28.31
269	1.0008	26.36
270	1.0044	26.55
271	0.9793	25.24
272	1.0401	28.47
273	1.0300	27.92
274	0.9742	24.98
275	1.0000	26.32
276	1.0592	29.53
277	1.0774	30.55
278	1.0159	27.16
279	0.9905	25.82
280	1.0382	28.37
281	1.0430	28.63
282	1.0486	28.94
283	1.0926	31.42
284	1.1557	35.15
285	1.1645	35.69
286	1.1801	36.65
287	1.1692	35.98
288	1.0890	31.21
289	1.0883	31.17
290	1.0342	28.15
291	0.9864	25.61
292	0.9591	24.21
293	0.9403	23.27
294	0.9209	22.32
295	0.9391	23.21
296	0.9632	24.42
297	1.0055	26.61
298	1.0324	28.05
299	1.0623	29.70
300	1.1018	31.95
301	1.1349	33.90
302	1.1995	37.87
303	1.1530	34.99
304	1.1165	32.81
305	1.1411	34.27
306	1.0937	31.48
307	1.0448	28.73
308	0.9806	25.31
309	1.0010	26.37
310	1.0386	28.39
311	1.0902	31.28
312	1.1216	33.11
313	1.1312	33.68
314	1.0643	29.81
315	1.0100	26.85
316	0.9824	25.40
317	0.9451	23.51
318	0.9348	23.00
319	0.9334	22.93
320	0.9080	21.70
321	0.9310	22.81
322	0.9367	23.09
323	0.9777	25.16
324	1.0253	27.67
325	1.0680	30.02
326	1.2513	41.21
327	1.2651	42.12
328	1.1793	36.60
329	1.1131	32.61
330	1.0504	29.04
331	1.0153	27.13
332	1.0373	28.32
333	0.9989	26.26
334	0.9489	23.70
335	0.9611	24.31
336	0.9839	25.48
337	0.9364	23.08
338	0.9105	21.82
339	0.9427	23.39
340	0.9275	22.64
341	0.9032	21.47
342	0.9525	23.88
343	1.0104	26.87
344	0.9746	25.00
345	0.9425	23.38
346	0.9887	25.73
347	0.9674	24.63
348	0.9812	25.34
349	0.9350	23.01
350	0.9373	23.12
351	0.9281	22.67
352	0.9159	22.08
353	0.9537	23.94
354	0.9805	25.30
355	0.9367	23.09
356	0.9213	22.34
357	0.9521	23.86
358	0.9563	24.07
359	0.9209	22.32
360	0.9427	23.39
361	1.0072	26.70
362	0.9872	25.65
363	0.9768	25.11
364	1.0455	28.77
365	1.0888	31.20
366	1.0682	30.03
367	1.0945	31.53
368	1.1786	36.56
369	1.2025	38.06
370	1.2125	38.69
371	1.1274	33.45
372	1.1586	35.33
373	1.1751	36.34
374	1.1160	32.78
375	1.1192	32.97
376	1.0428	28.62
377	1.0849	30.98
378	1.0985	31.76
379	1.0233	27.56
380	0.9752	25.03
381	1.0129	27.00
382	1.0013	26.39
383	0.9634	24.43
384	0.9385	23.18
385	1.0192	27.34
386	0.9773	25.14
387	0.9473	23.62
388	0.9738	24.96
389	0.9803	25.29
390	1.0008	26.36
391	0.9930	25.95
392	0.9575	24.13
393	0.9876	25.67
394	0.9636	24.44
395	0.9686	24.69
396	0.9419	23.35
397	0.9383	23.17
398	0.9688	24.70
399	0.9312	22.82
400	0.8843	20.58
401	0.9002	21.33
402	0.9425	23.38
403	0.9441	23.46
404	0.9350	23.01
405	0.9664	24.58
406	1.0038	26.52
407	0.9968	26.15
408	1.0417	28.56
409	1.1199	33.01
410	1.1290	33.55
411	1.1204	33.04
412	1.1686	35.94
413	1.2687	42.36
414	1.2151	38.86
415	1.1593	35.37
416	1.2856	43.50
417	1.3455	47.65
418	1.3015	44.58
419	1.4171	52.85
420	1.5355	62.05
