# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6ro6_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0539	29.23
2	1.0021	26.43
3	0.9713	24.83
4	0.9326	22.89
5	0.9078	21.69
6	1.0065	26.66
7	1.0703	30.15
8	1.0497	29.00
9	0.9742	24.98
10	1.0207	27.42
11	1.0198	27.37
12	1.0151	27.12
13	1.2875	43.63
14	1.2843	43.41
15	1.4159	52.76
16	1.4293	53.77
17	1.2862	43.54
18	1.2920	43.93
19	1.3256	46.25
20	1.3785	50.01
21	1.2521	41.26
22	1.1070	32.25
23	1.1742	36.29
24	1.0575	29.43
25	0.9535	23.93
26	1.0222	27.50
27	1.0006	26.35
28	0.9236	22.45
29	0.8521	19.11
30	0.9032	21.47
31	0.8728	20.05
32	0.7481	14.73
33	0.8597	19.45
34	0.8379	18.48
35	0.9585	24.18
36	0.9571	24.11
37	1.1046	32.11
38	1.0038	26.52
39	0.9305	22.79
40	0.9019	21.41
41	1.0083	26.76
42	0.9159	22.08
43	0.9557	24.04
44	0.9471	23.61
45	0.8124	17.37
46	0.7684	15.54
47	0.8557	19.27
48	0.8161	17.53
49	0.8503	19.03
50	0.8379	18.48
51	0.8641	19.65
52	0.8334	18.28
53	0.7997	16.83
54	0.9899	25.79
55	0.9559	24.05
56	1.0053	26.60
57	1.1346	33.88
58	1.7558	81.14
