# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6rwt_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0914	31.35
2	0.9756	25.05
3	0.9238	22.46
4	1.0055	26.61
5	1.0021	26.43
6	0.9593	24.22
7	0.8933	21.00
8	0.9437	23.44
9	0.9916	25.88
10	0.9928	25.94
11	0.9182	22.19
12	0.9015	21.39
13	0.9531	23.91
14	0.9773	25.14
15	0.9074	21.67
16	0.9240	22.47
17	0.9417	23.34
18	0.9122	21.90
19	0.8711	19.97
20	0.9186	22.21
21	0.9330	22.91
22	0.8958	21.12
23	0.8577	19.36
24	0.8427	18.69
25	0.8913	20.91
26	0.8780	20.29
27	0.8217	17.77
28	0.8561	19.29
29	0.8706	19.95
30	0.8352	18.36
31	0.8345	18.33
32	0.9047	21.54
33	0.9271	22.62
34	0.9887	25.73
35	1.0000	26.32
36	0.9209	22.32
37	0.9419	23.35
38	1.0575	29.43
39	1.1052	32.15
40	1.0008	26.36
41	1.0125	26.98
42	0.8676	19.81
43	0.8979	21.22
44	0.8726	20.04
45	0.8339	18.30
46	0.8189	17.65
47	0.8187	17.64
48	0.8053	17.07
49	0.7812	16.06
50	0.7559	15.04
51	0.7714	15.66
52	0.7853	16.23
53	0.7422	14.50
54	0.7627	15.31
55	0.7809	16.05
56	0.7691	15.57
57	0.7699	15.60
58	0.7816	16.08
59	0.7777	15.92
60	0.8020	16.93
61	0.8191	17.66
62	0.8663	19.75
63	0.8763	20.21
64	0.9109	21.84
65	1.1456	34.54
66	1.1418	34.31
67	1.2003	37.92
68	1.1008	31.89
69	0.9901	25.80
70	0.9340	22.96
71	0.8939	21.03
72	0.9005	21.34
73	0.8431	18.71
74	0.8198	17.69
75	0.8020	16.93
76	0.8494	18.99
77	0.8051	17.06
78	0.7937	16.58
79	0.7947	16.62
80	0.8027	16.96
81	0.8592	19.43
82	0.8483	18.94
83	0.7942	16.60
84	0.8297	18.12
85	0.8543	19.21
86	0.8561	19.29
87	0.8649	19.69
88	0.8389	18.52
89	0.8735	20.08
90	0.8935	21.01
91	0.8588	19.41
92	0.9034	21.48
93	0.9429	23.40
94	0.9495	23.73
95	0.9605	24.28
96	1.0558	29.34
97	1.0916	31.36
98	1.2387	40.38
99	1.4181	52.93
100	1.4684	56.75
101	1.3331	46.77
102	1.1538	35.04
103	1.1021	31.97
104	1.0973	31.69
105	1.0739	30.35
106	1.0834	30.89
107	1.0053	26.60
108	0.9336	22.94
109	0.9407	23.29
110	0.9413	23.32
111	0.9205	22.30
112	0.9513	23.82
113	0.8975	21.20
114	0.8400	18.57
115	0.8992	21.28
116	0.9553	24.02
117	0.9159	22.08
118	0.9116	21.87
119	1.0068	26.68
120	1.0346	28.17
121	0.9080	21.70
122	0.9475	23.63
123	1.0144	27.08
124	0.9818	25.37
125	0.9509	23.80
126	1.0222	27.50
127	1.0684	30.04
128	1.0786	30.62
129	0.9983	26.23
130	0.9697	24.75
131	0.9026	21.44
132	0.9746	25.00
133	0.9457	23.54
134	0.9483	23.67
135	0.9591	24.21
136	0.9318	22.85
137	0.9021	21.42
138	0.9215	22.35
139	1.0132	27.02
140	0.9248	22.51
141	0.9358	23.05
142	1.0166	27.20
143	1.1424	34.35
144	1.1793	36.60
145	1.2215	39.27
146	1.4173	52.87
147	1.2548	41.44
148	1.0928	31.43
149	1.1715	36.12
150	1.0359	28.24
151	1.0168	27.21
152	1.0828	30.86
153	1.0860	31.04
154	1.0703	30.15
155	0.9389	23.20
156	0.9483	23.67
157	0.9977	26.20
158	0.9465	23.58
159	0.8869	20.70
160	0.9587	24.19
161	0.9810	25.33
162	0.9219	22.37
163	0.8320	18.22
164	1.0097	26.83
165	1.0147	27.10
166	0.9168	22.12
167	1.0194	27.35
168	1.0612	29.64
169	0.9991	26.27
170	1.0502	29.03
171	1.0705	30.16
172	1.1331	33.79
173	1.0439	28.68
174	0.9727	24.90
175	0.9837	25.47
176	1.0089	26.79
177	0.9632	24.42
178	1.0314	28.00
179	0.9609	24.30
180	0.9379	23.15
181	0.9099	21.79
182	0.9968	26.15
183	1.0153	27.13
184	1.0093	26.81
185	1.0648	29.84
186	1.1870	37.08
187	1.2487	41.04
188	1.4041	51.89
