# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6sms_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3193	45.81
2	1.2758	42.84
3	1.2816	43.23
4	1.1247	33.29
5	1.1063	32.21
6	0.9308	22.80
7	0.9223	22.39
8	0.8909	20.89
9	0.8418	18.65
10	0.8068	17.13
11	0.7853	16.23
12	0.7629	15.32
13	0.8030	16.97
14	0.8407	18.60
15	0.8967	21.16
16	0.9246	22.50
17	0.9338	22.95
18	0.9373	23.12
19	0.9066	21.63
20	0.9336	22.94
21	0.8735	20.08
22	0.8270	18.00
23	0.8196	17.68
24	0.8124	17.37
25	0.8178	17.60
26	0.7956	16.66
27	0.7848	16.21
28	0.8171	17.57
29	0.8680	19.83
30	1.0162	27.18
31	1.0201	27.39
32	1.0393	28.43
33	0.9839	25.48
34	0.9593	24.22
35	0.9207	22.31
36	0.9207	22.31
37	0.9549	24.00
38	0.9897	25.78
39	1.0142	27.07
40	0.9332	22.92
41	0.9101	21.80
42	0.9880	25.69
43	0.9941	26.01
44	0.9768	25.11
45	1.0130	27.01
46	1.1094	32.39
47	1.1504	34.83
48	1.1783	36.54
49	1.0535	29.21
50	0.9465	23.58
51	0.9801	25.28
52	0.8767	20.23
53	0.8918	20.93
54	0.8819	20.47
55	0.8649	19.69
56	0.8143	17.45
57	0.7915	16.49
58	0.8173	17.58
59	0.7980	16.76
60	0.8334	18.28
61	0.8543	19.21
62	0.8828	20.51
63	0.9912	25.86
64	1.0066	26.67
65	1.0401	28.47
66	1.0457	28.78
67	1.0855	31.01
68	1.0370	28.30
69	1.0397	28.45
70	1.0362	28.26
71	0.9981	26.22
72	0.9864	25.61
73	0.9644	24.48
74	0.9742	24.98
75	0.9874	25.66
76	1.1927	37.44
77	1.1836	36.87
78	1.0170	27.22
79	1.1021	31.97
80	0.9030	21.46
81	0.8990	21.27
82	0.8748	20.14
83	0.8886	20.78
84	0.9389	23.20
85	0.9979	26.21
86	0.9777	25.16
87	1.0068	26.68
88	0.9682	24.67
89	0.9511	23.81
90	0.9411	23.31
91	0.9806	25.31
92	0.9956	26.09
93	0.9874	25.66
94	1.0324	28.05
95	1.0272	27.77
96	1.0048	26.57
97	0.9666	24.59
98	0.9955	26.08
99	1.0421	28.58
100	1.0080	26.74
101	1.0006	26.35
102	1.0144	27.08
103	0.9760	25.07
104	1.0381	28.36
105	1.0452	28.75
106	1.0227	27.53
107	0.9835	25.46
108	0.9623	24.37
109	0.9371	23.11
110	0.9084	21.72
111	0.8313	18.19
112	0.8563	19.30
113	0.8361	18.40
114	0.8577	19.36
115	0.8967	21.16
116	0.9549	24.00
117	1.0432	28.64
118	1.2748	42.77
119	1.1620	35.54
120	1.0517	29.11
121	1.0694	30.10
122	1.0728	30.29
123	1.1123	32.56
124	1.2625	41.95
125	1.1913	37.35
126	1.3252	46.22
127	1.2021	38.03
128	1.1638	35.65
129	1.3190	45.79
130	1.3390	47.19
131	1.2148	38.84
132	1.0576	29.44
133	0.9417	23.34
134	0.9793	25.24
135	1.0203	27.40
136	1.1140	32.66
137	1.1789	36.58
138	1.3275	46.38
139	1.3994	51.54
140	1.4006	51.63
141	1.3761	49.84
142	1.2572	41.60
143	1.1042	32.09
144	1.0307	27.96
145	0.9569	24.10
146	0.9930	25.95
147	0.9795	25.25
148	1.0196	27.36
149	0.9305	22.79
150	0.8907	20.88
151	0.8977	21.21
152	0.8382	18.49
153	0.8574	19.35
154	0.8964	21.15
155	0.8898	20.84
156	0.9674	24.63
157	0.9874	25.66
158	0.9994	26.29
159	1.0333	28.10
160	0.9295	22.74
161	0.9040	21.51
162	0.9258	22.56
163	0.8623	19.57
164	0.8638	19.64
165	0.8700	19.92
166	0.9009	21.36
167	0.8759	20.19
168	0.8669	19.78
169	0.9405	23.28
170	0.9668	24.60
171	0.9371	23.11
172	0.9595	24.23
173	1.0013	26.39
174	1.1020	31.96
175	1.0912	31.34
176	1.2252	39.51
177	1.1697	36.01
178	1.1581	35.30
179	1.3804	50.15
180	1.1472	34.64
181	1.0506	29.05
182	0.9857	25.57
183	1.1042	32.09
184	1.0340	28.14
185	0.9116	21.87
186	0.8658	19.73
187	0.8702	19.93
188	0.8490	18.97
189	0.8557	19.27
190	0.8404	18.59
191	0.8152	17.49
192	0.7913	16.48
193	0.8270	18.00
194	0.8481	18.93
195	0.9051	21.56
196	0.9281	22.67
197	0.8400	18.57
198	0.8122	17.36
199	0.9124	21.91
200	0.9217	22.36
201	0.8592	19.43
202	0.8042	17.02
203	0.8157	17.51
204	0.8461	18.84
205	0.8866	20.69
206	0.9170	22.13
207	0.8228	17.82
208	0.8208	17.73
209	0.8013	16.90
210	0.7816	16.08
211	0.8795	20.36
212	0.8823	20.49
213	1.0648	29.84
214	1.2712	42.53
215	1.2545	41.42
