# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6tly_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3908	50.91
2	1.3757	49.81
3	1.3818	50.25
4	1.3972	51.38
5	1.4035	51.84
6	1.3961	51.30
7	1.3600	48.68
8	1.3006	44.52
9	1.1648	35.71
10	0.9912	25.86
11	0.9285	22.69
12	0.9371	23.11
13	0.9391	23.21
14	1.0132	27.02
15	0.9591	24.21
16	0.9985	26.24
17	1.0012	26.38
18	1.0157	27.15
19	1.0087	26.78
20	1.0248	27.64
21	1.0685	30.05
22	1.1594	35.38
23	1.2117	38.64
24	1.1959	37.64
25	1.1833	36.85
26	1.1710	36.09
27	1.1813	36.73
28	1.2021	38.03
29	1.1339	33.84
30	1.0004	26.34
31	0.9262	22.58
32	0.9086	21.73
33	0.8638	19.64
34	0.9176	22.16
35	0.9593	24.22
36	1.0121	26.96
37	1.0147	27.10
38	0.9567	24.09
39	0.9497	23.74
40	0.9656	24.54
41	0.9805	25.30
42	0.9760	25.07
43	1.0134	27.03
44	1.0883	31.17
45	1.1006	31.88
46	1.0402	28.48
47	0.9797	25.26
48	0.9577	24.14
49	0.9507	23.79
50	0.9107	21.83
51	0.8845	20.59
52	0.8905	20.87
53	0.9256	22.55
54	1.0046	26.56
55	0.9461	23.56
56	0.9387	23.19
57	0.8890	20.80
58	0.8737	20.09
59	0.8704	19.94
60	0.8627	19.59
61	0.8834	20.54
62	0.9338	22.95
63	0.9994	26.29
64	0.9812	25.34
65	0.9926	25.93
66	1.0342	28.15
67	1.0744	30.38
68	1.0945	31.53
69	1.1128	32.59
70	1.0970	31.67
71	1.0486	28.94
72	0.9750	25.02
73	0.9465	23.58
74	0.9421	23.36
75	0.8774	20.26
76	0.8971	21.18
77	0.9250	22.52
78	0.9824	25.40
79	1.0373	28.32
80	1.0576	29.44
81	1.0287	27.85
82	0.9805	25.30
83	0.9275	22.64
84	0.9002	21.33
85	0.8983	21.24
86	0.8845	20.59
87	0.8804	20.40
88	0.9505	23.78
89	0.9228	22.41
90	0.8956	21.11
91	0.9479	23.65
92	1.0490	28.96
93	1.0013	26.39
94	1.0377	28.34
95	1.0902	31.28
96	1.0510	29.07
97	1.0237	27.58
98	1.1004	31.87
99	1.1502	34.82
100	1.2330	40.01
101	1.3122	45.32
