# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6uof_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0818	30.80
2	1.0446	28.72
3	0.8854	20.63
4	0.7951	16.64
5	0.7537	14.95
6	0.7923	16.52
7	0.8084	17.20
8	0.7682	15.53
9	0.7430	14.53
10	0.7306	14.05
11	0.7143	13.43
12	0.7170	13.53
13	0.7322	14.11
14	0.7319	14.10
15	0.7270	13.91
16	0.7696	15.59
17	0.7379	14.33
18	0.7033	13.02
19	0.7012	12.94
20	0.6616	11.52
21	0.7117	13.33
22	0.7162	13.50
23	0.7539	14.96
24	0.7544	14.98
25	0.7491	14.77
26	0.7445	14.59
27	0.7312	14.07
28	0.8117	17.34
29	0.7726	15.71
30	0.7186	13.59
31	0.7684	15.54
32	0.8336	18.29
33	0.7456	14.63
34	0.7422	14.50
35	0.8198	17.69
36	0.8231	17.83
37	0.8224	17.80
38	0.7399	14.41
39	0.7622	15.29
40	0.7575	15.10
41	0.7481	14.73
42	0.7417	14.48
43	0.6979	12.82
44	0.6415	10.83
45	0.6298	10.44
46	0.6256	10.30
47	0.6509	11.15
48	0.6716	11.87
49	0.7082	13.20
50	0.7384	14.35
51	0.6914	12.58
52	0.6713	11.86
53	0.6702	11.82
54	0.6741	11.96
55	0.6633	11.58
56	0.6596	11.45
57	0.6735	11.94
58	0.7252	13.84
59	0.8281	18.05
60	0.7915	16.49
61	0.7923	16.52
62	0.8715	19.99
63	0.8791	20.34
64	0.8075	17.16
65	0.8161	17.53
66	0.8196	17.68
67	0.8056	17.08
68	0.7802	16.02
69	0.7809	16.05
70	0.7422	14.50
71	0.7122	13.35
72	0.7050	13.08
73	0.7366	14.28
74	0.7704	15.62
75	0.7674	15.50
76	0.7672	15.49
77	0.7620	15.28
78	0.7726	15.71
79	0.8279	18.04
80	0.8636	19.63
81	0.8654	19.71
82	0.8077	17.17
83	0.7875	16.32
84	0.7552	15.01
85	0.7642	15.37
86	0.7855	16.24
87	0.8133	17.41
88	0.8154	17.50
89	0.8898	20.84
90	0.8601	19.47
91	0.9151	22.04
92	0.9076	21.68
93	0.7850	16.22
94	0.7691	15.57
95	0.7590	15.16
96	0.7966	16.70
97	0.7903	16.44
98	0.7532	14.93
99	0.7212	13.69
100	0.7677	15.51
101	0.8098	17.26
102	0.8336	18.29
103	0.7327	14.13
104	0.7445	14.59
105	0.7314	14.08
106	0.6955	12.73
107	0.6735	11.94
108	0.6693	11.79
109	0.6968	12.78
110	0.7392	14.38
111	0.7841	16.18
112	0.7669	15.48
113	0.7202	13.65
114	0.6927	12.63
115	0.6667	11.70
116	0.6856	12.37
117	0.6820	12.24
118	0.6764	12.04
119	0.7207	13.67
120	0.6987	12.85
121	0.7066	13.14
122	0.8020	16.93
123	0.7768	15.88
124	0.7903	16.44
125	0.9682	24.67
126	1.0793	30.66
