# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6vjg_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.4145	52.66
2	1.3041	44.76
3	1.1666	35.82
4	1.1708	36.08
5	1.1040	32.08
6	1.1900	37.27
7	1.2311	39.89
8	1.2645	42.08
9	1.2305	39.85
10	1.2054	38.24
11	1.0816	30.79
12	1.0479	28.90
13	1.0724	30.27
14	1.0444	28.71
15	1.1011	31.91
16	1.0900	31.27
17	1.2327	39.99
18	1.3419	47.39
19	1.5936	66.84
20	1.6193	69.01
21	1.5431	62.67
22	1.4252	53.46
23	1.2195	39.14
24	1.1594	35.38
25	1.2495	41.09
26	1.3180	45.72
27	1.1169	32.83
28	1.4731	57.11
29	1.4574	55.90
30	1.3710	49.47
31	1.4012	51.67
32	1.3102	45.18
33	1.2316	39.92
34	1.2455	40.83
35	1.1368	34.01
36	1.2527	41.30
37	1.2625	41.95
38	1.2611	41.86
39	1.1700	36.03
40	1.0515	29.10
41	1.0233	27.56
42	0.9832	25.44
43	1.0082	26.75
44	1.0510	29.07
45	1.1157	32.76
46	1.2804	43.15
47	1.1781	36.53
48	1.2439	40.72
49	1.0019	26.42
50	0.9862	25.60
51	0.9658	24.55
52	0.9589	24.20
53	0.9172	22.14
54	0.8429	18.70
55	0.9889	25.74
56	0.8862	20.67
57	0.9269	22.61
58	0.9393	23.22
59	1.0138	27.05
60	0.9752	25.03
61	1.1196	32.99
62	1.0783	30.60
63	1.0558	29.34
64	0.9762	25.08
65	0.9283	22.68
66	0.9839	25.48
67	1.0130	27.01
68	1.1280	33.49
69	1.2018	38.01
70	1.3871	50.64
71	1.4691	56.80
72	1.3258	46.26
73	1.2153	38.87
74	1.0935	31.47
75	1.0183	27.29
76	0.8676	19.81
77	0.9055	21.58
78	0.9479	23.65
79	1.0305	27.95
80	1.1301	33.61
81	1.1666	35.82
82	1.4634	56.36
83	1.2077	38.39
84	1.1421	34.33
85	0.9916	25.88
86	0.9835	25.46
87	1.1433	34.40
88	1.0651	29.86
89	1.1021	31.97
90	1.3964	51.32
91	1.3516	48.08
92	1.5523	63.42
93	1.6074	68.00
94	1.7762	83.03
95	1.7304	78.81
96	1.5829	65.94
97	1.6428	71.03
98	1.7279	78.58
99	1.5174	60.60
100	1.3753	49.78
101	1.2559	41.51
102	1.2416	40.57
103	1.3461	47.69
104	1.4768	57.40
