# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6ypi_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5400	62.42
2	1.4062	52.04
3	1.1472	34.64
4	1.0828	30.86
5	1.1584	35.32
6	0.9834	25.45
7	0.9287	22.70
8	1.0059	26.63
9	1.0333	28.10
10	1.0331	28.09
11	0.9369	23.10
12	0.9393	23.22
13	0.9640	24.46
14	1.0412	28.53
15	0.9563	24.07
16	0.9563	24.07
17	1.0198	27.37
18	1.0816	30.79
19	1.0298	27.91
20	1.0253	27.67
21	1.0952	31.57
22	0.9830	25.43
23	0.9727	24.90
24	0.9481	23.66
25	0.9493	23.72
26	0.9591	24.21
27	0.9084	21.72
28	0.9793	25.24
29	0.8950	21.08
30	0.9299	22.76
31	0.9285	22.69
32	0.9383	23.17
33	0.8667	19.77
34	0.9320	22.86
35	0.8964	21.15
36	0.8879	20.75
37	0.9356	23.04
38	0.9178	22.17
39	1.0294	27.89
40	0.9519	23.85
41	0.9941	26.01
42	1.0970	31.67
43	1.0419	28.57
44	1.0415	28.55
45	1.0042	26.54
46	1.1678	35.89
47	1.4345	54.16
48	1.3809	50.19
49	0.9805	25.30
50	0.9242	22.48
51	0.8411	18.62
52	0.8971	21.18
53	0.9045	21.53
54	0.8973	21.19
55	0.8178	17.60
56	0.8836	20.55
57	0.8115	17.33
58	0.8858	20.65
59	0.8350	18.35
60	0.8226	17.81
61	0.8171	17.57
62	0.8361	18.40
63	0.8599	19.46
64	0.8834	20.54
65	0.8871	20.71
66	0.8382	18.49
67	0.9009	21.36
68	0.9445	23.48
69	0.9301	22.77
70	0.9725	24.89
71	0.9192	22.24
72	0.8791	20.34
73	0.8935	21.01
74	0.8663	19.75
75	0.8616	19.54
76	0.9425	23.38
77	0.9421	23.36
78	0.9415	23.33
79	0.8741	20.11
80	0.8922	20.95
81	0.8958	21.12
82	0.9607	24.29
83	0.9613	24.32
84	0.9009	21.36
85	0.8860	20.66
86	0.9128	21.93
87	0.9489	23.70
88	0.8798	20.37
89	0.8748	20.14
90	0.8743	20.12
91	0.9137	21.97
92	0.8774	20.26
93	0.8793	20.35
94	0.8689	19.87
95	0.8407	18.60
96	0.9433	23.42
97	0.9613	24.32
98	1.4353	54.22
