# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 6zsl_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.6675	73.18
2	1.4808	57.71
3	1.6896	75.13
4	1.7097	76.93
5	1.5383	62.28
6	1.6022	67.56
7	1.7152	77.43
8	1.7464	80.27
9	1.6463	71.33
10	1.6203	69.10
11	1.6260	69.58
12	1.5484	63.10
13	1.5908	66.60
14	1.5197	60.78
15	1.4672	56.66
16	1.3948	51.20
17	1.4102	52.34
18	1.3197	45.84
19	1.2168	38.97
20	1.3253	46.23
21	1.3131	45.38
22	1.3209	45.92
23	1.4630	56.33
24	1.5855	66.16
25	1.5824	65.90
26	1.4589	56.02
27	1.4579	55.94
28	1.4444	54.91
29	1.2681	42.32
30	1.3498	47.95
31	1.2893	43.75
32	1.3373	47.07
33	1.3355	46.94
34	1.3223	46.02
35	1.3253	46.23
36	1.3184	45.75
37	1.3028	44.67
38	1.1976	37.75
39	1.3516	48.08
40	1.3396	47.23
41	1.4559	55.79
42	1.5567	63.78
43	1.6445	71.18
44	1.7064	76.64
45	1.5856	66.17
46	1.5066	59.74
47	1.4582	55.96
48	1.4818	57.79
49	1.6013	67.49
50	1.7138	77.30
51	1.7429	79.95
52	1.9182	96.84
53	1.8430	89.40
54	1.8159	86.79
55	1.6793	74.22
56	1.5700	64.87
57	1.4799	57.64
58	1.3164	45.61
59	1.3368	47.03
60	1.3749	49.75
61	1.3610	48.75
62	1.4024	51.76
63	1.4966	58.95
64	1.4833	57.91
65	1.6349	70.35
66	1.8451	89.60
67	1.7838	83.75
68	1.7696	82.42
69	1.6064	67.92
70	1.5588	63.95
71	1.4152	52.71
72	1.3703	49.42
73	1.4640	56.41
74	1.5993	67.32
75	1.5824	65.90
76	1.5425	62.62
77	1.5219	60.96
78	1.4956	58.87
79	1.4111	52.41
80	1.4030	51.81
81	1.3899	50.84
82	1.4613	56.20
83	1.5192	60.74
84	1.4251	53.45
85	1.4142	52.64
86	1.4897	58.41
87	1.3964	51.32
88	1.4589	56.02
89	1.6303	69.95
90	1.6879	74.98
91	1.7414	79.81
92	1.8119	86.40
93	1.8189	87.07
94	1.8752	92.55
95	1.8677	91.81
96	1.7627	81.78
97	1.6139	68.55
98	1.6820	74.46
99	1.5418	62.56
100	1.7518	80.77
101	1.7102	76.98
102	1.4731	57.11
103	1.3840	50.41
104	1.3920	51.00
105	1.3182	45.73
106	1.2958	44.19
107	1.3209	45.92
108	1.2917	43.91
109	1.2006	37.94
110	1.2493	41.08
111	1.1568	35.22
112	1.2657	42.16
113	1.4141	52.63
114	1.4579	55.94
115	1.3380	47.12
116	1.3177	45.70
117	1.3704	49.43
118	1.2300	39.82
119	1.2353	40.16
120	1.1064	32.22
121	1.1669	35.84
122	1.1830	36.83
123	1.2493	41.08
124	1.3952	51.23
125	1.3419	47.39
126	1.2914	43.89
127	1.3111	45.24
128	1.2834	43.35
129	1.2445	40.76
130	1.1107	32.47
131	1.1736	36.25
132	1.1881	37.15
133	1.2000	37.90
134	1.2571	41.59
135	1.2478	40.98
136	1.2391	40.41
137	1.1726	36.19
138	1.2866	43.57
139	1.1762	36.41
140	1.2522	41.27
141	1.2946	44.11
142	1.3502	47.98
143	1.3585	48.57
144	1.3654	49.07
145	1.4284	53.70
