# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7a66_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.2272	39.64
2	1.1474	34.65
3	1.0828	30.86
4	1.0954	31.58
5	1.0731	30.31
6	1.0455	28.77
7	1.0444	28.71
8	1.0685	30.05
9	1.1179	32.89
10	1.0694	30.10
11	1.1575	35.26
12	1.2154	38.88
13	1.1887	37.19
14	1.2911	43.87
15	1.3005	44.51
16	1.2691	42.39
17	1.2446	40.77
18	1.2139	38.78
19	1.1972	37.72
20	1.1887	37.19
21	1.1821	36.78
22	1.1297	33.59
23	1.1269	33.42
24	1.1140	32.66
25	1.0904	31.29
26	1.0987	31.77
27	1.1123	32.56
28	1.1419	34.32
29	1.1214	33.10
30	1.1978	37.76
31	1.1218	33.12
32	1.1052	32.15
33	1.1532	35.00
34	1.1842	36.91
35	1.1414	34.29
36	1.1916	37.37
37	1.2154	38.88
38	1.2044	38.18
39	1.2320	39.95
40	1.2262	39.57
41	1.1250	33.31
42	1.0897	31.25
43	1.0639	29.79
44	1.0239	27.59
45	1.0253	27.67
46	1.0795	30.67
47	1.1586	35.33
48	1.2110	38.60
49	1.2452	40.81
50	1.2269	39.62
51	1.1913	37.35
52	1.1143	32.68
53	1.0886	31.19
54	1.0519	29.12
55	1.0294	27.89
56	1.0464	28.82
57	1.0858	31.03
58	1.0982	31.74
59	1.1152	32.73
60	1.1129	32.60
61	1.1192	32.97
62	1.1094	32.39
63	1.1090	32.37
64	1.1131	32.61
65	1.1155	32.75
66	1.1131	32.61
67	1.1004	31.87
68	1.1138	32.65
69	1.0499	29.01
70	1.0634	29.76
71	1.0493	28.98
72	1.0555	29.32
73	1.0450	28.74
74	1.0712	30.20
75	1.0618	29.67
76	1.0616	29.66
77	1.0696	30.11
78	1.0916	31.36
79	1.1155	32.75
80	1.1094	32.39
81	1.1661	35.79
82	1.2385	40.37
83	1.3440	47.54
84	1.4657	56.54
85	1.9228	97.31
