# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7aqx_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.1189	32.95
2	1.0827	30.85
3	1.0856	31.02
4	1.0490	28.96
5	0.9672	24.62
6	0.9453	23.52
7	0.9373	23.12
8	0.9326	22.89
9	0.9230	22.42
10	0.8907	20.88
11	0.8830	20.52
12	0.8836	20.55
13	0.8465	18.86
14	0.8375	18.46
15	0.8528	19.14
16	0.8375	18.46
17	0.8543	19.21
18	0.8345	18.33
19	0.8656	19.72
20	0.8913	20.91
21	0.8238	17.86
22	0.8543	19.21
23	0.9091	21.75
24	0.8988	21.26
25	0.8420	18.66
26	0.8669	19.78
27	0.8774	20.26
28	0.8780	20.29
29	0.8407	18.60
30	0.8461	18.84
31	0.8864	20.68
32	0.8612	19.52
33	0.8503	19.03
34	0.8772	20.25
35	0.8610	19.51
36	0.8166	17.55
37	0.8808	20.42
38	0.8830	20.52
39	0.8592	19.43
40	0.8309	18.17
41	0.8483	18.94
42	0.8886	20.78
43	0.8398	18.56
44	0.8323	18.23
45	0.8497	19.00
46	0.8307	18.16
47	0.8409	18.61
48	0.8154	17.50
49	0.8210	17.74
50	0.8375	18.46
51	0.8302	18.14
52	0.8492	18.98
53	0.8572	19.34
54	0.8847	20.60
55	0.9213	22.34
56	0.9360	23.06
57	0.9652	24.52
58	1.1638	35.65
59	1.1317	33.71
60	1.0607	29.61
61	1.0703	30.15
62	1.0276	27.79
63	0.9629	24.40
64	0.9495	23.73
65	0.9215	22.35
66	0.8877	20.74
67	0.8691	19.88
68	0.8817	20.46
69	0.8698	19.91
70	0.8532	19.16
71	0.8728	20.05
72	0.8505	19.04
73	0.8463	18.85
74	0.8671	19.79
75	0.8572	19.34
76	0.8821	20.48
77	0.8479	18.92
78	0.8537	19.18
79	0.8610	19.51
80	0.8634	19.62
81	0.8332	18.27
82	0.8795	20.36
83	0.8935	21.01
84	0.8806	20.41
85	0.8894	20.82
86	0.9269	22.61
87	0.9151	22.04
88	0.8682	19.84
89	0.8871	20.71
90	0.9155	22.06
91	0.8860	20.66
92	0.8505	19.04
93	0.8647	19.68
94	0.8411	18.62
95	0.8157	17.51
96	0.8386	18.51
97	0.8042	17.02
98	0.8166	17.55
99	0.8293	18.10
100	0.8272	18.01
101	0.8096	17.25
102	0.8084	17.20
103	0.7872	16.31
104	0.8096	17.25
105	0.8247	17.90
106	0.8228	17.82
107	0.8281	18.05
108	0.8265	17.98
109	0.8268	17.99
110	0.8215	17.76
111	0.8830	20.52
112	0.8851	20.62
113	0.8756	20.18
114	0.8875	20.73
115	0.9397	23.24
116	0.9537	23.94
117	0.9820	25.38
118	1.0329	28.08
119	1.0351	28.20
120	1.0662	29.92
121	1.0846	30.96
122	1.0114	26.92
123	0.9733	24.93
124	0.9621	24.36
125	0.9277	22.65
126	0.9497	23.74
127	1.0042	26.54
128	1.0404	28.49
129	1.0740	30.36
130	1.0865	31.07
131	1.1104	32.45
132	1.0728	30.29
133	1.0023	26.44
134	1.0151	27.12
135	1.0977	31.71
136	1.1398	34.19
137	1.1715	36.12
138	1.2266	39.60
139	1.1214	33.10
140	1.0533	29.20
141	0.9880	25.69
142	1.1252	33.32
143	1.1153	32.74
144	0.9968	26.15
145	0.9344	22.98
146	0.9141	21.99
147	0.9364	23.08
148	0.9028	21.45
149	0.9151	22.04
