# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7asg_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.7319	78.94
2	1.8778	92.80
3	2.2114	128.71
4	1.9176	96.78
5	1.7099	76.95
6	1.8493	90.01
7	1.7420	79.87
8	1.9371	98.76
9	1.7923	84.55
10	1.8707	92.10
11	2.0798	113.84
12	2.2039	127.84
13	2.0557	111.22
14	1.7325	79.00
15	1.6481	71.49
16	1.6120	68.39
17	1.6208	69.14
18	1.6255	69.54
19	2.3362	143.64
20	1.8945	94.46
21	2.1973	127.07
22	2.2750	136.22
23	2.5476	170.82
24	2.2166	129.31
25	2.1858	125.74
26	2.0777	113.61
27	1.9450	99.57
28	1.6800	74.28
29	1.6464	71.34
30	1.7316	78.92
31	1.7274	78.53
32	1.7723	82.67
33	1.7518	80.77
34	1.8997	94.98
35	1.7789	83.29
36	1.8722	92.25
37	1.8188	87.06
38	1.9515	100.23
39	1.8557	90.63
40	1.7888	84.22
41	1.9286	97.89
42	1.6996	76.03
43	1.7615	81.66
44	2.0055	105.86
45	2.0379	109.30
46	2.2684	135.43
47	2.2717	135.82
48	2.2770	136.46
49	2.0702	112.80
50	2.0787	113.72
51	2.0346	108.95
52	1.9048	95.49
53	1.8969	94.70
54	1.8345	88.57
55	1.7637	81.87
56	1.5823	65.89
57	1.4053	51.98
58	1.3228	46.05
59	1.2325	39.98
60	1.2592	41.73
61	1.1980	37.77
62	1.2161	38.92
63	1.3467	47.73
64	1.2493	41.08
65	1.2235	39.40
66	1.2474	40.95
67	1.2469	40.92
68	1.2699	42.44
69	1.2279	39.68
70	1.2060	38.28
71	1.2168	38.97
72	1.1629	35.59
73	1.1759	36.39
74	1.2024	38.05
75	1.1537	35.03
76	1.1155	32.75
77	1.1715	36.12
78	1.2510	41.19
79	1.2334	40.04
80	1.2899	43.79
81	1.7384	79.54
82	1.6253	69.52
83	1.3242	46.15
84	1.2557	41.50
85	1.2667	42.23
86	1.3305	46.59
87	1.1858	37.01
88	1.2830	43.32
89	1.2670	42.25
90	1.1755	36.37
91	1.2627	41.96
92	1.2033	38.11
93	1.1994	37.86
94	1.1231	33.20
95	1.0964	31.64
96	1.1637	35.64
97	1.1956	37.62
98	1.1857	37.00
99	1.1905	37.30
100	1.2325	39.98
101	1.3402	47.27
102	1.1630	35.60
103	1.2196	39.15
104	1.2850	43.46
105	1.4946	58.79
106	1.5022	59.39
107	1.6799	74.27
108	1.7147	77.38
109	1.7838	83.75
110	1.5912	66.64
111	1.4299	53.81
112	1.6940	75.53
113	1.5885	66.41
114	1.3688	49.31
115	1.3949	51.21
116	1.5856	66.17
117	1.3990	51.51
118	1.4009	51.65
119	1.2598	41.77
120	1.3470	47.75
121	1.3298	46.54
122	1.2501	41.13
123	1.1543	35.07
124	1.2125	38.69
125	1.1776	36.50
126	1.1686	35.94
127	1.1797	36.63
128	1.1858	37.01
129	1.1341	33.85
130	1.2252	39.51
131	1.1691	35.97
132	1.1935	37.49
133	1.2628	41.97
134	1.2348	40.13
135	1.2399	40.46
136	1.2676	42.29
137	1.3385	47.15
138	1.7559	81.15
139	1.4705	56.91
140	1.4140	52.62
141	1.5802	65.72
142	1.4716	57.00
143	1.4667	56.62
144	1.5376	62.22
145	1.4333	54.07
146	1.3462	47.70
147	1.2696	42.42
148	1.1862	37.03
149	1.2383	40.36
150	1.2204	39.20
151	1.4344	54.15
152	1.4289	53.74
153	1.2906	43.84
154	1.2469	40.92
155	1.2475	40.96
156	1.3775	49.94
157	1.2449	40.79
158	1.3406	47.30
159	1.4265	53.56
160	1.4325	54.01
161	1.4502	55.35
162	1.5824	65.90
163	1.5114	60.12
164	1.5162	60.50
165	1.3050	44.82
166	1.3040	44.75
167	1.2373	40.29
168	1.1980	37.77
169	1.2528	41.31
170	1.1844	36.92
171	1.2187	39.09
172	1.3089	45.09
173	1.2804	43.15
174	1.3058	44.88
175	1.2791	43.06
176	1.3229	46.06
177	1.3239	46.13
178	1.2966	44.25
179	1.2651	42.12
180	1.2583	41.67
181	1.2282	39.70
182	1.2223	39.32
183	1.2269	39.62
184	1.2240	39.43
185	1.2240	39.43
186	1.2406	40.51
187	1.2185	39.08
188	1.2368	40.26
189	1.2834	43.35
190	1.2425	40.63
191	1.1746	36.31
192	1.2360	40.21
193	1.1898	37.26
194	1.2664	42.21
195	1.3502	47.98
196	1.2894	43.76
197	1.2607	41.83
198	1.1873	37.10
199	1.2542	41.40
200	1.2693	42.40
201	1.2099	38.53
202	1.3038	44.74
203	1.4161	52.78
204	1.4082	52.19
205	1.4385	54.46
206	1.4121	52.48
207	1.3012	44.56
208	1.3199	45.85
209	1.4089	52.24
210	1.2566	41.56
211	1.2098	38.52
212	1.2435	40.70
213	1.2934	44.03
214	1.2373	40.29
215	1.2316	39.92
216	1.3322	46.71
217	1.3038	44.74
218	1.3323	46.72
219	1.3186	45.76
220	1.3404	47.29
221	1.4398	54.56
222	1.5045	59.57
223	1.5332	61.87
224	1.3660	49.11
225	1.4527	55.54
226	1.3818	50.25
227	1.6967	75.77
228	1.6354	70.39
229	1.6893	75.11
230	1.3370	47.05
231	1.2815	43.22
232	1.2248	39.48
233	1.2279	39.68
234	1.1557	35.15
235	1.1632	35.61
236	1.1898	37.26
237	1.2708	42.50
238	1.3360	46.98
239	1.2702	42.46
240	1.2237	39.41
241	1.2509	41.18
242	1.2405	40.50
243	1.2027	38.07
244	1.3568	48.45
245	1.3147	45.49
246	1.4983	59.08
247	1.3780	49.98
248	1.2819	43.25
249	1.2460	40.86
250	1.2613	41.87
251	1.2843	43.41
252	1.2642	42.06
253	1.2890	43.73
254	1.3171	45.66
255	1.3555	48.36
256	1.4260	53.52
257	1.2305	39.85
258	1.2448	40.78
259	1.3144	45.47
260	1.2351	40.15
261	1.1976	37.75
262	1.1865	37.05
263	1.1940	37.52
264	1.1862	37.03
265	1.1634	35.62
266	1.2151	38.86
267	1.2610	41.85
268	1.5217	60.94
269	1.4854	58.07
270	1.4216	53.19
271	1.4957	58.88
272	1.4253	53.47
273	1.2631	41.99
274	1.4660	56.56
