# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7buy_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.0997	31.83
2	1.1270	33.43
3	1.1106	32.46
4	0.9693	24.73
5	1.0675	29.99
6	0.9605	24.28
7	0.9593	24.22
8	0.9260	22.57
9	1.0029	26.47
10	0.9688	24.70
11	0.9773	25.14
12	0.9808	25.32
13	1.0700	30.13
14	0.9543	23.97
15	1.1121	32.55
16	1.0190	27.33
17	0.9912	25.86
18	1.0364	28.27
19	1.1451	34.51
20	1.0956	31.59
21	1.1839	36.89
22	1.1133	32.62
23	1.2838	43.38
24	1.3458	47.67
25	1.2649	42.11
26	1.1419	34.32
27	1.0149	27.11
28	0.9597	24.24
29	1.0170	27.22
30	1.0055	26.61
31	1.0779	30.58
32	0.9994	26.29
33	1.1080	32.31
34	1.1023	31.98
35	0.9907	25.83
36	1.0322	28.04
37	0.9199	22.27
38	0.9822	25.39
39	0.9279	22.66
40	0.9174	22.15
41	1.0884	31.18
42	1.0401	28.47
43	1.0685	30.05
44	1.2575	41.62
45	1.6452	71.24
46	1.7725	82.69
47	1.7890	84.23
48	1.7243	78.25
49	1.6748	73.82
50	1.6910	75.26
51	1.5724	65.07
52	1.3933	51.09
53	1.1535	35.02
54	1.1112	32.50
55	1.1489	34.74
56	1.3019	44.61
57	1.1838	36.88
58	1.0483	28.92
59	1.1742	36.29
60	1.0733	30.32
61	1.1332	33.80
62	1.2795	43.09
63	1.1650	35.72
64	1.3111	45.24
65	1.2146	38.83
66	1.2055	38.25
67	1.2156	38.89
68	1.1584	35.32
69	1.2664	42.21
70	1.1678	35.89
71	1.4091	52.26
72	1.7120	77.14
73	1.4141	52.63
74	1.4423	54.75
75	1.2074	38.37
76	1.3299	46.55
77	1.1602	35.43
78	1.2135	38.76
79	1.1264	33.39
80	1.2135	38.76
81	1.0160	27.17
82	1.0767	30.51
83	1.1524	34.95
84	0.9246	22.50
85	0.9389	23.20
86	0.9028	21.45
87	1.0455	28.77
88	1.0059	26.63
89	1.0140	27.06
90	1.1260	33.37
91	1.1088	32.36
92	1.3419	47.39
93	1.3124	45.33
94	1.1797	36.63
95	1.1311	33.67
96	1.1586	35.33
97	1.0987	31.77
98	1.1167	32.82
99	1.0443	28.70
100	1.0830	30.87
101	0.9861	25.59
102	0.9591	24.21
103	0.8849	20.61
104	0.9019	21.41
105	0.7858	16.25
106	0.9128	21.93
107	0.9855	25.56
108	0.9943	26.02
109	1.0268	27.75
110	0.9295	22.74
111	0.9170	22.13
112	0.9217	22.36
113	0.9487	23.69
114	0.8643	19.66
115	0.9433	23.42
116	0.9705	24.79
117	1.0296	27.90
118	1.1112	32.50
119	1.1809	36.70
120	1.0281	27.82
121	1.0926	31.42
122	1.0898	31.26
123	1.0190	27.33
124	0.9699	24.76
125	0.9310	22.81
126	0.8888	20.79
127	0.9841	25.49
128	1.1383	34.10
129	0.9417	23.34
130	0.8937	21.02
131	0.9348	23.00
132	0.9505	23.78
133	0.9287	22.70
134	0.9348	23.00
135	0.8550	19.24
136	0.9271	22.62
137	1.0188	27.32
138	0.9369	23.10
139	0.9912	25.86
140	1.0093	26.81
141	1.0721	30.25
142	1.2030	38.09
143	1.0544	29.26
144	1.0074	26.71
145	1.0511	29.08
146	0.9411	23.31
147	0.9477	23.64
148	0.8554	19.26
149	0.8572	19.34
150	0.8930	20.99
151	0.9491	23.71
152	0.9918	25.89
153	1.3430	47.47
154	1.3359	46.97
155	1.2713	42.54
156	1.0399	28.46
157	0.9690	24.71
158	0.8759	20.19
159	0.8804	20.40
160	0.9937	25.99
161	0.8761	20.20
162	0.8772	20.25
163	0.8913	20.91
164	0.9285	22.69
165	1.0095	26.82
166	0.9779	25.17
167	1.0540	29.24
168	1.2123	38.68
169	1.1638	35.65
170	1.1532	35.00
171	1.0214	27.46
172	0.9232	22.43
173	0.8769	20.24
174	0.8986	21.25
175	0.8605	19.49
176	0.8579	19.37
177	0.8866	20.69
178	1.0240	27.60
179	0.9356	23.04
180	0.8981	21.23
181	0.8735	20.08
182	0.8352	18.36
183	0.9103	21.81
184	0.9962	26.12
185	0.9232	22.43
186	0.9583	24.17
187	0.9597	24.24
188	1.2046	38.19
189	1.4277	53.65
190	1.2912	43.88
191	1.3282	46.43
192	1.1612	35.49
193	1.1037	32.06
194	1.2107	38.58
195	1.2054	38.24
196	1.1332	33.80
197	1.0325	28.06
198	1.0292	27.88
199	1.0074	26.71
200	0.9344	22.98
201	0.9803	25.29
202	0.9835	25.46
203	0.9141	21.99
204	0.9577	24.14
205	1.0630	29.74
206	0.9503	23.77
207	0.9130	21.94
208	0.9348	23.00
209	1.0078	26.73
210	0.9981	26.22
211	1.0303	27.94
212	1.1018	31.95
213	1.0731	30.31
214	1.0930	31.44
215	1.2226	39.34
216	1.1119	32.54
217	1.1968	37.70
218	1.1073	32.27
219	1.0923	31.40
220	1.0891	31.22
221	1.1762	36.41
222	1.3484	47.85
223	1.3464	47.71
224	1.4398	54.56
225	1.3791	50.06
226	1.4821	57.81
227	1.3673	49.20
228	1.3509	48.03
229	1.5209	60.88
230	1.3851	50.49
231	1.3268	46.33
232	1.3019	44.61
233	1.3954	51.25
234	1.3298	46.54
235	1.3613	48.77
236	1.3060	44.89
237	1.1863	37.04
238	1.2110	38.60
239	1.0544	29.26
240	1.1309	33.66
241	1.1850	36.96
242	1.2132	38.74
243	1.3223	46.02
244	1.2922	43.95
245	1.3252	46.22
246	1.2207	39.22
247	1.2010	37.96
248	1.2758	42.84
249	1.2159	38.91
250	1.2181	39.05
251	1.2687	42.36
252	1.3112	45.25
253	1.1396	34.18
254	1.2082	38.42
255	1.3195	45.82
256	1.2670	42.25
257	1.1426	34.36
258	1.3189	45.78
259	1.1749	36.33
260	1.3249	46.20
261	1.1752	36.35
262	1.1968	37.70
263	1.3321	46.70
264	1.1679	35.90
265	1.0983	31.75
266	1.1734	36.24
267	1.1681	35.91
268	1.0971	31.68
269	1.1682	35.92
270	1.3029	44.68
271	1.2051	38.22
272	1.2551	41.46
273	1.3537	48.23
