# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7bwf_B.pdb
# Chain: B
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5274	61.40
2	1.5461	62.91
3	1.1272	33.44
4	1.1106	32.46
5	1.1203	33.03
6	1.2170	38.98
7	1.6391	70.71
8	1.1248	33.30
9	1.2587	41.70
10	0.9981	26.22
11	1.0970	31.67
12	1.2226	39.34
13	1.2248	39.48
14	1.2204	39.20
15	1.2748	42.77
16	1.3276	46.39
17	1.2881	43.67
18	1.2115	38.63
19	1.2841	43.40
20	1.3634	48.92
21	1.2556	41.49
22	1.2528	41.31
23	1.4340	54.12
24	1.3883	50.73
25	1.0849	30.98
26	1.0945	31.53
27	1.3392	47.20
28	1.2018	38.01
29	0.9695	24.74
30	1.1189	32.95
31	1.2212	39.25
32	1.1650	35.72
33	1.0779	30.58
34	1.2179	39.04
35	1.0390	28.41
36	0.9623	24.37
37	0.9758	25.06
38	1.1150	32.72
39	1.2939	44.06
40	1.4600	56.10
41	1.6481	71.49
42	1.3076	45.00
43	1.3246	46.18
44	1.4808	57.71
45	1.0978	31.72
46	1.0539	29.23
47	0.9521	23.86
48	0.9358	23.05
49	0.8391	18.53
50	0.9431	23.41
51	1.0488	28.95
52	0.9024	21.43
53	0.9455	23.53
54	0.9960	26.11
55	0.9872	25.65
56	0.9367	23.09
57	0.9287	22.70
58	0.9279	22.66
59	0.8879	20.75
60	0.9861	25.59
61	0.9953	26.07
62	0.9389	23.20
63	1.0261	27.71
64	1.0357	28.23
65	1.1467	34.61
66	1.0804	30.72
67	1.0625	29.71
68	1.0265	27.73
69	0.9979	26.21
70	1.1260	33.37
71	0.9481	23.66
72	0.9911	25.85
73	0.9379	23.15
74	1.1852	36.97
75	1.1591	35.36
76	1.0978	31.72
77	0.9491	23.71
78	1.1560	35.17
79	1.0592	29.53
80	1.0366	28.28
81	1.0809	30.75
82	1.1337	33.83
83	1.3845	50.45
84	1.2605	41.82
85	1.3920	51.00
86	1.2849	43.45
87	1.0740	30.36
88	1.3478	47.81
89	1.3376	47.09
90	1.3953	51.24
91	1.5507	63.29
92	1.5512	63.33
