# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7c45_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.2088	38.46
2	1.1384	34.11
3	1.1285	33.52
4	1.1363	33.98
5	1.0364	28.27
6	0.9658	24.55
7	0.8597	19.45
8	0.9603	24.27
9	0.8265	17.98
10	0.8318	18.21
11	0.9549	24.00
12	0.8377	18.47
13	0.8438	18.74
14	0.8171	17.57
15	0.8320	18.22
16	0.8039	17.01
17	0.7884	16.36
18	0.7908	16.46
19	0.8098	17.26
20	0.8370	18.44
21	0.9373	23.12
22	0.8096	17.25
23	0.7848	16.21
24	0.8016	16.91
25	0.8198	17.69
26	0.7963	16.69
27	0.7882	16.35
28	0.8279	18.04
29	0.8201	17.70
30	0.7942	16.60
31	0.9356	23.04
32	0.8373	18.45
33	0.8150	17.48
34	0.8159	17.52
35	0.7853	16.23
36	0.7644	15.38
37	0.7494	14.78
38	0.7358	14.25
39	0.7319	14.10
40	0.7338	14.17
41	0.7491	14.77
42	0.7557	15.03
43	0.8297	18.12
44	0.8404	18.59
45	0.9543	23.97
46	1.1637	35.64
47	1.1857	37.00
48	1.1364	33.99
49	1.2279	39.68
50	1.0205	27.41
51	0.8295	18.11
52	0.7966	16.70
53	0.7672	15.49
54	0.7625	15.30
55	0.7468	14.68
56	0.7592	15.17
57	0.7524	14.90
58	0.7402	14.42
59	0.7486	14.75
60	0.7552	15.01
61	0.7731	15.73
62	0.7877	16.33
63	0.8537	19.18
64	0.8336	18.29
65	0.8379	18.48
66	0.8413	18.63
67	0.8203	17.71
68	0.7913	16.48
69	0.7804	16.03
70	0.7721	15.69
71	0.7602	15.21
72	0.7677	15.51
73	0.7527	14.91
74	0.7672	15.49
75	0.7804	16.03
76	0.7677	15.51
77	0.7582	15.13
78	0.7463	14.66
79	0.7529	14.92
80	0.7582	15.13
81	0.7592	15.17
82	0.7644	15.38
83	0.8352	18.36
84	0.9709	24.81
85	0.7891	16.39
86	0.7572	15.09
87	0.7797	16.00
88	0.7751	15.81
89	0.8772	20.25
90	0.8434	18.72
91	0.8436	18.73
92	0.9449	23.50
93	0.9876	25.67
94	0.7951	16.64
95	0.7760	15.85
96	0.7514	14.86
97	0.7430	14.53
98	0.7288	13.98
99	0.7265	13.89
100	0.7238	13.79
101	0.7244	13.81
102	0.7306	14.05
103	0.7484	14.74
104	0.7257	13.86
105	0.7304	14.04
106	0.7394	14.39
107	0.7358	14.25
108	0.7322	14.11
109	0.7445	14.59
110	0.7522	14.89
111	0.8025	16.95
112	0.7407	14.44
113	0.7514	14.86
114	0.7694	15.58
115	0.8119	17.35
116	0.8467	18.87
117	0.7696	15.59
118	0.7949	16.63
119	0.8018	16.92
120	0.7486	14.75
121	0.7335	14.16
