# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7dmn_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3868	50.62
2	1.1593	35.37
3	0.9491	23.71
4	0.8131	17.40
5	0.8009	16.88
6	0.7853	16.23
7	0.8943	21.05
8	0.8445	18.77
9	0.8821	20.48
10	0.9053	21.57
11	0.9449	23.50
12	1.0053	26.60
13	1.0335	28.11
14	1.1138	32.65
15	1.2362	40.22
16	1.3503	47.99
17	1.4675	56.68
18	1.3664	49.14
19	1.1682	35.92
20	1.0827	30.85
21	0.9870	25.64
22	0.9553	24.02
23	0.9678	24.65
24	0.8693	19.89
25	0.8660	19.74
26	0.7496	14.79
27	0.7466	14.67
28	0.7435	14.55
29	0.7071	13.16
30	0.7392	14.38
31	0.7106	13.29
32	0.7058	13.11
33	0.7117	13.33
34	0.6864	12.40
35	0.6842	12.32
36	0.7848	16.21
37	0.9207	22.31
38	1.0102	26.86
39	1.2843	43.41
40	1.2359	40.20
41	1.2906	43.84
42	1.1702	36.04
43	1.0961	31.62
44	0.9475	23.63
45	0.8583	19.39
46	0.7249	13.83
47	0.7262	13.88
48	0.6558	11.32
49	0.6192	10.09
50	0.5916	9.21
51	0.5883	9.11
52	0.6024	9.55
53	0.6235	10.23
54	0.6444	10.93
55	0.7358	14.25
56	0.7765	15.87
57	0.8082	17.19
58	0.7765	15.87
59	0.7557	15.03
60	0.7162	13.50
61	0.6925	12.62
62	0.6822	12.25
63	0.6301	10.45
64	0.6244	10.26
65	0.6343	10.59
66	0.7125	13.36
67	0.7760	15.85
68	0.9240	22.47
69	1.1075	32.28
70	1.1767	36.44
71	1.3524	48.14
72	1.1494	34.77
73	1.1095	32.40
74	1.2285	39.72
75	1.3022	44.63
76	1.0786	30.62
77	0.9509	23.80
78	0.8309	18.17
79	0.8175	17.59
80	0.7726	15.71
81	0.7539	14.96
82	0.7071	13.16
83	0.7138	13.41
84	0.7399	14.41
85	0.7286	13.97
86	0.7175	13.55
87	0.7512	14.85
88	0.8386	18.51
89	0.8194	17.67
90	0.8490	18.97
91	0.7637	15.35
92	0.7468	14.68
93	0.7985	16.78
94	0.8044	17.03
95	0.8249	17.91
96	0.8030	16.97
97	0.9103	21.81
98	0.8313	18.19
99	0.8494	18.99
100	0.8603	19.48
101	0.7935	16.57
102	0.7889	16.38
103	0.7647	15.39
104	0.8129	17.39
105	0.7956	16.66
106	0.8778	20.28
107	0.9839	25.48
108	0.9573	24.12
109	0.8901	20.85
110	0.8420	18.66
111	0.7534	14.94
112	0.8219	17.78
113	0.7848	16.21
114	0.7913	16.48
