# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7e2s_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.4211	53.15
2	1.3176	45.69
3	1.1548	35.10
4	1.0125	26.98
5	0.8341	18.31
6	0.8510	19.06
7	0.8086	17.21
8	0.7627	15.31
9	0.7539	14.96
10	0.7529	14.92
11	0.7228	13.75
12	0.7322	14.11
13	0.7714	15.66
14	0.7792	15.98
15	0.8240	17.87
16	0.7746	15.79
17	0.8108	17.30
18	0.7961	16.68
19	0.7338	14.17
20	0.7181	13.57
21	0.7374	14.31
22	0.7196	13.63
23	0.7101	13.27
24	0.7060	13.12
25	0.7314	14.08
26	0.7509	14.84
27	0.7170	13.53
28	0.7517	14.87
29	0.8869	20.70
30	0.8505	19.04
31	0.8761	20.20
32	0.8228	17.82
33	0.7970	16.72
34	0.7312	14.07
35	0.7353	14.23
36	0.7412	14.46
37	0.7052	13.09
38	0.6985	12.84
39	0.7162	13.50
40	0.7151	13.46
41	0.7463	14.66
42	0.8275	18.02
43	0.8235	17.85
44	0.7748	15.80
45	0.7662	15.45
46	0.7719	15.68
47	0.7577	15.11
48	0.7463	14.66
49	0.8594	19.44
50	0.8603	19.48
51	0.7944	16.61
52	0.7430	14.53
53	0.7841	16.18
54	0.7456	14.63
55	0.7547	14.99
56	0.7175	13.55
57	0.6897	12.52
58	0.6881	12.46
59	0.6897	12.52
60	0.6733	11.93
61	0.6750	11.99
62	0.6955	12.73
63	0.6944	12.69
64	0.7015	12.95
65	0.7149	13.45
66	0.7257	13.86
67	0.7402	14.42
68	0.7600	15.20
69	0.7369	14.29
70	0.7306	14.05
71	0.7194	13.62
72	0.7165	13.51
73	0.7125	13.36
74	0.7301	14.03
75	0.7249	13.83
76	0.7125	13.36
77	0.7968	16.71
78	0.7595	15.18
79	0.8157	17.51
80	0.8325	18.24
81	0.8006	16.87
82	0.7338	14.17
83	0.7564	15.06
84	0.7539	14.96
85	0.7291	13.99
86	0.7077	13.18
87	0.7325	14.12
88	0.7632	15.33
89	0.7299	14.02
90	0.7262	13.88
91	0.7157	13.48
92	0.7280	13.95
93	0.7562	15.05
94	0.7539	14.96
95	0.7496	14.79
96	0.7309	14.06
97	0.7399	14.41
98	0.7036	13.03
99	0.7327	14.13
100	0.7291	13.99
101	0.7060	13.12
102	0.7085	13.21
103	0.7090	13.23
104	0.7006	12.92
105	0.6878	12.45
106	0.7141	13.42
107	0.7353	14.23
108	0.7135	13.40
109	0.7098	13.26
110	0.7039	13.04
111	0.7063	13.13
112	0.7133	13.39
113	0.6867	12.41
114	0.6794	12.15
115	0.7052	13.09
116	0.7015	12.95
117	0.6949	12.71
118	0.7217	13.71
119	0.7814	16.07
120	0.7879	16.34
121	0.7605	15.22
122	0.7512	14.85
123	0.7758	15.84
124	0.8075	17.16
125	0.8129	17.39
126	0.8323	18.23
127	0.9721	24.87
128	1.0909	31.32
129	1.0632	29.75
130	0.8583	19.39
131	0.9750	25.02
132	1.0145	27.09
133	0.9228	22.41
134	0.8813	20.44
135	0.7913	16.48
136	0.7632	15.33
137	0.7699	15.60
138	0.7736	15.75
139	0.7915	16.49
140	0.7932	16.56
141	0.7366	14.28
142	0.7923	16.52
143	0.8988	21.26
144	0.7812	16.06
145	0.7848	16.21
146	0.7539	14.96
147	0.7491	14.77
148	0.7047	13.07
149	0.7020	12.97
150	0.7098	13.26
151	0.6900	12.53
152	0.6806	12.19
153	0.6685	11.76
154	0.6806	12.19
155	0.6752	12.00
156	0.6650	11.64
157	0.6699	11.81
158	0.6820	12.24
159	0.6982	12.83
160	0.6908	12.56
161	0.7782	15.94
162	0.7534	14.94
163	0.7679	15.52
164	0.8093	17.24
165	0.6883	12.47
166	0.6974	12.80
167	0.6803	12.18
168	0.7122	13.35
169	0.7017	12.96
170	0.7047	13.07
171	0.7058	13.11
172	0.7451	14.61
173	0.7332	14.15
174	0.7394	14.39
175	0.7652	15.41
176	0.8001	16.85
177	0.8539	19.19
178	0.8730	20.06
179	0.8235	17.85
180	0.7903	16.44
181	0.8379	18.48
182	0.7980	16.76
183	0.8318	18.21
184	0.8302	18.14
185	0.7534	14.94
186	0.7443	14.58
187	0.8105	17.29
188	0.8039	17.01
189	0.7549	15.00
190	0.7175	13.55
191	0.7170	13.53
192	0.7079	13.19
193	0.7181	13.57
194	0.7456	14.63
195	0.7867	16.29
196	0.8124	17.37
197	0.7850	16.22
198	0.7280	13.95
199	0.7283	13.96
200	0.7760	15.85
201	0.7330	14.14
202	0.7332	14.15
203	0.7913	16.48
204	0.7471	14.69
205	0.7106	13.29
206	0.7399	14.41
207	0.7376	14.32
208	0.7738	15.76
209	0.8138	17.43
210	0.8395	18.55
211	0.7612	15.25
212	0.7906	16.45
213	0.7527	14.91
214	0.7006	12.92
215	0.6878	12.45
216	0.6892	12.50
217	0.6772	12.07
218	0.6783	12.11
219	0.6952	12.72
220	0.7095	13.25
221	0.7130	13.38
222	0.7296	14.01
223	0.7381	14.34
224	0.7554	15.02
225	0.7501	14.81
226	0.7476	14.71
227	0.7399	14.41
228	0.7262	13.88
229	0.7283	13.96
230	0.7389	14.37
231	0.7265	13.89
232	0.6987	12.85
233	0.7106	13.29
234	0.7387	14.36
235	0.7381	14.34
236	0.7896	16.41
237	0.7384	14.35
238	0.7330	14.14
239	0.8203	17.71
240	0.7985	16.78
241	0.8126	17.38
242	0.8203	17.71
243	0.8541	19.20
244	0.7691	15.57
