# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7ead_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3495	47.93
2	1.2150	38.85
3	1.1710	36.09
4	1.0739	30.35
5	0.9457	23.54
6	1.0555	29.32
7	0.9666	24.59
8	0.9159	22.08
9	0.8638	19.64
10	0.9099	21.79
11	0.8735	20.08
12	0.7970	16.72
13	0.7215	13.70
14	0.8208	17.73
15	0.7620	15.28
16	0.7770	15.89
17	0.6870	12.42
18	0.7246	13.82
19	0.8020	16.93
20	0.8110	17.31
21	0.8044	17.03
22	0.8702	19.93
23	0.8332	18.27
24	0.9507	23.79
25	0.8499	19.01
26	0.8030	16.97
27	0.9295	22.74
28	0.8787	20.32
29	0.8465	18.86
30	0.8440	18.75
31	0.8660	19.74
32	0.8091	17.23
33	0.7696	15.59
34	0.7412	14.46
35	0.7175	13.55
36	0.7647	15.39
37	0.6938	12.67
38	0.8178	17.60
39	0.7125	13.36
40	0.7846	16.20
41	0.8117	17.34
42	0.8164	17.54
43	0.7932	16.56
44	0.8434	18.72
45	0.7992	16.81
46	0.7629	15.32
47	0.8233	17.84
48	0.8261	17.96
49	0.8581	19.38
50	0.9141	21.99
51	0.8804	20.40
52	0.8583	19.39
53	0.8386	18.51
54	0.8776	20.27
55	0.8429	18.70
56	0.8189	17.65
57	0.8879	20.75
58	0.8044	17.03
59	0.8270	18.00
60	0.6960	12.75
61	0.7117	13.33
62	0.6845	12.33
63	0.7537	14.95
64	0.8037	17.00
65	0.8559	19.28
66	0.8969	21.17
67	0.9364	23.08
68	0.9439	23.45
69	0.9459	23.55
70	1.0790	30.64
71	0.9316	22.84
72	0.7992	16.81
73	0.7980	16.76
74	0.8332	18.27
75	0.8084	17.20
76	0.9070	21.65
77	0.9328	22.90
78	0.8798	20.37
79	0.8443	18.76
80	0.8096	17.25
81	0.7799	16.01
82	0.7384	14.35
83	0.7405	14.43
84	0.7489	14.76
85	0.8445	18.77
86	0.8785	20.31
87	0.9601	24.26
88	1.0006	26.35
89	1.0497	29.00
90	1.0575	29.43
91	1.0848	30.97
92	1.1384	34.11
93	1.0680	30.02
94	1.0453	28.76
95	0.9662	24.57
96	0.9318	22.85
97	0.8754	20.17
98	0.8769	20.24
99	0.8053	17.07
100	0.8791	20.34
101	0.8691	19.88
102	0.9051	21.56
103	0.9561	24.06
104	1.0235	27.57
105	1.0696	30.11
106	0.9631	24.41
107	1.0153	27.13
108	0.9571	24.11
109	0.9383	23.17
110	0.9742	24.98
111	0.9242	22.48
112	0.9240	22.47
113	0.9126	21.92
114	0.9826	25.41
115	0.9040	21.51
116	0.8656	19.72
117	0.8268	17.99
118	0.8554	19.26
119	0.8393	18.54
120	0.7476	14.71
121	0.8920	20.94
122	0.8288	18.08
123	0.8004	16.86
124	0.8438	18.74
125	0.9314	22.83
126	0.9066	21.63
127	0.8649	19.69
128	0.7496	14.79
129	0.6982	12.83
130	0.7841	16.18
131	0.8258	17.95
132	0.8674	19.80
133	0.8187	17.64
134	0.9234	22.44
135	0.9401	23.26
