# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7ec1_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3519	48.10
2	1.1356	33.94
3	1.1174	32.86
4	1.0455	28.77
5	0.9634	24.43
6	0.9164	22.10
7	0.9945	26.03
8	0.9970	26.16
9	0.9668	24.60
10	1.0528	29.17
11	1.1248	33.30
12	1.2944	44.10
13	1.2478	40.98
14	1.1140	32.66
15	1.0316	28.01
16	1.0220	27.49
17	0.9886	25.72
18	0.9974	26.18
19	1.0841	30.93
20	1.0296	27.90
21	1.0002	26.33
22	1.0763	30.49
23	1.1289	33.54
24	1.0626	29.72
25	1.1297	33.59
26	1.1118	32.53
27	1.0983	31.75
28	1.0790	30.64
29	1.2299	39.81
30	1.1619	35.53
31	1.1897	37.25
32	1.2739	42.71
33	1.1406	34.24
34	1.1424	34.35
35	1.0680	30.02
36	1.0364	28.27
37	1.0912	31.34
38	0.9797	25.26
39	0.9907	25.83
40	1.0038	26.52
41	0.9632	24.42
42	0.9652	24.52
43	0.9705	24.79
44	1.0239	27.59
45	1.1049	32.13
46	1.0432	28.64
47	1.1487	34.73
48	1.1783	36.54
49	1.1143	32.68
50	1.1143	32.68
51	1.3545	48.29
52	1.3345	46.87
53	1.1561	35.18
54	1.1797	36.63
55	1.2322	39.96
56	1.1914	37.36
57	1.1781	36.53
58	1.1386	34.12
59	1.0783	30.60
60	1.0575	29.43
61	1.0560	29.35
62	1.0080	26.74
63	0.9768	25.11
64	1.0360	28.25
65	1.0692	30.09
66	1.0628	29.73
67	1.0594	29.54
68	1.1223	33.15
69	1.0630	29.74
70	1.2272	39.64
71	1.2254	39.52
72	1.3132	45.39
73	1.3278	46.40
74	1.4550	55.72
75	1.4689	56.79
76	1.4967	58.96
77	1.4951	58.83
78	1.5238	61.11
79	1.5043	59.56
80	1.3164	45.61
81	1.3464	47.71
82	1.4030	51.81
83	1.3012	44.56
84	1.2293	39.77
85	1.3356	46.95
86	1.3674	49.21
87	1.3212	45.94
88	1.3255	46.24
89	1.2516	41.23
90	1.2229	39.36
91	1.2669	42.24
92	1.3225	46.03
93	1.3765	49.87
94	1.4291	53.75
95	1.5165	60.53
96	1.7059	76.59
97	1.6438	71.12
98	1.5744	65.24
99	1.5522	63.41
100	1.3509	48.03
101	1.2956	44.18
102	1.3009	44.54
103	1.1691	35.97
104	1.1844	36.92
105	1.1865	37.05
106	1.2112	38.61
107	1.1593	35.37
108	1.1980	37.77
109	1.1306	33.64
110	1.0879	31.15
111	1.0455	28.77
112	1.1751	36.34
113	1.1158	32.77
114	1.1905	37.30
115	1.2294	39.78
116	1.4486	55.23
117	1.5581	63.89
118	1.6228	69.31
119	1.5099	60.00
120	1.4549	55.71
121	1.3782	49.99
122	1.2399	40.46
123	1.1203	33.03
124	1.1078	32.30
125	1.0666	29.94
126	1.0149	27.11
127	1.0537	29.22
128	1.0061	26.64
129	1.0646	29.83
130	1.0839	30.92
131	1.1801	36.65
132	1.2971	44.28
133	1.3829	50.33
134	1.2443	40.75
135	1.1825	36.80
136	1.1076	32.29
137	1.0397	28.45
138	1.0095	26.82
139	0.9433	23.42
140	0.9715	24.84
141	1.0185	27.30
142	1.0439	28.68
143	1.0726	30.28
144	1.0630	29.74
145	1.0685	30.05
146	1.0159	27.16
147	1.0582	29.47
148	0.9369	23.10
149	1.0349	28.19
150	0.9760	25.07
151	1.0423	28.59
152	1.1201	33.02
153	1.1965	37.68
154	1.2801	43.13
155	1.4495	55.30
156	1.4747	57.24
157	1.3649	49.03
158	1.2286	39.73
159	1.1747	36.32
160	1.0756	30.45
161	1.0519	29.12
162	1.0607	29.61
163	0.9874	25.66
164	0.9810	25.33
165	0.9785	25.20
166	1.0019	26.42
167	1.0832	30.88
168	1.2165	38.95
169	1.0684	30.04
170	1.0464	28.82
171	1.0628	29.73
172	0.9975	26.19
173	0.9777	25.16
174	0.9535	23.93
175	1.0575	29.43
176	1.0576	29.44
177	1.1211	33.08
178	1.2374	40.30
179	1.2260	39.56
180	1.2956	44.18
181	1.2484	41.02
182	1.2435	40.70
183	1.2557	41.50
184	1.1622	35.55
185	1.1717	36.13
186	1.1121	32.55
187	1.0659	29.90
188	1.0402	28.48
189	1.0455	28.77
190	1.0044	26.55
191	1.0560	29.35
192	1.0890	31.21
193	1.0980	31.73
194	1.1622	35.55
195	1.3474	47.78
196	1.2872	43.61
197	1.2587	41.70
198	1.0731	30.31
199	1.1322	33.74
200	1.0825	30.84
201	1.0592	29.53
202	1.0813	30.77
203	1.0790	30.64
204	1.0095	26.82
205	1.0473	28.87
206	0.9989	26.26
207	0.9933	25.97
208	0.9924	25.92
209	1.1121	32.55
210	1.0530	29.18
211	1.0731	30.31
212	1.1507	34.85
213	1.1890	37.21
214	1.2181	39.05
215	1.2357	40.19
216	1.3229	46.06
217	1.3323	46.72
218	1.2167	38.96
219	1.1622	35.55
220	1.0292	27.88
