# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7jfl_C.pdb
# Chain: C
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5104	60.04
2	1.3319	46.69
3	1.3499	47.96
4	1.3835	50.38
5	1.3470	47.75
6	1.4257	53.50
7	1.5549	63.63
8	1.5217	60.94
9	1.4477	55.16
10	1.2120	38.66
11	1.0296	27.90
12	1.1087	32.35
13	0.9599	24.25
14	0.8778	20.28
15	0.8926	20.97
16	0.9055	21.58
17	0.7625	15.30
18	0.7109	13.30
19	0.9122	21.90
20	0.9295	22.74
21	0.8309	18.17
22	0.8890	20.80
23	0.9835	25.46
24	0.9983	26.23
25	0.9983	26.23
26	0.8776	20.27
27	0.9074	21.67
28	0.8774	20.26
29	0.8105	17.29
30	0.8687	19.86
31	0.9072	21.66
32	0.8996	21.30
33	0.8350	18.35
34	0.9707	24.80
35	1.0194	27.35
36	1.0506	29.05
37	1.2161	38.92
