# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7jrq_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5276	61.42
2	1.1504	34.83
3	0.8746	20.13
4	0.7474	14.70
5	0.7949	16.63
6	0.8201	17.70
7	0.7982	16.77
8	0.8164	17.54
9	0.8821	20.48
10	0.8810	20.43
11	0.8950	21.08
12	0.8947	21.07
13	0.8205	17.72
14	0.9040	21.51
15	1.0021	26.43
16	0.9287	22.70
17	0.8359	18.39
18	0.8671	19.79
19	0.8523	19.12
20	0.7654	15.42
21	0.8776	20.27
22	0.8370	18.44
23	0.8215	17.76
24	0.8258	17.95
25	0.9395	23.23
26	0.9429	23.40
27	0.8886	20.78
28	0.8096	17.25
29	0.8754	20.17
30	0.8427	18.69
31	0.8117	17.34
32	0.8952	21.09
33	0.8945	21.06
34	0.9483	23.67
35	0.9644	24.48
36	0.9563	24.07
37	0.9791	25.23
38	0.9593	24.22
39	0.8869	20.70
40	1.1162	32.79
41	1.0655	29.88
42	0.9137	21.97
43	0.8704	19.94
44	0.9153	22.05
45	0.9399	23.25
46	0.9219	22.37
47	0.8597	19.45
48	0.8715	19.99
49	0.9034	21.48
50	0.8309	18.17
51	0.7889	16.38
52	0.8416	18.64
53	0.8614	19.53
54	0.9026	21.44
55	0.8016	16.91
56	0.8667	19.77
57	0.8368	18.43
58	0.8733	20.07
59	0.8733	20.07
60	0.8903	20.86
61	0.8826	20.50
62	0.8559	19.28
63	0.8962	21.14
64	0.8004	16.86
65	0.8930	20.99
66	0.7939	16.59
67	0.9107	21.83
68	0.9118	21.88
69	0.8810	20.43
70	0.8051	17.06
71	0.9070	21.65
72	0.8988	21.26
73	0.9007	21.35
74	0.8610	19.51
75	0.7891	16.39
76	0.8691	19.88
77	0.9028	21.45
78	0.9000	21.32
79	0.9051	21.56
80	0.8044	17.03
81	0.8566	19.31
82	0.9051	21.56
83	0.9145	22.01
84	0.8920	20.94
85	0.8072	17.15
86	0.9389	23.20
87	0.8603	19.48
88	0.8046	17.04
89	0.8187	17.64
90	0.8058	17.09
91	0.7918	16.50
92	0.8210	17.74
93	0.8447	18.78
94	0.8402	18.58
95	0.8554	19.26
96	0.7785	15.95
97	0.7790	15.97
98	0.7865	16.28
99	0.8254	17.93
100	0.7592	15.17
101	0.8098	17.26
102	0.8630	19.60
103	0.9285	22.69
104	1.0040	26.53
105	1.2363	40.23
106	1.0933	31.46
107	1.0327	28.07
108	1.0049	26.58
109	1.0433	28.65
110	1.0166	27.20
111	0.9481	23.66
112	1.1116	32.52
113	1.0571	29.41
114	1.0452	28.75
115	0.9391	23.21
116	1.0097	26.83
117	0.9435	23.43
118	0.9471	23.61
119	0.9955	26.08
120	0.9086	21.73
121	0.9130	21.94
122	0.8348	18.34
123	0.9281	22.67
124	0.9207	22.31
125	0.9350	23.01
126	0.9024	21.43
127	0.9642	24.47
128	0.9139	21.98
129	0.9301	22.77
130	0.9267	22.60
131	0.8645	19.67
132	0.9505	23.78
133	1.0244	27.62
