# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7la6_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.6515	71.78
2	1.5919	66.70
3	1.5885	66.41
4	1.4583	55.97
5	1.3006	44.52
6	1.3607	48.73
7	1.3203	45.88
8	1.2339	40.07
9	1.2280	39.69
10	1.2991	44.42
11	1.2734	42.68
12	1.1457	34.55
13	1.2837	43.37
14	1.3056	44.86
15	1.2788	43.04
16	1.2874	43.62
17	1.4476	55.15
18	1.4828	57.87
19	1.6159	68.72
20	1.6339	70.26
21	1.5159	60.48
22	1.6069	67.96
23	1.3776	49.95
24	1.3774	49.93
25	1.2760	42.85
26	1.2409	40.53
27	1.2676	42.29
28	1.2958	44.19
29	1.3351	46.91
30	1.2754	42.81
31	1.1801	36.65
32	1.2371	40.28
33	1.2648	42.10
34	1.2296	39.79
35	1.1911	37.34
36	1.2121	38.67
37	1.2308	39.87
38	1.1707	36.07
39	1.1805	36.68
40	1.1061	32.20
41	1.0564	29.37
42	1.1973	37.73
43	1.2068	38.33
44	1.2021	38.03
45	1.1008	31.89
46	1.0244	27.62
47	1.0723	30.26
48	1.1203	33.03
49	1.1208	33.06
50	1.1221	33.14
51	1.3328	46.75
52	1.2434	40.69
53	1.2103	38.55
54	1.3273	46.37
55	1.3040	44.75
56	1.3005	44.51
57	1.3922	51.01
58	1.2755	42.82
59	1.3596	48.65
60	1.4650	56.49
61	1.4016	51.70
62	1.4227	53.27
63	1.5113	60.11
64	1.5719	65.03
65	1.5213	60.91
66	1.6135	68.52
67	1.6135	68.52
68	1.6256	69.55
69	1.6832	74.57
70	1.7387	79.56
71	1.7881	84.15
72	1.7799	83.38
73	1.7580	81.34
74	1.7517	80.76
75	1.7663	82.11
76	1.6840	74.64
77	1.7460	80.23
78	1.6518	71.81
79	1.4666	56.61
80	1.4126	52.52
81	1.2859	43.52
82	1.2795	43.09
83	1.3265	46.31
84	1.3674	49.21
85	1.2900	43.80
86	1.3252	46.22
87	1.4510	55.41
88	1.5043	59.56
89	1.4680	56.72
90	1.5247	61.18
91	1.5949	66.95
92	1.6401	70.80
93	1.6092	68.15
94	1.5089	59.92
95	1.3685	49.29
96	1.3440	47.54
97	1.2861	43.53
98	1.2731	42.66
99	1.3137	45.42
100	1.1826	36.81
101	1.1678	35.89
102	1.3127	45.35
103	1.2043	38.17
104	1.1492	34.76
105	1.0628	29.73
106	1.0344	28.16
107	1.0612	29.64
108	1.1471	34.63
109	1.1322	33.74
110	1.1322	33.74
111	1.1121	32.55
112	1.0229	27.54
113	1.0914	31.35
114	1.1285	33.52
115	1.0977	31.71
116	1.1780	36.52
117	1.2145	38.82
118	1.2215	39.27
119	1.2900	43.80
120	1.3251	46.21
121	1.3349	46.90
122	1.2911	43.87
123	1.2432	40.68
124	1.1804	36.67
125	1.1970	37.71
126	1.1797	36.63
127	1.2220	39.30
128	1.1386	34.12
129	1.0781	30.59
130	1.0830	30.87
131	1.0772	30.54
132	1.0479	28.90
133	1.0290	27.87
134	1.0423	28.59
135	1.0530	29.18
136	1.0784	30.61
137	1.1216	33.11
138	1.1194	32.98
139	1.2035	38.12
140	1.2724	42.61
141	1.3621	48.83
142	1.4890	58.35
143	1.4240	53.37
144	1.2864	43.55
145	1.1802	36.66
146	1.1191	32.96
147	1.1484	34.71
148	1.1638	35.65
149	1.1247	33.29
150	1.0957	31.60
151	1.2235	39.40
152	1.1828	36.82
153	1.2821	43.26
154	1.2669	42.24
155	1.2971	44.28
156	1.1772	36.47
157	1.1728	36.20
158	1.2454	40.82
159	1.2360	40.21
160	1.1501	34.81
161	1.2499	41.12
162	1.2766	42.89
163	1.2367	40.25
164	1.2844	43.42
165	1.2428	40.65
166	1.1148	32.71
167	1.1384	34.11
168	1.2192	39.12
169	1.2310	39.88
170	1.4965	58.94
171	1.4253	53.47
172	1.2376	40.31
173	1.1692	35.98
174	1.1529	34.98
175	1.1358	33.95
176	1.2333	40.03
177	1.2861	43.53
178	1.4366	54.32
179	1.3747	49.74
180	1.2776	42.96
181	1.2283	39.71
182	1.2285	39.72
183	1.2583	41.67
184	1.2420	40.60
185	1.2413	40.55
186	1.3258	46.26
187	1.3143	45.46
188	1.3150	45.51
189	1.2400	40.47
190	1.1381	34.09
191	1.1629	35.59
192	1.2296	39.79
193	1.1322	33.74
194	1.0912	31.34
195	1.1316	33.70
196	1.1656	35.76
197	1.1538	35.04
198	1.2559	41.51
199	1.1695	36.00
200	1.2193	39.13
201	1.2408	40.52
202	1.2391	40.41
203	1.2198	39.16
204	1.2721	42.59
205	1.3894	50.81
206	1.3826	50.31
207	1.3628	48.88
208	1.2800	43.12
209	1.3148	45.50
210	1.3028	44.67
211	1.2813	43.21
212	1.2104	38.56
213	1.2277	39.67
214	1.2218	39.29
215	1.1611	35.48
216	1.1678	35.89
217	1.1331	33.79
218	1.1892	37.22
219	1.2063	38.30
220	1.2498	41.11
221	1.3179	45.71
222	1.4675	56.68
223	1.6591	72.45
224	1.6718	73.56
