# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7lao_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.2516	41.23
2	1.1354	33.93
3	1.4066	52.07
4	1.2495	41.09
5	1.4372	54.36
6	1.2195	39.14
7	1.3117	45.28
8	1.2813	43.21
9	1.0788	30.63
10	1.2027	38.07
11	1.2161	38.92
12	1.0689	30.07
13	0.9629	24.40
14	1.0439	28.68
15	1.2400	40.47
16	1.1068	32.24
17	1.1532	35.00
18	1.0029	26.47
19	1.0989	31.78
20	1.1593	35.37
21	1.0384	28.38
22	0.9907	25.83
23	0.9577	24.14
24	0.8960	21.13
25	0.8849	20.61
26	0.9360	23.06
27	1.0292	27.88
28	1.0959	31.61
29	1.2414	40.56
30	1.1742	36.29
31	1.2622	41.93
32	1.2445	40.76
33	1.2117	38.64
34	1.2568	41.57
35	1.3918	50.98
36	1.2746	42.76
37	1.3233	46.09
38	1.6276	69.72
39	1.4035	51.84
40	1.2950	44.14
41	1.2126	38.70
42	1.1781	36.53
43	1.0886	31.19
44	1.0530	29.18
45	1.2193	39.13
46	1.1106	32.46
47	1.0417	28.56
48	0.9945	26.03
49	1.1381	34.09
50	1.0390	28.41
51	1.0190	27.33
52	1.0115	26.93
53	1.1403	34.22
54	1.1136	32.64
55	0.9463	23.57
56	0.8922	20.95
57	0.9525	23.88
58	0.8724	20.03
59	0.9901	25.80
60	1.1673	35.86
61	1.1581	35.30
62	1.2185	39.08
63	1.3141	45.45
64	1.3699	49.39
65	1.4974	59.01
66	1.3866	50.60
67	1.5862	66.22
68	1.5084	59.88
69	1.7022	76.26
70	1.7259	78.40
71	1.7056	76.56
72	1.6853	74.75
73	1.7375	79.45
74	2.0781	113.66
75	2.0673	112.48
76	2.4015	151.79
77	2.3277	142.60
78	2.3610	146.71
79	2.3472	145.00
80	2.4276	155.11
81	2.3212	141.80
82	2.3253	142.31
83	2.3064	140.00
84	2.1396	120.48
85	1.8343	88.55
86	1.8086	86.09
87	1.7235	78.18
88	1.6302	69.94
89	1.6659	73.04
90	1.5565	63.76
91	1.5479	63.06
92	1.5987	67.27
93	1.4720	57.03
94	1.3688	49.31
95	1.2437	40.71
96	1.3641	48.97
97	1.4393	54.52
98	1.3782	49.99
99	1.2881	43.67
100	1.2263	39.58
101	1.3378	47.10
102	1.1906	37.31
103	1.1773	36.48
104	1.2676	42.29
105	1.2303	39.84
106	1.0573	29.42
107	1.2483	41.01
108	1.1908	37.32
109	1.1821	36.78
110	1.2694	42.41
111	1.2825	43.29
112	1.0849	30.98
113	1.1721	36.16
114	1.1949	37.58
115	1.2461	40.87
116	1.2893	43.75
117	1.2749	42.78
118	1.3486	47.87
119	1.3392	47.20
120	1.2062	38.29
121	1.1252	33.32
122	1.0735	30.33
123	1.0648	29.84
124	0.9636	24.44
125	0.9987	26.25
126	1.0168	27.21
127	1.0307	27.96
128	0.9756	25.05
129	0.9964	26.13
130	1.0942	31.51
131	1.0395	28.44
132	1.0806	30.73
133	1.0222	27.50
134	1.1358	33.95
135	1.1863	37.04
136	1.1262	33.38
137	1.2339	40.07
138	1.3786	50.02
139	1.3058	44.88
140	1.1910	37.33
141	1.3143	45.46
142	1.0168	27.21
143	1.0388	28.40
144	1.1421	34.33
145	1.3138	45.43
146	1.1593	35.37
147	1.1099	32.42
148	1.0985	31.76
149	1.1138	32.65
150	0.9795	25.25
151	0.9215	22.35
152	0.9642	24.47
153	0.9797	25.26
154	0.9373	23.12
155	0.9812	25.34
156	0.9283	22.68
157	0.8806	20.41
158	0.8375	18.46
159	0.9151	22.04
160	1.0114	26.92
161	1.0246	27.63
162	1.1208	33.06
163	1.1821	36.78
164	1.1959	37.64
165	1.1678	35.89
166	1.2153	38.87
167	1.1757	36.38
168	1.1767	36.44
169	1.0994	31.81
170	1.0316	28.01
171	0.9684	24.68
172	1.0384	28.38
173	1.0813	30.77
174	1.1296	33.58
175	0.9487	23.69
176	1.1126	32.58
177	1.1980	37.77
178	1.1309	33.66
179	1.1970	37.71
180	1.3345	46.87
181	1.2705	42.48
182	1.3478	47.81
183	1.3963	51.31
184	1.3596	48.65
185	1.4188	52.98
186	1.4890	58.35
187	1.4579	55.94
188	1.5029	59.45
189	1.5843	66.06
190	1.6591	72.45
191	1.5325	61.81
192	1.6160	68.73
193	1.7973	85.02
194	2.0215	107.55
195	2.1045	116.56
196	2.1922	126.48
197	2.4645	159.85
198	2.4237	154.61
199	2.2792	136.72
