# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7lp1_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.3953	51.24
2	1.1671	35.85
3	0.9826	25.41
4	0.9045	21.53
5	0.7870	16.30
6	0.6845	12.33
7	0.6587	11.42
8	0.6102	9.80
9	0.6561	11.33
10	0.6721	11.89
11	0.7127	13.37
12	0.6491	11.09
13	0.6488	11.08
14	0.6639	11.60
15	0.6938	12.67
16	0.7753	15.82
17	0.7402	14.42
18	0.7220	13.72
19	0.6842	12.32
20	0.6161	9.99
21	0.5693	8.53
22	0.5391	7.65
23	0.6118	9.85
24	0.6480	11.05
25	0.7017	12.96
26	0.7664	15.46
27	0.8242	17.88
28	0.7908	16.46
29	0.7559	15.04
30	0.6814	12.22
31	0.6331	10.55
32	0.5951	9.32
33	0.6444	10.93
34	0.6679	11.74
35	0.7440	14.57
36	0.7706	15.63
37	0.8479	18.92
38	1.0115	26.93
39	1.1733	36.23
