# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7n0j_E.pdb
# Chain: E
# Normalized: False
ResIdx	RMSF	B_factor
1	1.4051	51.96
2	1.3797	50.10
3	1.2936	44.04
4	1.2266	39.60
5	1.1547	35.09
6	1.1852	36.97
7	1.1123	32.56
8	1.1650	35.72
9	1.2164	38.94
10	1.2531	41.33
11	1.1035	32.05
12	1.1434	34.41
13	1.1770	36.46
14	1.1326	33.76
15	1.2079	38.40
16	1.2864	43.55
17	1.2224	39.33
18	1.1150	32.72
19	1.1135	32.63
20	1.2093	38.49
21	1.3047	44.80
22	1.2348	40.13
23	1.1364	33.99
24	1.1167	32.82
25	1.0573	29.42
26	1.0802	30.71
27	1.1640	35.66
28	1.0874	31.12
29	1.1099	32.42
30	1.1252	33.32
31	1.1643	35.68
32	1.1881	37.15
33	1.1021	31.97
34	1.1087	32.35
35	1.1343	33.86
36	1.0535	29.21
37	1.1348	33.89
38	1.2193	39.13
39	1.2557	41.50
40	1.2778	42.97
41	1.2559	41.51
42	1.1542	35.06
43	1.1754	36.36
44	1.0302	27.93
45	1.1715	36.12
46	1.0701	30.14
47	1.1191	32.96
48	1.2770	42.92
49	1.1986	37.81
50	1.1507	34.85
51	1.2201	39.18
52	1.3038	44.74
53	1.2667	42.23
54	1.3179	45.71
55	1.3959	51.28
56	1.4985	59.10
57	1.6249	69.49
58	1.6806	74.34
59	1.5086	59.90
60	1.1746	36.31
61	1.1970	37.71
62	1.1687	35.95
63	1.1028	32.01
64	1.0302	27.93
65	1.1959	37.64
66	1.0607	29.61
67	1.1754	36.36
68	1.0814	30.78
69	1.1935	37.49
70	1.2006	37.94
71	1.3878	50.69
72	1.5565	63.76
73	1.5811	65.79
74	1.4671	56.65
75	1.2648	42.10
76	1.3862	50.57
77	1.4862	58.13
78	1.3283	46.44
79	1.1209	33.07
80	1.0290	27.87
81	1.1364	33.99
82	1.1775	36.49
83	1.0877	31.14
84	1.0933	31.46
85	1.2140	38.79
86	1.1255	33.34
87	1.1833	36.85
88	1.2246	39.47
89	1.2931	44.01
90	1.2290	39.75
91	1.2271	39.63
92	1.4532	55.58
93	1.5163	60.51
