# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7onn_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.7692	82.38
2	1.7342	79.15
3	1.5456	62.87
4	1.3856	50.53
5	1.3533	48.20
6	1.2908	43.85
7	1.2376	40.31
8	1.2317	39.93
9	1.2595	41.75
10	1.2646	42.09
11	1.2649	42.11
12	1.2875	43.63
13	1.3894	50.81
14	1.4275	53.63
15	1.3621	48.83
16	1.4934	58.70
17	1.5936	66.84
18	1.7837	83.74
19	1.8211	87.28
20	1.8543	90.50
21	2.1174	118.00
22	2.0185	107.23
23	2.1307	119.49
24	1.8633	91.38
25	1.5911	66.63
26	1.5251	61.22
27	1.4024	51.76
28	1.3183	45.74
29	1.3064	44.92
30	1.3771	49.91
31	1.2902	43.81
32	1.3336	46.81
33	1.2489	41.05
34	1.2636	42.02
35	1.2742	42.73
36	1.3083	45.05
37	1.2461	40.87
38	1.3779	49.97
39	1.4179	52.91
40	1.5918	66.69
41	1.6854	74.76
42	1.7968	84.97
43	1.9572	100.82
44	1.9762	102.78
45	1.7829	83.66
46	1.8187	87.05
47	1.5779	65.53
48	1.5664	64.58
49	1.5338	61.92
50	1.3983	51.46
51	1.3768	49.89
52	1.4312	53.91
53	1.4807	57.70
54	1.4358	54.26
55	1.4705	56.91
56	1.5024	59.41
57	1.5400	62.42
58	1.5461	62.91
59	1.5315	61.73
60	1.7613	81.65
61	1.8047	85.72
62	1.8985	94.86
63	1.7555	81.11
64	1.6548	72.07
65	1.4239	53.36
66	1.3652	49.05
67	1.3103	45.19
68	1.2859	43.52
69	1.2536	41.36
70	1.2426	40.64
71	1.2302	39.83
72	1.1389	34.14
73	1.1964	37.67
74	1.2291	39.76
75	1.0767	30.51
76	1.0795	30.67
77	1.0813	30.77
78	1.0592	29.53
79	1.1354	33.93
80	1.1131	32.61
81	1.1230	33.19
82	1.1648	35.71
83	1.2684	42.34
84	1.2806	43.16
85	1.3115	45.27
86	1.2101	38.54
87	1.2894	43.76
88	1.3355	46.94
89	1.4882	58.29
90	1.4529	55.56
91	1.3517	48.09
92	1.3747	49.74
93	1.3697	49.38
94	1.2730	42.65
95	1.1324	33.75
96	1.0937	31.48
97	1.0558	29.34
98	1.0395	28.44
99	1.1258	33.36
100	1.1258	33.36
101	1.0700	30.13
102	1.2123	38.68
103	1.2536	41.36
104	1.0694	30.10
105	1.1438	34.43
106	1.1203	33.03
107	1.0846	30.96
108	1.0747	30.40
109	1.1220	33.13
110	1.1499	34.80
111	1.2643	42.07
112	1.2751	42.79
113	1.3729	49.61
114	1.3430	47.47
115	1.4241	53.38
116	1.4896	58.40
117	1.3603	48.70
118	1.3688	49.31
119	1.5155	60.45
120	1.7335	79.09
121	1.7168	77.57
122	1.8169	86.88
123	1.8645	91.49
124	1.7937	84.68
125	1.7479	80.41
126	1.8286	88.00
127	1.7075	76.73
128	1.5643	64.40
129	1.4017	51.71
130	1.3161	45.59
131	1.2527	41.30
132	1.2303	39.84
133	1.2390	40.40
134	1.3269	46.34
135	1.2763	42.87
136	1.2721	42.59
137	1.2630	41.98
