# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7p41_D.pdb
# Chain: D
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5245	61.17
2	1.1274	33.45
3	0.8967	21.16
4	0.8826	20.50
5	0.9293	22.73
6	0.8370	18.44
7	0.7879	16.34
8	0.8281	18.05
9	0.7935	16.57
10	0.7196	13.63
11	0.7496	14.79
12	0.7572	15.09
13	0.7238	13.79
14	0.6864	12.40
15	0.6971	12.79
16	0.6938	12.67
17	0.7138	13.41
18	0.7244	13.81
19	0.7585	15.14
20	0.7592	15.17
21	0.7241	13.80
22	0.7366	14.28
23	0.7252	13.84
24	0.7474	14.70
25	0.8284	18.06
26	0.8293	18.10
27	0.6955	12.73
28	0.7724	15.70
29	0.7196	13.63
30	0.7709	15.64
31	0.8258	17.95
32	0.7499	14.80
33	0.7733	15.74
34	0.7257	13.86
35	0.7309	14.06
36	0.7265	13.89
37	0.7920	16.51
38	0.8546	19.22
39	0.7353	14.23
40	0.7463	14.66
41	0.7028	13.00
42	0.7055	13.10
43	0.6987	12.85
44	0.6693	11.79
45	0.7225	13.74
46	0.7060	13.12
47	0.7017	12.96
48	0.7785	15.95
49	0.9397	23.24
50	0.9738	24.96
51	0.9260	22.57
52	0.7966	16.70
53	0.7968	16.71
54	0.7694	15.58
55	0.7544	14.98
56	0.7425	14.51
57	0.8625	19.58
58	0.8843	20.58
59	0.9207	22.31
60	0.7807	16.04
61	0.7982	16.77
62	0.7765	15.87
63	0.7379	14.33
64	0.7741	15.77
65	0.7381	14.34
66	0.7569	15.08
67	0.7175	13.55
68	0.7345	14.20
69	0.7629	15.32
70	0.8418	18.65
71	1.1006	31.88
72	1.3362	46.99
73	1.2533	41.34
74	0.9328	22.90
75	0.8110	17.31
76	0.7491	14.77
77	0.6979	12.82
78	0.7687	15.55
79	0.7639	15.36
80	0.7547	14.99
81	0.7691	15.57
82	0.7363	14.27
83	0.7006	12.92
84	0.7567	15.07
85	0.7236	13.78
86	0.7463	14.66
87	0.7659	15.44
88	0.7582	15.13
89	0.7741	15.77
90	0.7963	16.69
91	0.9180	22.18
92	0.7987	16.79
93	0.9192	22.24
94	0.8776	20.27
95	0.9195	22.25
96	0.8456	18.82
97	0.9240	22.47
98	0.9571	24.11
99	0.9731	24.92
100	1.0255	27.68
101	0.9932	25.96
102	1.0177	27.26
103	0.9195	22.25
104	0.8316	18.20
105	0.8384	18.50
106	0.8117	17.34
107	0.8281	18.05
108	0.8157	17.51
109	0.8032	16.98
110	0.7887	16.37
111	0.8313	18.19
112	0.9246	22.50
113	0.9155	22.06
114	0.8960	21.13
115	1.0091	26.80
116	1.0196	27.36
117	1.0426	28.61
118	0.9383	23.17
119	0.9559	24.05
120	0.9928	25.94
121	0.9326	22.89
122	0.8508	19.05
123	0.9114	21.86
124	0.9297	22.75
125	0.8543	19.21
126	0.8964	21.15
127	0.9455	23.53
128	0.9537	23.94
129	1.0013	26.39
130	1.1153	32.74
131	1.0452	28.75
132	1.0466	28.83
133	0.9740	24.97
134	1.0519	29.12
135	0.9695	24.74
136	0.9362	23.07
137	0.9072	21.66
138	0.9866	25.62
139	0.9459	23.55
140	0.9459	23.55
141	0.8691	19.88
142	0.7807	16.04
143	0.8641	19.65
144	0.8888	20.79
145	0.8281	18.05
146	0.8300	18.13
147	0.8044	17.03
