# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7p46_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.4287	53.72
2	1.3056	44.86
3	1.0008	26.36
4	0.9968	26.15
5	0.8566	19.31
6	0.9228	22.41
7	0.8695	19.90
8	0.8093	17.24
9	0.8171	17.57
10	0.7714	15.66
11	0.7358	14.25
12	0.8568	19.32
13	1.0353	28.21
14	1.0719	30.24
15	0.9036	21.49
16	1.0539	29.23
17	0.8769	20.24
18	0.8297	18.12
19	0.8452	18.80
20	0.7501	14.81
21	0.7369	14.29
22	0.6974	12.80
23	0.7350	14.22
24	0.6520	11.19
25	0.6430	10.88
26	0.6111	9.83
27	0.6331	10.55
28	0.6523	11.20
29	0.6766	12.05
30	0.7122	13.35
31	0.6500	11.12
32	0.6262	10.32
33	0.6764	12.04
34	0.6966	12.77
35	0.6432	10.89
36	0.6772	12.07
37	0.7537	14.95
38	0.8265	17.98
39	0.7992	16.81
40	0.8501	19.02
41	0.8594	19.44
42	0.9571	24.11
43	1.0066	26.67
44	0.9447	23.49
45	0.7677	15.51
46	0.7639	15.36
47	0.7167	13.52
48	0.6894	12.51
49	0.6367	10.67
50	0.6241	10.25
51	0.6158	9.98
52	0.6017	9.53
53	0.6471	11.02
54	0.6155	9.97
55	0.6319	10.51
56	0.6483	11.06
57	0.6421	10.85
58	0.5766	8.75
59	0.5825	8.93
60	0.5666	8.45
61	0.5482	7.91
62	0.5726	8.63
63	0.6036	9.59
64	0.6650	11.64
65	0.6400	10.78
66	0.6555	11.31
67	0.6541	11.26
68	0.6271	10.35
69	0.6503	11.13
70	0.6704	11.83
71	0.7095	13.25
72	0.7117	13.33
73	0.7257	13.86
74	0.7590	15.16
75	0.7887	16.37
76	0.8068	17.13
77	0.7963	16.69
78	0.7773	15.90
79	0.8327	18.25
80	0.7903	16.44
81	0.8368	18.43
82	0.7954	16.65
83	0.8096	17.25
84	0.7642	15.37
85	0.6933	12.65
86	0.6979	12.82
87	0.7006	12.92
88	0.7162	13.50
89	0.6889	12.49
90	0.6861	12.39
91	0.6418	10.84
92	0.6170	10.02
93	0.6349	10.61
94	0.6721	11.89
95	0.6133	9.90
96	0.6610	11.50
97	0.7433	14.54
98	0.7004	12.91
99	0.6130	9.89
100	0.6693	11.79
101	0.7165	13.51
102	0.6213	10.16
103	0.6352	10.62
104	0.7028	13.00
105	0.6936	12.66
106	0.7532	14.93
107	0.7637	15.35
108	0.7356	14.24
109	0.7659	15.44
110	0.7814	16.07
111	0.8072	17.15
112	0.9145	22.01
113	0.7726	15.71
114	0.7228	13.75
115	0.8583	19.39
116	0.7894	16.40
117	0.7509	14.84
118	0.7440	14.57
119	0.8093	17.24
120	0.8256	17.94
121	0.7887	16.37
122	0.7033	13.02
123	0.7301	14.03
124	0.7270	13.91
125	0.6794	12.15
126	0.6662	11.68
127	0.7077	13.18
128	0.6938	12.67
129	0.6382	10.72
130	0.6241	10.25
131	0.6535	11.24
132	0.6400	10.78
133	0.6102	9.80
134	0.6430	10.88
135	0.6968	12.78
136	0.6831	12.28
137	0.6741	11.96
138	0.7004	12.91
139	0.6903	12.54
140	0.6758	12.02
141	0.6853	12.36
142	0.7023	12.98
143	0.7657	15.43
144	0.7371	14.30
145	0.7804	16.03
146	0.8669	19.78
147	0.8871	20.71
148	0.9501	23.76
149	0.8941	21.04
150	0.9114	21.86
151	1.0644	29.82
152	0.9930	25.95
153	0.8918	20.93
154	1.1006	31.88
155	1.1004	31.87
156	0.9727	24.90
157	0.9656	24.54
158	0.9515	23.83
159	0.9695	24.74
160	0.9613	24.32
161	0.9499	23.75
162	0.9330	22.91
163	0.8691	19.88
164	0.8058	17.09
165	0.8724	20.03
166	0.8474	18.90
167	0.8711	19.97
168	0.7787	15.96
169	0.8145	17.46
170	0.8402	18.58
171	0.8826	20.50
172	0.8166	17.55
173	0.6797	12.16
174	0.7259	13.87
175	0.6825	12.26
176	0.6775	12.08
177	0.6977	12.81
178	0.7141	13.42
179	0.6870	12.42
180	0.6892	12.50
181	0.7458	14.64
182	0.7259	13.87
183	0.7257	13.86
184	0.7802	16.02
185	0.8649	19.69
186	0.9295	22.74
187	0.9093	21.76
188	0.7932	16.56
189	0.8452	18.80
190	0.8512	19.07
191	0.8656	19.72
192	0.8572	19.34
193	0.8422	18.67
194	0.8011	16.89
195	0.7862	16.27
196	0.8210	17.74
197	0.8316	18.20
198	0.7992	16.81
199	0.7512	14.85
200	0.8037	17.00
201	0.7448	14.60
202	0.8550	19.24
203	0.8881	20.76
204	0.8722	20.02
205	0.8772	20.25
206	0.9326	22.89
207	0.9463	23.57
208	0.9091	21.75
209	0.7987	16.79
210	0.7870	16.30
211	0.7575	15.10
212	0.7999	16.84
213	0.8044	17.03
214	0.8115	17.33
215	0.7746	15.79
216	0.7659	15.44
217	0.7877	16.33
218	0.8242	17.88
219	0.7522	14.89
220	0.8084	17.20
221	0.8886	20.78
222	0.8990	21.27
223	0.9505	23.78
224	1.0811	30.76
225	0.8967	21.16
226	0.8131	17.40
227	0.8261	17.96
228	0.7908	16.46
229	0.7930	16.55
230	0.7590	15.16
231	0.7343	14.19
232	0.7267	13.90
233	0.7394	14.39
234	0.7204	13.66
235	0.7058	13.11
236	0.7103	13.28
237	0.7044	13.06
238	0.7004	12.91
239	0.6277	10.37
240	0.6403	10.79
241	0.6459	10.98
242	0.6474	11.03
243	0.6667	11.70
244	0.6845	12.33
245	0.6049	9.63
246	0.6328	10.54
247	0.6328	10.54
248	0.6453	10.96
249	0.6201	10.12
250	0.6322	10.52
251	0.6346	10.60
252	0.6256	10.30
253	0.6509	11.15
254	0.6550	11.29
255	0.7006	12.92
256	0.7017	12.96
257	0.7167	13.52
258	0.6889	12.49
259	0.6905	12.55
260	0.7379	14.33
261	0.7356	14.24
262	0.7358	14.25
263	0.7944	16.61
264	0.8627	19.59
265	0.8098	17.26
266	0.7602	15.21
267	0.7031	13.01
268	0.6831	12.28
269	0.6966	12.77
270	0.7554	15.02
271	0.7199	13.64
272	0.7770	15.89
273	0.7244	13.81
274	0.7191	13.61
275	0.7901	16.43
276	0.7133	13.39
277	0.6839	12.31
278	0.7512	14.85
279	0.7848	16.21
280	0.8175	17.59
281	0.7777	15.92
282	0.7994	16.82
283	0.9076	21.68
284	0.8129	17.39
285	0.8098	17.26
286	0.7918	16.50
287	0.7542	14.97
288	0.7804	16.03
