# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7qsu_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.6226	69.29
2	1.5194	60.76
3	1.2587	41.70
4	1.1642	35.67
5	1.1967	37.69
6	1.1882	37.16
7	1.1778	36.51
8	1.0982	31.74
9	1.0926	31.42
10	1.0865	31.07
11	1.0412	28.53
12	1.0791	30.65
13	1.1773	36.48
14	1.2947	44.12
15	1.1717	36.13
16	1.1723	36.17
17	1.0610	29.63
18	1.1216	33.11
19	1.1013	31.92
20	1.1614	35.50
21	1.1763	36.42
22	1.2620	41.92
23	1.1396	34.18
24	1.2319	39.94
25	1.3322	46.71
26	1.3600	48.68
27	1.2327	39.99
28	1.3009	44.54
29	1.3111	45.24
30	1.2874	43.62
31	1.4105	52.36
32	1.5180	60.65
33	1.5131	60.26
34	1.5602	64.07
35	1.5985	67.25
36	1.7477	80.39
37	1.8627	91.32
38	1.8721	92.24
39	1.5752	65.30
40	1.4731	57.11
41	1.3754	49.79
42	1.2962	44.22
43	1.3592	48.62
44	1.2628	41.97
45	1.2786	43.03
46	1.2865	43.56
47	1.2320	39.95
48	1.1941	37.53
49	1.1489	34.74
50	1.0982	31.74
51	1.0784	30.61
52	1.0795	30.67
53	1.1537	35.03
54	1.2831	43.33
55	1.4076	52.15
56	1.2746	42.76
57	1.2021	38.03
58	1.1145	32.69
59	1.1794	36.61
60	1.1866	37.06
61	1.1252	33.32
62	1.2348	40.13
63	1.0977	31.71
64	1.2330	40.01
65	1.1937	37.50
66	1.2745	42.75
67	1.2743	42.74
68	1.3673	49.20
69	1.4311	53.90
70	1.4502	55.35
71	1.4751	57.27
72	1.6857	74.79
73	1.5179	60.64
74	1.3177	45.70
75	1.3025	44.65
76	1.2077	38.39
77	1.1720	36.15
78	1.0884	31.18
79	1.1076	32.29
80	1.1747	36.32
81	1.1855	36.99
82	1.1439	34.44
83	1.1245	33.28
84	1.0519	29.12
85	1.1341	33.85
86	1.1713	36.11
87	1.1733	36.23
88	1.2778	42.97
89	1.3954	51.25
90	1.3949	51.21
91	1.2937	44.05
92	1.3735	49.65
93	1.2908	43.85
94	1.3709	49.46
95	1.3256	46.25
96	1.2512	41.20
97	1.5053	59.64
98	1.7389	79.58
99	1.8918	94.19
100	1.9724	102.39
101	2.0319	108.66
102	1.7683	82.30
103	1.4850	58.04
104	1.3903	50.87
105	1.3022	44.63
106	1.3186	45.76
107	1.4566	55.84
108	1.3232	46.08
109	1.2666	42.22
110	1.2584	41.68
111	1.2950	44.14
112	1.2931	44.01
113	1.1855	36.99
114	1.2159	38.91
115	1.2587	41.70
116	1.2693	42.40
117	1.1459	34.56
118	1.1937	37.50
119	1.1208	33.06
120	1.0867	31.08
121	1.0632	29.75
122	1.0800	30.70
123	1.1527	34.97
124	1.1363	33.98
125	1.0669	29.96
126	1.2070	38.34
127	1.3790	50.05
128	1.3207	45.91
129	1.4017	51.71
130	1.3492	47.91
131	1.3838	50.40
132	1.4905	58.47
133	1.4979	59.05
134	1.9093	95.94
135	2.1223	118.54
136	1.8645	91.49
137	1.6497	71.63
138	1.4700	56.87
139	1.5447	62.80
140	1.5766	65.42
141	1.4908	58.49
142	1.5516	63.36
143	1.4110	52.40
144	1.2432	40.68
145	1.3491	47.90
146	1.2722	42.60
147	1.2466	40.90
148	1.1653	35.74
149	1.1401	34.21
150	1.1747	36.32
151	1.1334	33.81
152	1.1682	35.92
153	1.1469	34.62
154	1.1578	35.28
155	1.1630	35.60
156	1.1752	36.35
157	1.1561	35.18
158	1.2599	41.78
159	1.1153	32.74
160	1.1884	37.17
161	1.2533	41.34
162	1.3265	46.31
163	1.3643	48.99
164	1.2755	42.82
165	1.2417	40.58
166	1.1776	36.50
167	1.3063	44.91
168	1.2781	42.99
169	1.2856	43.50
170	1.3328	46.75
171	1.5393	62.36
172	1.6293	69.87
173	1.5601	64.06
174	1.5070	59.77
175	1.3447	47.59
176	1.3447	47.59
177	1.3868	50.62
178	1.3048	44.81
179	1.2391	40.41
180	1.3309	46.62
